bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
D000621,FL-06,1,"DeSantis, Ron",R,1,1,D,"151,051",R,"213,519"
M001202,FL-07,1,"Murphy, Stephanie",D,1,1,R,"171,583",D,"182,039"
P000599,FL-08,1,"Posey, Bill",R,1,1,D,"127,127",R,"246,483"
S001200,FL-09,0,"Soto, Darren",D,0,0,R,"144,450",D,"195,311"
D000627,FL-10,0,"Demings, Val",R,0,0,R,"107,498",D,"198,491"
W000806,FL-11,1,"Webster, Dan",R,1,1,D,"124,713",R,"258,016"
B000463,FL-12,1,"Bilirakis, Gus",R,1,1,D,"116,110",R,"253,559"
J000296,FL-13,1,"Jolly, David",R,1,0,R,"171,149",D,"184,693"
C001066,FL-14,1,"Castor, Kathy",D,1,1,R,"121,088",D,"195,789"
R000593,FL-15,1,"Ross, Dennis",R,1,1,D,"135,475",R,"182,999"
B001260,FL-16,1,"Buchanan, Vern",R,1,1,D,"155,262",R,"230,654"
R000583,FL-17,1,"Rooney, Tom",R,1,1,D,"115,974",R,"209,348"
M001199,FL-18,1,"Mast, Brian",R,1,1,D,"161,918",R,"201,488"
R000607,FL-19,0,"Rooney, Francis",R,0,0,D,"123,812",R,"239,225"
H000324,FL-20,1,"Hastings, Alcee",D,1,1,R,"54,646",D,"222,914"
F000462,FL-21,1,"Frankel, Lois",D,1,1,R,"118,038",D,"210,606"
D000610,FL-22,1,"Deutch, Ted",D,1,1,R,"138,737",D,"199,113"
W000797,FL-23,1,"Wasserman Schultz, Debbie",D,1,1,R,"130,818",D,"183,225"
W000808,FL-24,0,"Wilson, Frederica",D,1,1,,,D,
D000600,FL-25,1,"Diaz-Balart, Mario",R,1,1,D,"95,319",R,"157,921"
C001107,FL-26,1,"Curbelo, Carlos",R,1,1,D,"115,493",R,"148,547"
R000435,FL-27,1,"Ros-Lehtinen, Ileana",R,1,1,D,"129,760",R,"157,917"
I000055,GA,1,Isakson,R,1,1,D,"1,599,726",R,"2,135,806"
C001103,GA-01,1,"Carter, Buddy",R,1,1,NONE,0,R,"210,243"
B000490,GA-02,1,"Bishop, Sanford",D,1,1,R,"94,056",D,"148,543"
F000465,GA-03,1,"Ferguson, Drew",R,1,1,D,"95,969",R,"207,218"
J000288,GA-04,1,"Johnson, Hank",D,1,1,R,"70,593",D,"220,146"
L000287,GA-05,1,"Lewis, John",D,1,1,R,"46,768",D,"253,781"
P000591,GA-06,1,"Price, Tom",R,1,1,D,"124,917",R,"201,088"
W000810,GA-07,1,"Woodall, Rob",R,1,1,D,"114,220",R,"174,081"
S001189,GA-08,1,"Scott, Austin",R,1,1,D,"83,225",R,"173,983"
C001093,GA-09,0,"Collins, Doug",R,1,1,NONE,0,R,"256,535"
H001071,GA-10,0,"Hice, Jody",R,1,1,NONE,0,R,"243,725"
L000583,GA-11,1,"Loudermilk, Barry",R,1,1,D,"105,383",R,"217,935"
A000372,GA-12,1,"Allen, Rick",R,1,1,D,"99,420",R,"159,492"
S001157,GA-13,1,"Scott, David",D,1,1,NONE,0,D,"252,833"
G000560,GA-14,1,"Graves, Tom",R,1,1,NONE,0,R,"216,743"
S001194,HI,1,Schatz,D,1,1,R,"92,653",D,"306,604"
H001050,HI-01,0,"Hanabusa, Colleen",D,0,0,R,"45,958",D,"145,417"
G000571,HI-02,1,"Gabbard, Tulsi",D,1,1,R,"39,668",D,"170,848"
G000386,IA,1,Grassley,R,1,1,D,"549,460",R,"926,007"
B001294,IA-01,1,"Blum, Rod",R,1,1,D,"177,403",R,"206,903"
L000565,IA-02,1,"Loebsack, David",D,1,1,R,"170,933",D,"198,571"
Y000066,IA-03,`,"Young, David",R,1,1,D,"155,002",R,"208,598"
K000362,IA-04,1,"King, Steve",R,1,1,D,"142,993",R,"226,719"
C000880,ID,1,Crapo,R,1,1,D,"188,249",R,"449,017"
L000573,ID-01,1,"Labrador, Raul",R,1,1,D,"113,052",R,"242,252"
S001148,ID-02,1,"Simpson, Mike",R,1,1,D,"95,940",R,"205,292"
K000360,IL,1,Kirk,R,1,0,R,"2,184,692",D,"3,012,940"
R000515,IL-01,1,"Rush, Bobby",D,1,1,R,"81,817",D,"234,037"
K000385,IL-02,1,"Kelly, Robin",D,1,1,R,"59,471",D,"235,051"
L000563,IL-03,0,"Lipinski, Dan",D,1,1,write in,91,D,"225,320"
G000535,IL-04,0,"Gutierrez, Luis",D,1,1,NONE,0,D,"171,297"
Q000023,IL-05,1,"Quigley, Mike",D,1,1,R,"86,222",D,"212,842"
R000580,IL-06,1,"Roskam, Peter",R,1,1,D,"143,591",R,"208,555"
D000096,IL-07,1,"Davis, Danny",D,1,1,R,"46,882",D,"250,584"
K000391,IL-08,1,"Krishnamoorthi, Raja",D,1,1,R,"144,954",D,"144,954"
S001145,IL-09,1,"Schakowsky, Jan",D,1,1,R,"109,550",D,"217,306"
S001190,IL-10,1,"Schneider, Brad",R,1,0,R,"135,535",D,"150,435"
F000454,IL-11,1,"Foster, Bill",D,1,1,R,"108,995",D,"166,578"
B001295,IL-12,1,"Bost, Mike",R,1,1,D,"124,246",R,"169,976"
D000619,IL-13,1,"Davis, Rodney",R,1,1,D,"126,811",R,"187,583"
H001059,IL-14,1,"Hultgren, Randy",R,1,1,D,"137,589",R,"200,508"
S000364,IL-15,0,"Shimkus, John",R,1,1,NONE,0,R,"274,554"
K000378,IL-16,0,"Kinzinger, Adam",R,1,1,write in,131,R,"259,722"
B001286,IL-17,1,"Bustos, Cheri",D,1,1,R,"113,943",D,"173,125"
L000585,IL-18,1,"LaHood, Darin",R,1,1,D,"96,770",R,"250,506"
P000587,IN,0,Pence,R,0,0,D,"1,158,947",R,"1,423,991"
V000108,IN-01,1,"Visclosky, Pete",D,1,1,L,"47,051",D,"207,515"
W000813,IN-02,1,"Walorski, Jackie",R,1,1,D,"102,401",R,"164,355"
B001299,IN-03,0,"Banks, Jim",R,0,0,D,"66,023",R,"201,396"
R000592,IN-04,1,"Rokita, Todd",R,1,1,D,"91,256",R,"193,412"
B001284,IN-05,1,"Brooks, Susan",R,1,1,D,"123,849",R,"221,957"
M001189,IN-06,1,"Messer, Luke",R,1,1,D,"79,135",R,"204,920"
C001072,IN-07,1,"Carson, Andre",D,1,1,R,"94,456",D,"158,739"
B001275,IN-08,1,"Bucshon, Larry",R,1,1,D,"93,356",R,"187,702"
H001074,IN-09,1,"Hollingsworth, Trey",R,1,1,D,"130,627",R,"174,791"
M000934,KS,1,Moran,R,1,1,D,"379,740",R,"732,376"
M001198,KS-01,0,"Marshall, Roger",R,0,0,I,"67,739",R,"169,992"
J000290,KS-02,1,"Jenkins, Lynn",R,1,1,D,"96,840",R,"181,228"
Y000063,KS-03,1,"Yoder, Kevin",R,1,1,D,"139,300",R,"176,022"
P000602,KS-04,1,"Pompeo, Mike",R,1,1,D,"81,495",R,"166,998"
P000603,KY,1,Paul,R,1,1,D,"813,246",R,"1,090,177"
C001108,KY-01,1,"Comer, James",R,1,1,D,"81,710",R,"216,959"
G000558,KY-02,0,"Guthrie, Brett",R,1,1,NONE,0,R,"251,825"
Y000062,KY-03,1,"Yarmuth, John",D,1,1,R,"122,093",D,"212,401"
M001184,KY-04,1,"Massie, Thomas",R,1,1,D,"94,065",R,"233,922"
R000395,KY-05,0,"Rogers, Hal",R,1,1,NONE,0,R,"221,242"
B001282,KY-06,1,"Barr, Andy",R,1,1,D,"128,728",R,"202,099"
V000127,LA,0,Vitter,R,0,0,D,"337,833",R,"482,591"
S001176,LA-01,1,"Scalise, Steve",R,1,1,D,"41,840",R,"243,645"
R000588,LA-02,1,"Richmond, Cedric",D,1,1,D,"57,125",D,"198,289"
H001077,LA-03,0,"Higgins, Clay",R,0,0,R,"84,912",R,"91,532"
J000299,LA-04,0,"Johnson, Mike",R,0,0,R,"70,580",D,"80,593"
A000374,LA-05,1,"Abraham, Ralph",R,1,1,R,"47,117",R,"208,545"
G000577,LA-06,1,"Graves, Garret",R,1,1,D,"49,380",R,"207,483"
N000015,MA-01,1,"Neal, Richard",D,1,1,I,"57,504",D,"235,803"
M000312,MA-02,1,"McGovern, Jim",D,1,1,write in,"4,924",D,"275,487"
T000465,MA-03,1,"Tsongas, Niki",D,1,1,R,"107,519",D,"236,713"
K000379,MA-04,1,"Kennedy, Joe",D,1,1,R,"113,055",D,"265,823"
C001101,MA-05,1,"Clark, Katherine",D,1,1,Write in,"4,201",D,"285,606"
M001196,MA-06,1,"Moulton, Seth",D,1,1,Write in,"5,132",D,"308,923"
C001037,MA-07,1,"Capuano, Mike",D,1,1,Write in,"3,557",D,"253,354"
L000562,MA-08,1,"Lynch, Stephen",D,1,1,R,"102,744",D,"271,019"
K000375,MA-09,1,"Keating, Bill",D,1,1,R,"127,803",D,"211,790"
M000702,MD,0,Mikulski,D,0,0,R,"972,557",D,"1,659,907"
H001052,MD-01,1,"Harris, Andy",R,1,1,D,"103,622",R,"242,574"
R000576,MD-02,1,"Ruppersberger, Dutch",D,1,1,R,"102,577",D,"192,183"
S001168,MD-03,1,"Sarbanes, John",D,1,1,R,"115,048",D,"214,640"
B001304,MD-04,0,"Brown, Anthony",D,0,0,R,"68,670",D,"237,501"
H000874,MD-05,1,"Hoyer, Steny",D,1,1,R,"105,931",D,"242,989"
D000620,MD-06,1,"Delaney, John",D,1,1,R,"133,081",D,"185,770"
C000984,MD-07,1,"Cummings, Elijah",D,1,1,R,"69,556",D,"238,838"
R000606,MD-08,0,"Raskin, Jamie",D,0,0,R,"124,651",D,"220,657"
P000597,ME-01,1,"Pingree, Chellie",D,1,1,R,"164,569",D,"227,546"
P000611,ME-02,1,"Poliquin, Bruce",R,1,1,D,"159,081",R,"192,878"
B001301,MI-01,0,"Bergman, Jack",R,0,0,D,"144,334",R,"197,777"
H001058,MI-02,1,"Huizenga, Bill",R,1,1,D,"110,391",R,"212,508"
A000367,MI-03,1,"Amash, Justin",R,1,1,D,"128,400",R,"203,545"
M001194,MI-04,1,"Moolenaar, John",R,1,1,D,"101,277",R,"194,572"
K000380,MI-05,1,"Kildee, Dan",D,1,1,R,"112,102",D,"195,279"
U000031,MI-06,1,"Upton, Fred",R,1,1,D,"119,980",R,"193,259"
W000798,MI-07,1,"Walberg, Tim",R,1,1,D,"134,010",R,"184,321"
B001293,MI-08,1,"Bishop, Mike",R,1,1,D,"143,791",R,"205,629"
L000263,MI-09,1,"Levin, Sander",D,1,1,R,"128,937",D,"199,661"
M001201,MI-10,0,"Mitchell, Paul",R,0,0,D,"110,112",R,"215,132"
T000475,MI-11,1,"Trott, Dave",R,1,1,D,"152,461",R,"200,872"
D000624,MI-12,1,"Dingell, Debbie",D,1,1,R,"96,104",D,"211,378"
C000714,MI-13,1,"Conyers, John",D,1,1,R,"40,541",D,"198,771"
L000581,MI-14,1,"Lawrence, Brenda",D,1,1,R,"58,103",D,"244,135"
W000799,MN-01,1,"Walz, Tim",D,1,1,R,"166,526",D,"169,074"
L000587,MN-02,0,"Lewis, Jason",R,0,0,D,"167,315",R,"173,970"
P000594,MN-03,1,"Paulsen, Erik",R,1,1,D,"169,243",R,"223,077"
M001143,MN-04,1,"McCollum, Betty",D,1,1,R,"121,032",D,"203,299"
E000288,MN-05,1,"Ellison, Keith",D,1,1,R,"80,660",D,"249,964"
E000294,MN-06,1,"Emmer, Tom",R,1,1,D,"123,008",R,"235,380"
P000258,MN-07,1,"Peterson, Collin",D,1,1,R,"156,952",D,"173,589"
N000127,MN-08,1,"Nolan, Rick",D,1,1,R,"177,089",D,"179,098"
B000575,MO,1,Blunt,R,1,1,D,"1,300,200",R,"1,378,458"
C001049,MO-01,1,"Clay, Lacy",D,1,1,R,"62,714",D,"236,993"
W000812,MO-02,1,"Wagner, Ann",R,1,1,D,"155,689",R,"241,954"
L000569,MO-03,1,"Luetkemeyer, Blaine",R,1,1,D,"102,891",R,"249,865"
H001053,MO-04,1,"Hartzler, Vicki",R,1,1,D,"92,510",R,"225,348"
C001061,MO-05,1,"Cleaver, Emanuel",D,1,1,R,"123,771",D,"190,766"
G000546,MO-06,1,"Graves, Sam",R,1,1,D,"99,692",R,"238,388"
L000576,MO-07,1,"Long, Billy",R,1,1,D,"92,756",R,"228,692"
S001195,MO-08,1,"Smith, Jason",R,1,1,D,"70,009",R,"229,792"
K000388,MS-01,1,"Kelly, Trent",R,1,1,D,"83,947",R,"206,455"
T000193,MS-02,1,"Thompson, Bennie",D,1,1,R,"83,542",D,"192,343"
H001045,MS-03,1,"Harper, Gregg",R,1,1,D,"96,101",R,"209,490"
P000601,MS-04,1,"Palazzo, Steven",R,1,1,D,"77,505",R,"181,323"
Z000018,MT-AL,1,"Zinke, Ryan",R,1,1,D,"205,919",R,"285,358"
B001135,NC,1,Burr,R,1,1,D,"2,128,165",R,"2,395,376"
B001251,NC-01,1,"Butterfield, G.K.",D,1,1,R,"101,567",D,"240,661"
H001065,NC-02,1,"Holding, George",R,1,1,D,"169,082",R,"221,485"
J000255,NC-03,1,"Jones, Walter",R,1,1,D,"106,170",R,"217,531"
P000523,NC-04,1,"Price, David",D,1,1,R,"130,161",D,"279,380"
F000450,NC-05,1,"Foxx, Virginia",R,1,1,D,"147,887",R,"207,625"
W000819,NC-06,1,"Walker, Mark",R,1,1,D,"143,167",R,"207,983"
R000603,NC-07,1,"Rouzer, David",R,1,1,D,"135,905",R,"211,801"
H001067,NC-08,1,"Hudson, Richard",R,1,1,D,"133,182",R,"189,863"
P000606,NC-09,1,"Pittenger, Robert",R,1,1,D,"139,041",R,"193,452"
M001156,NC-10,1,"McHenry, Patrick",R,1,1,D,"128,919",R,"220,825"
M001187,NC-11,1,"Meadows, Mark",R,1,1,D,"129,103",R,"230,405"
A000370,NC-12,1,"Adams, Alma",D,1,1,R,"115,185",D,"234,115"
B001305,NC-13,1,"Budd, Ted",R,1,1,D,"156,049",R,"199,443"
H001061,ND,1,Hoeven,R,1,1,D,"58,116",R,"268,788"
C001096,ND-AL,1,"Cramer, Kevin",R,1,1,D,"80,377",R,"233,980"
F000449,NE-01,1,"Fortenberry, Jeff",R,1,1,D,"83,467",R,"189,771"
B001298,NE-02,1,"Bacon, Don",R,1,1,D,"137,602",R,"141,066"
S001172,NE-03,1,"Smith, Adrian",R,1,1,NONE,0,R,"226,720"
A000368,NH,1,Ayotte,R,1,0,R,"353,632",D,"354,649"
S001170,NH-01,0,"Shea-Porter, Carol",R,0,0,R,"157,176",D,"162,080"
K000382,NH-02,1,"Kuster, Annie",D,1,1,,"158,825",D,"174,371"
N000188,NJ-01,1,"Norcross, Donald",D,1,1,R,"112,388",D,"183,231"
L000554,NJ-02,1,"LoBiondo, Frank",R,1,1,D,"110,838",R,"176,338"
M001193,NJ-03,1,"MacArthur, Tom",R,1,1,D,"127,526",R,"194,596"
S000522,NJ-04,1,"Smith, Chris",R,1,1,D,"111,532",R,"211,992"
G000583,NJ-05,1,"Gottheimer, Josh",D,1,1,R,"157,690",D,"172,587"
P000034,NJ-06,1,"Pallone, Frank",D,1,1,R,"91,908",D,"167,895"
L000567,NJ-07,1,"Lance, Leonard",R,1,1,D,"148,188",R,"185,850"
S001165,NJ-08,1,"Sires, Albio",D,1,1,R,"32,337",D,"134,733"
P000096,NJ-09,1,"Pascrell, Bill",D,1,1,R,"65,376",D,"162,642"
P000604,NJ-10,1,"Payne, Donald",D,1,1,R,"26,450",D,"190,856"
F000372,NJ-11,1,"Frelinghuysen, Rodney",D,1,1,R,"130,162",D,"194,299"
W000822,NJ-12,1,"Watson Coleman, Bonnie",D,1,1,R,"92,407",D,"181,430"
L000580,NM-01,1,"Lujan Grisham, Michelle",D,1,1,R,"96,879",D,"181,088"
P000588,NM-02,1,"Pearce, Steve",R,1,1,D,"85,232",R,"143,514"
L000570,NM-03,1,"Lujan, Ben",D,1,1,R,"102,730",D,"170,612"
R000146,NV,0,Reid,D,0,0,R,"495,079",D,"521,994"
T000468,NV-01,1,"Titus, Dina",D,1,1,R,"54,174",D,"116,537"
A000369,NV-02,1,"Amodei, Mark",R,1,1,D,"115,722",R,"182,676"
R000608,NV-03,1,"Rosen, Jacky",D,1,1,R,"142,926",D,"146,869"
K000390,NV-04,1,"Kihuen, Ruben",D,1,1,R,"118,328",D,"128,985"
S000148,NY,1,Schumer,D,1,1,R,"2,009,353",D,"5,221,949"
Z000017,NY-01,1,"Zeldin, Lee",R,1,1,D,"135,278",R,"188,499"
K000210,NY-02,1,"King, Peter",R,1,1,D,"110,938",R,"181,506"
S001201,NY-03,1,"Suozzi, Tom",D,1,1,R,"152,304",D,"171,775"
R000602,NY-04,1,"Rice, Kathleen",D,1,1,R,"126,438",D,"186,423"
M001137,NY-05,1,"Meeks, Gregory",D,1,1,R,"30,312",D,"199,815"
M001188,NY-06,1,"Meng, Grace",D,1,1,R,"50,617",D,"136,506"
V000081,NY-07,1,"Velazquez, Nydia",D,1,1,R,"17,478",D,"172,146"
J000294,NY-08,1,"Jeffries, Hakeem",D,1,1,C,"15,401",D,"214,595"
C001067,NY-09,1,"Clarke, Yvette",D,1,1,C,"17,576",D,"214,189"
N000002,NY-10,1,"Nadler, Jerrold",D,1,1,R,"53,857",D,"192,371"
D000625,NY-11,1,"Donovan, Dan",R,1,1,D,"85,257",R,"142,934"
M000087,NY-12,1,"Maloney, Carolyn",D,1,1,R,"49,398",D,"244,358"
E000297,NY-13,1,"Espaillat, Adriano",D,1,1,R,"16,089",D,"207,194"
C001038,NY-14,1,"Crowley, Joe",D,1,1,R,"30,545",D,"147,587"
S000248,NY-15,1,"Serrano, Jose",D,1,1,R,"6,129",D,"165,688"
E000179,NY-16,1,"Engel, Eliot",D,1,1,PC,"11,825",D,"209,857"
L000480,NY-17,0,"Lowey, Nita",D,1,1,NONE,0,D,"214,530"
M001185,NY-18,1,"Maloney, Sean",D,1,1,R,"129,369",D,"162,060"
F000464,NY-19,0,"Faso, John",R,0,0,D,"141,224",R,"166,171"
T000469,NY-20,1,"Tonko, Paul",D,1,1,R,"100,738",D,"213,021"
S001196,NY-21,1,"Stefanik, Elise",R,1,1,D,"82,161",R,"177,886"
T000478,NY-22,0,"Tenney, Claudia",R,0,0,D,"114,266",R,"129,444"
R000585,NY-23,1,"Reed, Tom",R,1,1,D,"118,584",R,"161,050"
K000386,NY-24,1,"Katko, John",R,1,1,D,"119,040",R,"182,761"
S000480,NY-25,1,"Slaughter, Louise",D,1,1,R,"142,650",D,"182,950"
H001038,NY-26,1,"Higgins, Brian",D,1,1,R,"73,377",D,"215,289"
C001092,NY-27,1,"Collins, Chris",R,1,1,D,"107,832",R,"220,885"
P000449,OH,1,Portman,R,1,1,D,"1,996,908",R,"3,118,567"
C000266,OH-01,1,"Chabot, Steve",R,1,1,D,"144,644",R,"210,014"
W000815,OH-02,1,"Wenstrup, Brad",R,1,1,D,"111,694",R,"221,193"
B001281,OH-03,1,"Beatty, Joyce",D,1,1,R,"91,560",D,"199,791"
J000289,OH-04,1,"Jordan, Jim",R,1,1,D,"98,981",R,"210,227"
L000566,OH-05,1,"Latta, Bob",R,1,1,D,"100,392",R,"244,599"
J000292,OH-06,1,"Johnson, Bill",R,1,1,D,"88,780",R,"213,975"
G000563,OH-07,1,"Gibbs, Bob",R,1,1,D,"89,638",R,"198,221"
