Member,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev
"Bacon, Don (Republican - Nebraska)","Bacon, Don",Republican - Nebraska,B001298,Bacon, Don,Republican,Nebraska,NE
"Badham, Robert E. (Republican - California)","Badham, Robert E.",Republican - California,B000024,Badham, Robert E.,Republican,California,CA
"Badillo, Herman (Democratic - New York)","Badillo, Herman",Democratic - New York,B000025,Badillo, Herman,Democratic,New York,NY
"Baesler, Scotty (Democratic - Kentucky)","Baesler, Scotty",Democratic - Kentucky,B000028,Baesler, Scotty,Democratic,Kentucky,KY
"Bafalis, L. A. (Skip) (Republican - Florida)",#REF!,,B000029,#REF!,,,,
"Bailey, Donald A. (Democratic - Pennsylvania)","Bailey, Donald A.",Democratic - Pennsylvania,B000037,Bailey, Donald A.,Democratic,Pennsylvania,PA
"Bailey, Wendell (Republican - Missouri)","Bailey, Wendell",Republican - Missouri,B000047,Bailey, Wendell,Republican,Missouri,MO
"Baird, Brian (Democratic - Washington)","Baird, Brian",Democratic - Washington,B001229,Baird, Brian,Democratic,Washington,WA
"Baker, Bill (Republican - California)","Baker, Bill",Republican - California,B000078,Baker, Bill,Republican,California,CA
"Baker, Howard H., Jr. (Republican - Tennessee)","Baker, Howard H., Jr.",Republican - Tennessee,B000063,Baker," Howard H., Jr.",Republican,Tennessee,TN
"Baker, LaMar (Republican - Tennessee)","Baker, LaMar",Republican - Tennessee,B000069,Baker, LaMar,Republican,Tennessee,TN
"Baker, Richard H. (Republican - Louisiana)","Baker, Richard H.",Republican - Louisiana,B000072,Baker, Richard H.,Republican,Louisiana,LA
"Baldacci, John Elias (Democratic - Maine)","Baldacci, John Elias",Democratic - Maine,B000081,Baldacci, John Elias,Democratic,Maine,ME
"Baldus, Alvin J. (Democratic - Wisconsin)","Baldus, Alvin J.",Democratic - Wisconsin,B000083,Baldus, Alvin J.,Democratic,Wisconsin,WI
"Baldwin, Tammy (Democratic - Wisconsin)","Baldwin, Tammy",Democratic - Wisconsin,B001230,Baldwin, Tammy,Democratic,Wisconsin,WI
"Ballance, Frank W., Jr. (Democratic - North Carolina)","Ballance, Frank W., Jr.",Democratic - North Carolina,B001238,Ballance," Frank W., Jr.",Democratic,North Carolina,NC
"Ballenger, Cass (Republican - North Carolina)","Ballenger, Cass",Republican - North Carolina,B000104,Ballenger, Cass,Republican,North Carolina,NC
"Banks, Jim (Republican - Indiana)","Banks, Jim",Republican - Indiana,B001299,Banks, Jim,Republican,Indiana,IN
"Barber, Ron (Democratic - Arizona)","Barber, Ron",Democratic - Arizona,B001279,Barber, Ron,Democratic,Arizona,AZ
"Barca, Peter (Democratic - Wisconsin)","Barca, Peter",Democratic - Wisconsin,B001226,Barca, Peter,Democratic,Wisconsin,WI
"Barcia, James A. (Democratic - Michigan)","Barcia, James A.",Democratic - Michigan,B000134,Barcia, James A.,Democratic,Michigan,MI
"Barkley, Dean M. (Independent - Minnesota)","Barkley, Dean M.",Independent - Minnesota,B001237,Barkley, Dean M.,Independent,Minnesota,MN
"Barletta, Lou (Republican - Pennsylvania)","Barletta, Lou",Republican - Pennsylvania,B001269,Barletta, Lou,Republican,Pennsylvania,PA
"Barlow, Tom (Democratic - Kentucky)","Barlow, Tom",Democratic - Kentucky,B000151,Barlow, Tom,Democratic,Kentucky,KY
"Barnard, Doug, Jr. (Democratic - Georgia)","Barnard, Doug, Jr.",Democratic - Georgia,B000153,Barnard," Doug, Jr.",Democratic,Georgia,GA
"Barnes, Michael D. (Democratic - Maryland)","Barnes, Michael D.",Democratic - Maryland,B000160,Barnes, Michael D.,Democratic,Maryland,MD
"Barr, Andy (Republican - Kentucky)","Barr, Andy",Republican - Kentucky,B001282,Barr, Andy,Republican,Kentucky,KY
"Barr, Bob (Republican - Georgia)","Barr, Bob",Republican - Georgia,B000169,Barr, Bob,Republican,Georgia,GA
"Barragan, Nanette Diaz (Democratic - California)","Barragan, Nanette Diaz",Democratic - California,B001300,Barragan, Nanette Diaz,Democratic,California,CA
"Barrasso, John (Republican - Wyoming)","Barrasso, John",Republican - Wyoming,B001261,Barrasso, John,Republican,Wyoming,WY
"Barrett, Bill (Republican - Nebraska)","Barrett, Bill",Republican - Nebraska,B000179,Barrett, Bill,Republican,Nebraska,NE
"Barrett, J. Gresham (Republican - South Carolina)","Barrett, J. Gresham",Republican - South Carolina,B001239,Barrett, J. Gresham,Republican,South Carolina,SC
"Barrett, Thomas M. (Democratic - Wisconsin)","Barrett, Thomas M.",Democratic - Wisconsin,B000177,Barrett, Thomas M.,Democratic,Wisconsin,WI
