Member,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev
"Janklow, William J. (Republican - South Dakota)","Janklow, William J.",Republican - South Dakota,J000286,Janklow, William J.,Republican,South Dakota,SD
"Jarman, John (Democratic - Oklahoma)","Jarman, John",Democratic - Oklahoma,J000057,Jarman, John,Democratic,Oklahoma,OK
"Javits, Jacob K. (Republican - New York)","Javits, Jacob K.",Republican - New York,J000064,Javits, Jacob K.,Republican,New York,NY
"Jayapal, Pramila (Democratic - Washington)","Jayapal, Pramila",Democratic - Washington,J000298,Jayapal, Pramila,Democratic,Washington,WA
"Jefferson, William J. (Democratic - Louisiana)","Jefferson, William J.",Democratic - Louisiana,J000070,Jefferson, William J.,Democratic,Louisiana,LA
"Jeffords, James M. (Independent - Vermont)","Jeffords, James M.",Independent - Vermont,J000072,Jeffords, James M.,Independent,Vermont,VT
"Jeffries, Hakeem S. (Democratic - New York)","Jeffries, Hakeem S.",Democratic - New York,J000294,Jeffries, Hakeem S.,Democratic,New York,NY
"Jeffries, Jim (Republican - Kansas)","Jeffries, Jim",Republican - Kansas,J000074,Jeffries, Jim,Republican,Kansas,KS
"Jenkins, Edgar L. (Democratic - Georgia)","Jenkins, Edgar L.",Democratic - Georgia,J000083,Jenkins, Edgar L.,Democratic,Georgia,GA
"Jenkins, Evan H. (Republican - West Virginia)","Jenkins, Evan H.",Republican - West Virginia,J000297,Jenkins, Evan H.,Republican,West Virginia,WV
"Jenkins, Lynn (Republican - Kansas)","Jenkins, Lynn",Republican - Kansas,J000290,Jenkins, Lynn,Republican,Kansas,KS
"Jenkins, William L. (Republican - Tennessee)","Jenkins, William L.",Republican - Tennessee,J000082,Jenkins, William L.,Republican,Tennessee,TN
"Jenrette, John W., Jr. (Democratic - South Carolina)","Jenrette, John W., Jr.",Democratic - South Carolina,J000099,Jenrette," John W., Jr.",Democratic,South Carolina,SC
"Jepsen, Roger W. (Republican - Iowa)","Jepsen, Roger W.",Republican - Iowa,J000101,Jepsen, Roger W.,Republican,Iowa,IA
"Jindal, Bobby (Republican - Louisiana)","Jindal, Bobby",Republican - Louisiana,J000287,Jindal, Bobby,Republican,Louisiana,LA
"Johanns, Mike (Republican - Nebraska)","Johanns, Mike",Republican - Nebraska,J000291,Johanns, Mike,Republican,Nebraska,NE
"John, Christopher (Democratic - Louisiana)","John, Christopher",Democratic - Louisiana,J000110,John, Christopher,Democratic,Louisiana,LA
"Johnson, Albert W. (Republican - Pennsylvania)","Johnson, Albert W.",Republican - Pennsylvania,J000115,Johnson, Albert W.,Republican,Pennsylvania,PA
"Johnson, Bill (Republican - Ohio)","Johnson, Bill",Republican - Ohio,J000292,Johnson, Bill,Republican,Ohio,OH
"Johnson, Don (Democratic - Georgia)","Johnson, Don",Democratic - Georgia,J000120,Johnson, Don,Democratic,Georgia,GA
"Johnson, Eddie Bernice (Democratic - Texas)","Johnson, Eddie Bernice",Democratic - Texas,J000126,Johnson, Eddie Bernice,Democratic,Texas,TX
"Johnson, Harold T. (Democratic - California)","Johnson, Harold T.",Democratic - California,J000135,Johnson, Harold T.,Democratic,California,CA
"Johnson, Henry C. ""Hank,"" Jr. (Democratic - Georgia)","Johnson, Henry C. ""Hank,"" Jr.",Democratic - Georgia,J000288,Johnson," Henry C. ""Hank,"" Jr.",Democratic,Georgia,GA
"Johnson, James P. (Jim) (Republican - Colorado)",#REF!,,J000148,#REF!,,,,
"Johnson, Jay W. (Democratic - Wisconsin)","Johnson, Jay W.",Democratic - Wisconsin,J000149,Johnson, Jay W.,Democratic,Wisconsin,WI
"Johnson, Mike (Republican - Louisiana)","Johnson, Mike",Republican - Louisiana,J000299,Johnson, Mike,Republican,Louisiana,LA
"Johnson, Nancy L. (Republican - Connecticut)","Johnson, Nancy L.",Republican - Connecticut,J000163,Johnson, Nancy L.,Republican,Connecticut,CT
"Johnson, Ron (Republican - Wisconsin)","Johnson, Ron",Republican - Wisconsin,J000293,Johnson, Ron,Republican,Wisconsin,WI
"Johnson, Sam (Republican - Texas)","Johnson, Sam",Republican - Texas,J000174,Johnson, Sam,Republican,Texas,TX
"Johnson, Tim (Democratic - South Dakota)","Johnson, Tim",Democratic - South Dakota,J000177,Johnson, Tim,Democratic,South Dakota,SD
"Johnson, Timothy V. (Republican - Illinois)","Johnson, Timothy V.",Republican - Illinois,J000285,Johnson, Timothy V.,Republican,Illinois,IL
"Johnston, Eugene (Gene) (Republican - North Carolina)",#REF!,,J000200,#REF!,,,,
"Johnston, Harry (Democratic - Florida)","Johnston, Harry",Democratic - Florida,J000187,Johnston, Harry,Democratic,Florida,FL
"Johnston, J. Bennett (Democratic - Louisiana)","Johnston, J. Bennett",Democratic - Louisiana,J000189,Johnston, J. Bennett,Democratic,Louisiana,LA
"Jolly, David W. (Republican - Florida)","Jolly, David W.",Republican - Florida,J000296,Jolly, David W.,Republican,Florida,FL
"Jones, Ben (Democratic - Georgia)","Jones, Ben",Democratic - Georgia,J000211,Jones, Ben,Democratic,Georgia,GA
"Jones, Ed (Democratic - Tennessee)","Jones, Ed",Democratic - Tennessee,J000216,Jones, Ed,Democratic,Tennessee,TN
"Jones, James R. (Democratic - Oklahoma)","Jones, James R.",Democratic - Oklahoma,J000232,Jones, James R.,Democratic,Oklahoma,OK
"Jones, Robert E., Jr. (Democratic - Alabama)","Jones, Robert E., Jr.",Democratic - Alabama,J000248,Jones," Robert E., Jr.",Democratic,Alabama,AL
"Jones, Stephanie Tubbs (Democratic - Ohio)","Jones, Stephanie Tubbs",Democratic - Ohio,J000284,Jones, Stephanie Tubbs,Democratic,Ohio,OH
"Jones, Walter B. (Democratic - North Carolina)","Jones, Walter B.",Democratic - North Carolina,J000256,Jones, Walter B.,Democratic,North Carolina,NC
"Jones, Walter B., Jr. (Republican - North Carolina)","Jones, Walter B., Jr.",Republican - North Carolina,J000255,Jones," Walter B., Jr.",Republican,North Carolina,NC
"Jontz, Jim (Democratic - Indiana)","Jontz, Jim",Democratic - Indiana,J000265,Jontz, Jim,Democratic,Indiana,IN
"Jordan, Barbara (Democratic - Texas)","Jordan, Barbara",Democratic - Texas,J000266,Jordan, Barbara,Democratic,Texas,TX
"Jordan, Jim (Republican - Ohio)","Jordan, Jim",Republican - Ohio,J000289,Jordan, Jim,Republican,Ohio,OH
"Joyce, David P. (Republican - Ohio)","Joyce, David P.",Republican - Ohio,J000295,Joyce, David P.,Republican,Ohio,OH
"Kagen, Steve (Democratic - Wisconsin)","Kagen, Steve",Democratic - Wisconsin,K000365,Kagen, Steve,Democratic,Wisconsin,WI
"Kaine, Tim (Democratic - Virginia)","Kaine, Tim",Democratic - Virginia,K000384,Kaine, Tim,Democratic,Virginia,VA
"Kanjorski, Paul E. (Democratic - Pennsylvania)","Kanjorski, Paul E.",Democratic - Pennsylvania,K000008,Kanjorski, Paul E.,Democratic,Pennsylvania,PA
"Kaptur, Marcy (Democratic - Ohio)","Kaptur, Marcy",Democratic - Ohio,K000009,Kaptur, Marcy,Democratic,Ohio,OH
"Karnes, David K. (Republican - Nebraska)","Karnes, David K.",Republican - Nebraska,K000011,Karnes, David K.,Republican,Nebraska,NE
"Karth, Joseph E. (Democratic - Minnesota)","Karth, Joseph E.",Democratic - Minnesota,K000014,Karth, Joseph E.,Democratic,Minnesota,MN
"Kasich, John R. (Republican - Ohio)","Kasich, John R.",Republican - Ohio,K000016,Kasich, John R.,Republican,Ohio,OH
"Kassebaum, Nancy Landon (Republican - Kansas)","Kassebaum, Nancy Landon",Republican - Kansas,K000017,Kassebaum, Nancy Landon,Republican,Kansas,KS
"Kasten, Robert W., Jr. (Republican - Wisconsin)","Kasten, Robert W., Jr.",Republican - Wisconsin,K000019,Kasten," Robert W., Jr.",Republican,Wisconsin,WI
"Kastenmeier, Robert W. (Democratic - Wisconsin)","Kastenmeier, Robert W.",Democratic - Wisconsin,K000020,Kastenmeier, Robert W.,Democratic,Wisconsin,WI
"Katko, John (Republican - New York)","Katko, John",Republican - New York,K000386,Katko, John,Republican,New York,NY
"Kaufman, Edward E. (Democratic - Delaware)","Kaufman, Edward E.",Democratic - Delaware,K000373,Kaufman, Edward E.,Democratic,Delaware,DE
"Kazen, Abraham, Jr. (Democratic - Texas)","Kazen, Abraham, Jr.",Democratic - Texas,K000025,Kazen," Abraham, Jr.",Democratic,Texas,TX
"Keating, William J. (Republican - Ohio)","Keating, William J.",Republican - Ohio,K000037,Keating, William J.,Republican,Ohio,OH
"Keating, William R. (Democratic - Massachusetts)","Keating, William R.",Democratic - Massachusetts,K000375,Keating, William R.,Democratic,Massachusetts,MA
"Keller, Ric (Republican - Florida)","Keller, Ric",Republican - Florida,K000361,Keller, Ric,Republican,Florida,FL
"Kelly, Mike (Republican - Pennsylvania)","Kelly, Mike",Republican - Pennsylvania,K000376,Kelly, Mike,Republican,Pennsylvania,PA
"Kelly, Richard (Republican - Florida)","Kelly, Richard",Republican - Florida,K000077,Kelly, Richard,Republican,Florida,FL
"Kelly, Robin L. (Democratic - Illinois)","Kelly, Robin L.",Democratic - Illinois,K000385,Kelly, Robin L.,Democratic,Illinois,IL
"Kelly, Sue W. (Republican - New York)","Kelly, Sue W.",Republican - New York,K000078,Kelly, Sue W.,Republican,New York,NY
"Kelly, Trent (Republican - Mississippi)","Kelly, Trent",Republican - Mississippi,K000388,Kelly, Trent,Republican,Mississippi,MS
"Kemp, Jack (Republican - New York)","Kemp, Jack",Republican - New York,K000086,Kemp, Jack,Republican,New York,NY
"Kempthorne, Dirk (Republican - Idaho)","Kempthorne, Dirk",Republican - Idaho,K000088,Kempthorne, Dirk,Republican,Idaho,ID
"Kennedy, Edward M. (Democratic - Massachusetts)","Kennedy, Edward M.",Democratic - Massachusetts,K000105,Kennedy, Edward M.,Democratic,Massachusetts,MA
"Kennedy, John (Republican - Louisiana)","Kennedy, John",Republican - Louisiana,K000393,Kennedy, John,Republican,Louisiana,LA
"Kennedy, Joseph P., II (Democratic - Massachusetts)","Kennedy, Joseph P., II",Democratic - Massachusetts,K000110,Kennedy," Joseph P., II",Democratic,Massachusetts,MA
"Kennedy, Joseph P., III (Democratic - Massachusetts)","Kennedy, Joseph P., III",Democratic - Massachusetts,K000379,Kennedy," Joseph P., III",Democratic,Massachusetts,MA
"Kennedy, Mark R. (Republican - Minnesota)","Kennedy, Mark R.",Republican - Minnesota,K000358,Kennedy, Mark R.,Republican,Minnesota,MN
"Kennedy, Patrick J. (Democratic - Rhode Island)","Kennedy, Patrick J.",Democratic - Rhode Island,K000113,Kennedy, Patrick J.,Democratic,Rhode Island,RI
"Kennelly, Barbara B. (Democratic - Connecticut)","Kennelly, Barbara B.",Democratic - Connecticut,K000118,Kennelly, Barbara B.,Democratic,Connecticut,CT
"Kerns, Brian D. (Republican - Indiana)","Kerns, Brian D.",Republican - Indiana,K000359,Kerns, Brian D.,Republican,Indiana,IN
"Kerrey, J. Robert (Democratic - Nebraska)","Kerrey, J. Robert",Democratic - Nebraska,K000146,Kerrey, J. Robert,Democratic,Nebraska,NE
"Kerry, John F. (Democratic - Massachusetts)","Kerry, John F.",Democratic - Massachusetts,K000148,Kerry, John F.,Democratic,Massachusetts,MA
"Ketchum, William M. (Republican - California)","Ketchum, William M.",Republican - California,K000153,Ketchum, William M.,Republican,California,CA
"Keys, Martha E. (Democratic - Kansas)","Keys, Martha E.",Democratic - Kansas,K000162,Keys, Martha E.,Democratic,Kansas,KS
"Khanna, Ro (Democratic - California)","Khanna, Ro",Democratic - California,K000389,Khanna, Ro,Democratic,California,CA
"Kihuen, Ruben J. (Democratic - Nevada)","Kihuen, Ruben J.",Democratic - Nevada,K000390,Kihuen, Ruben J.,Democratic,Nevada,NV
"Kildee, Dale E. (Democratic - Michigan)","Kildee, Dale E.",Democratic - Michigan,K000172,Kildee, Dale E.,Democratic,Michigan,MI
"Kildee, Daniel T. (Democratic - Michigan)","Kildee, Daniel T.",Democratic - Michigan,K000380,Kildee, Daniel T.,Democratic,Michigan,MI
"Kilmer, Derek (Democratic - Washington)","Kilmer, Derek",Democratic - Washington,K000381,Kilmer, Derek,Democratic,Washington,WA
"Kilpatrick, Carolyn C. (Democratic - Michigan)","Kilpatrick, Carolyn C.",Democratic - Michigan,K000180,Kilpatrick, Carolyn C.,Democratic,Michigan,MI
"Kilroy, Mary Jo (Democratic - Ohio)","Kilroy, Mary Jo",Democratic - Ohio,K000372,Kilroy, Mary Jo,Democratic,Ohio,OH
"Kim, Jay (Republican - California)","Kim, Jay",Republican - California,K000181,Kim, Jay,Republican,California,CA
"Kind, Ron (Democratic - Wisconsin)","Kind, Ron",Democratic - Wisconsin,K000188,Kind, Ron,Democratic,Wisconsin,WI
"Kindness, Thomas N. (Republican - Ohio)","Kindness, Thomas N.",Republican - Ohio,K000190,Kindness, Thomas N.,Republican,Ohio,OH
"King, Angus S., Jr. (Independent - Maine)","King, Angus S., Jr.",Independent - Maine,K000383,King," Angus S., Jr.",Independent,Maine,ME
"King, Carleton J. (Republican - New York)","King, Carleton J.",Republican - New York,K000195,King, Carleton J.,Republican,New York,NY
"King, Peter T. (Republican - New York)","King, Peter T.",Republican - New York,K000210,King, Peter T.,Republican,New York,NY
"King, Steve (Republican - Iowa)","King, Steve",Republican - Iowa,K000362,King, Steve,Republican,Iowa,IA
"Kingston, Jack (Republican - Georgia)","Kingston, Jack",Republican - Georgia,K000220,Kingston, Jack,Republican,Georgia,GA
"Kinzinger, Adam (Republican - Illinois)","Kinzinger, Adam",Republican - Illinois,K000378,Kinzinger, Adam,Republican,Illinois,IL
"Kirk, Mark Steven (Republican - Illinois)","Kirk, Mark Steven",Republican - Illinois,K000360,Kirk, Mark Steven,Republican,Illinois,IL
"Kirk, Paul Grattan, Jr. (Democratic - Massachusetts)","Kirk, Paul Grattan, Jr.",Democratic - Massachusetts,K000374,Kirk," Paul Grattan, Jr.",Democratic,Massachusetts,MA
"Kirkpatrick, Ann (Democratic - Arizona)","Kirkpatrick, Ann",Democratic - Arizona,K000368,Kirkpatrick, Ann,Democratic,Arizona,AZ
"Kissell, Larry (Democratic - North Carolina)","Kissell, Larry",Democratic - North Carolina,K000369,Kissell, Larry,Democratic,North Carolina,NC
"Kleczka, Gerald D. (Democratic - Wisconsin)","Kleczka, Gerald D.",Democratic - Wisconsin,K000259,Kleczka, Gerald D.,Democratic,Wisconsin,WI
"Klein, Herbert C. (Democratic - New Jersey)","Klein, Herbert C.",Democratic - New Jersey,K000262,Klein, Herbert C.,Democratic,New Jersey,NJ
"Klein, Ron (Democratic - Florida)","Klein, Ron",Democratic - Florida,K000366,Klein, Ron,Democratic,Florida,FL
"Kline, John (Republican - Minnesota)","Kline, John",Republican - Minnesota,K000363,Kline, John,Republican,Minnesota,MN
"Klink, Ron (Democratic - Pennsylvania)","Klink, Ron",Democratic - Pennsylvania,K000270,Klink, Ron,Democratic,Pennsylvania,PA
"Klobuchar, Amy (Democratic - Minnesota)","Klobuchar, Amy",Democratic - Minnesota,K000367,Klobuchar, Amy,Democratic,Minnesota,MN
"Kluczynski, John C. (Democratic - Illinois)","Kluczynski, John C.",Democratic - Illinois,K000273,Kluczynski, John C.,Democratic,Illinois,IL
"Klug, Scott L. (Republican - Wisconsin)","Klug, Scott L.",Republican - Wisconsin,K000274,Klug, Scott L.,Republican,Wisconsin,WI
"Knight, Stephen (Republican - California)","Knight, Stephen",Republican - California,K000387,Knight, Stephen,Republican,California,CA
"Knollenberg, Joe (Republican - Michigan)","Knollenberg, Joe",Republican - Michigan,K000288,Knollenberg, Joe,Republican,Michigan,MI
"Koch, Edward I. (Democratic - New York)","Koch, Edward I.",Democratic - New York,K000302,Koch, Edward I.,Democratic,New York,NY
"Kogovsek, Ray (Democratic - Colorado)","Kogovsek, Ray",Democratic - Colorado,K000304,Kogovsek, Ray,Democratic,Colorado,CO
"Kohl, Herb (Democratic - Wisconsin)","Kohl, Herb",Democratic - Wisconsin,K000305,Kohl, Herb,Democratic,Wisconsin,WI
"Kolbe, Jim (Republican - Arizona)","Kolbe, Jim",Republican - Arizona,K000306,Kolbe, Jim,Republican,Arizona,AZ
"Kolter, Joseph P. (Democratic - Pennsylvania)","Kolter, Joseph P.",Democratic - Pennsylvania,K000307,Kolter, Joseph P.,Democratic,Pennsylvania,PA
"Konnyu, Ernest L. (Republican - California)","Konnyu, Ernest L.",Republican - California,K000309,Konnyu, Ernest L.,Republican,California,CA
"Kopetski, Mike (Democratic - Oregon)","Kopetski, Mike",Democratic - Oregon,K000312,Kopetski, Mike,Democratic,Oregon,OR
"Kosmas, Suzanne M. (Democratic - Florida)","Kosmas, Suzanne M.",Democratic - Florida,K000370,Kosmas, Suzanne M.,Democratic,Florida,FL
"Kostmayer, Peter H. (Democratic - Pennsylvania)","Kostmayer, Peter H.",Democratic - Pennsylvania,K000319,Kostmayer, Peter H.,Democratic,Pennsylvania,PA
"Kramer, Ken (Republican - Colorado)","Kramer, Ken",Republican - Colorado,K000322,Kramer, Ken,Republican,Colorado,CO
"Kratovil, Frank, Jr. (Democratic - Maryland)","Kratovil, Frank, Jr.",Democratic - Maryland,K000371,Kratovil," Frank, Jr.",Democratic,Maryland,MD
"Krebs, John H. (Democratic - California)","Krebs, John H.",Democratic - California,K000325,Krebs, John H.,Democratic,California,CA
"Kreidler, Mike (Democratic - Washington)","Kreidler, Mike",Democratic - Washington,K000328,Kreidler, Mike,Democratic,Washington,WA
"Krishnamoorthi, Raja (Democratic - Illinois)","Krishnamoorthi, Raja",Democratic - Illinois,K000391,Krishnamoorthi, Raja,Democratic,Illinois,IL
"Krueger, Robert C. (Democratic - Texas)","Krueger, Robert C.",Democratic - Texas,K000333,Krueger, Robert C.,Democratic,Texas,TX
"Kucinich, Dennis J. (Democratic - Ohio)","Kucinich, Dennis J.",Democratic - Ohio,K000336,Kucinich, Dennis J.,Democratic,Ohio,OH
"Kuhl, John R. ""Randy"", Jr. (Republican - New York)","Kuhl, John R. ""Randy"", Jr.",Republican - New York,K000364,Kuhl," John R. ""Randy"", Jr.",Republican,New York,NY
"Kuster, Ann M. (Democratic - New Hampshire)","Kuster, Ann M.",Democratic - New Hampshire,K000382,Kuster, Ann M.,Democratic,New Hampshire,NH
"Kustoff, David (Republican - Tennessee)","Kustoff, David",Republican - Tennessee,K000392,Kustoff, David,Republican,Tennessee,TN
"Kuykendall, Dan H. (Republican - Tennessee)","Kuykendall, Dan H.",Republican - Tennessee,K000348,Kuykendall, Dan H.,Republican,Tennessee,TN
"Kuykendall, Steven T. (Republican - California)","Kuykendall, Steven T.",Republican - California,K000357,Kuykendall, Steven T.,Republican,California,CA
"Kyl, Jon (Republican - Arizona)","Kyl, Jon",Republican - Arizona,K000352,Kyl, Jon,Republican,Arizona,AZ
"Kyros, Peter N. (Democratic - Maine)","Kyros, Peter N.",Democratic - Maine,K000356,Kyros, Peter N.,Democratic,Maine,ME
"Labrador, Raul R. (Republican - Idaho)","Labrador, Raul R.",Republican - Idaho,L000573,Labrador, Raul R.,Republican,Idaho,ID
"LaFalce, John J. (Democratic - New York)","LaFalce, John J.",Democratic - New York,L000556,LaFalce, John J.,Democratic,New York,NY
"Lagomarsino, Robert J. (Republican - California)","Lagomarsino, Robert J.",Republican - California,L000020,Lagomarsino, Robert J.,Republican,California,CA
"LaHood, Darin (Republican - Illinois)","LaHood, Darin",Republican - Illinois,L000585,LaHood, Darin,Republican,Illinois,IL
"LaHood, Ray (Republican - Illinois)","LaHood, Ray",Republican - Illinois,L000552,LaHood, Ray,Republican,Illinois,IL
"LaMalfa, Doug (Republican - California)","LaMalfa, Doug",Republican - California,L000578,LaMalfa, Doug,Republican,California,CA
"Lamborn, Doug (Republican - Colorado)","Lamborn, Doug",Republican - Colorado,L000564,Lamborn, Doug,Republican,Colorado,CO
"Lampson, Nick (Democratic - Texas)","Lampson, Nick",Democratic - Texas,L000043,Lampson, Nick,Democratic,Texas,TX
"Lancaster, H. Martin (Democratic - North Carolina)","Lancaster, H. Martin",Democratic - North Carolina,L000045,Lancaster, H. Martin,Democratic,North Carolina,NC
"Lance, Leonard (Republican - New Jersey)","Lance, Leonard",Republican - New Jersey,L000567,Lance, Leonard,Republican,New Jersey,NJ
"Landgrebe, Earl F. (Republican - Indiana)","Landgrebe, Earl F.",Republican - Indiana,L000049,Landgrebe, Earl F.,Republican,Indiana,IN
"Landrieu, Mary L. (Democratic - Louisiana)","Landrieu, Mary L.",Democratic - Louisiana,L000550,Landrieu, Mary L.,Democratic,Louisiana,LA
"Landrum, Phil M. (Democratic - Georgia)","Landrum, Phil M.",Democratic - Georgia,L000054,Landrum, Phil M.,Democratic,Georgia,GA
"Landry, Jeffrey M. (Republican - Louisiana)","Landry, Jeffrey M.",Republican - Louisiana,L000574,Landry, Jeffrey M.,Republican,Louisiana,LA
"Langevin, James R. (Democratic - Rhode Island)","Langevin, James R.",Democratic - Rhode Island,L000559,Langevin, James R.,Democratic,Rhode Island,RI
"Lankford, James (Republican - Oklahoma)","Lankford, James",Republican - Oklahoma,L000575,Lankford, James,Republican,Oklahoma,OK
"Lantos, Tom (Democratic - California)","Lantos, Tom",Democratic - California,L000090,Lantos, Tom,Democratic,California,CA
"Largent, Steve (Republican - Oklahoma)","Largent, Steve",Republican - Oklahoma,L000096,Largent, Steve,Republican,Oklahoma,OK
"LaRocco, Larry (Democratic - Idaho)","LaRocco, Larry",Democratic - Idaho,L000098,LaRocco, Larry,Democratic,Idaho,ID
"Larsen, Rick (Democratic - Washington)","Larsen, Rick",Democratic - Washington,L000560,Larsen, Rick,Democratic,Washington,WA
"Larson, John B. (Democratic - Connecticut)","Larson, John B.",Democratic - Connecticut,L000557,Larson, John B.,Democratic,Connecticut,CT
"Latham, Tom (Republican - Iowa)","Latham, Tom",Republican - Iowa,L000111,Latham, Tom,Republican,Iowa,IA
"LaTourette, Steven C. (Republican - Ohio)","LaTourette, Steven C.",Republican - Ohio,L000553,LaTourette, Steven C.,Republican,Ohio,OH
"Latta, Delbert L. (Republican - Ohio)","Latta, Delbert L.",Republican - Ohio,L000116,Latta, Delbert L.,Republican,Ohio,OH
"Latta, Robert E. (Republican - Ohio)","Latta, Robert E.",Republican - Ohio,L000566,Latta, Robert E.,Republican,Ohio,OH
"Laughlin, Greg (Democratic - Texas)","Laughlin, Greg",Democratic - Texas,L000119,Laughlin, Greg,Democratic,Texas,TX
"Lautenberg, Frank R. (Democratic - New Jersey)","Lautenberg, Frank R.",Democratic - New Jersey,L000123,Lautenberg, Frank R.,Democratic,New Jersey,NJ
"Lawrence, Brenda L. (Democratic - Michigan)","Lawrence, Brenda L.",Democratic - Michigan,L000581,Lawrence, Brenda L.,Democratic,Michigan,MI
"Lawson, Al, Jr. (Democratic - Florida)","Lawson, Al, Jr.",Democratic - Florida,L000586,Lawson," Al, Jr.",Democratic,Florida,FL
"Laxalt, Paul D. (Republican - Nevada)","Laxalt, Paul D.",Republican - Nevada,L000148,Laxalt, Paul D.,Republican,Nevada,NV
"Lazio, Rick (Republican - New York)","Lazio, Rick",Republican - New York,L000155,Lazio, Rick,Republican,New York,NY
"Leach, Claude (Buddy), Jr. (Democratic - Louisiana)",#REF!,,L000167,#REF!,,,,
"Leach, James A. (Republican - Iowa)","Leach, James A.",Republican - Iowa,L000169,Leach, James A.,Republican,Iowa,IA
"Leahy, Patrick J. (Democratic - Vermont)","Leahy, Patrick J.",Democratic - Vermont,L000174,Leahy, Patrick J.,Democratic,Vermont,VT
"Leath, Marvin (Democratic - Texas)","Leath, Marvin",Democratic - Texas,L000180,Leath, Marvin,Democratic,Texas,TX
"LeBoutillier, John (Republican - New York)","LeBoutillier, John",Republican - New York,L000547,LeBoutillier, John,Republican,New York,NY
"Lederer, Raymond F. (Democratic - Pennsylvania)","Lederer, Raymond F.",Democratic - Pennsylvania,L000187,Lederer, Raymond F.,Democratic,Pennsylvania,PA
"Lee, Barbara (Democratic - California)","Lee, Barbara",Democratic - California,L000551,Lee, Barbara,Democratic,California,CA
"Lee, Christopher J. (Republican - New York)","Lee, Christopher J.",Republican - New York,L000568,Lee, Christopher J.,Republican,New York,NY
"Lee, Gary A. (Republican - New York)","Lee, Gary A.",Republican - New York,L000192,Lee, Gary A.,Republican,New York,NY
"Lee, Mike (Republican - Utah)","Lee, Mike",Republican - Utah,L000577,Lee, Mike,Republican,Utah,UT
"LeFante, Joseph A. (Democratic - New Jersey)","LeFante, Joseph A.",Democratic - New Jersey,L000561,LeFante, Joseph A.,Democratic,New Jersey,NJ
"Leggett, Robert L. (Democratic - California)","Leggett, Robert L.",Democratic - California,L000221,Leggett, Robert L.,Democratic,California,CA
"Lehman, Richard H. (Democratic - California)","Lehman, Richard H.",Democratic - California,L000225,Lehman, Richard H.,Democratic,California,CA
"Lehman, William (Democratic - Florida)","Lehman, William",Democratic - Florida,L000226,Lehman, William,Democratic,Florida,FL
"Leland, Mickey (Democratic - Texas)","Leland, Mickey",Democratic - Texas,L000237,Leland, Mickey,Democratic,Texas,TX
"LeMieux, George S. (Republican - Florida)","LeMieux, George S.",Republican - Florida,L000572,LeMieux, George S.,Republican,Florida,FL
"Lent, Norman F. (Republican - New York)","Lent, Norman F.",Republican - New York,L000243,Lent, Norman F.,Republican,New York,NY
"Levin, Carl (Democratic - Michigan)","Levin, Carl",Democratic - Michigan,L000261,Levin, Carl,Democratic,Michigan,MI
"Levin, Sander M. (Democratic - Michigan)","Levin, Sander M.",Democratic - Michigan,L000263,Levin, Sander M.,Democratic,Michigan,MI
"Levine, Mel (Democratic - California)","Levine, Mel",Democratic - California,L000264,Levine, Mel,Democratic,California,CA
"Levitas, Elliott H. (Democratic - Georgia)","Levitas, Elliott H.",Democratic - Georgia,L000265,Levitas, Elliott H.,Democratic,Georgia,GA
"Levy, David A. (Republican - New York)","Levy, David A.",Republican - New York,L000267,Levy, David A.,Republican,New York,NY
"Lewis, Jason (Republican - Minnesota)","Lewis, Jason",Republican - Minnesota,L000587,Lewis, Jason,Republican,Minnesota,MN
"Lewis, Jerry (Republican - California)","Lewis, Jerry",Republican - California,L000274,Lewis, Jerry,Republican,California,CA
"Lewis, John (Democratic - Georgia)","Lewis, John",Democratic - Georgia,L000287,Lewis, John,Democratic,Georgia,GA
"Lewis, Ron (Republican - Kentucky)","Lewis, Ron",Republican - Kentucky,L000293,Lewis, Ron,Republican,Kentucky,KY
"Lewis, Thomas F. (Republican - Florida)","Lewis, Thomas F.",Republican - Florida,L000295,Lewis, Thomas F.,Republican,Florida,FL
"Lieberman, Joseph I. (Independent Democrat - Connecticut)","Lieberman, Joseph I.",Independent Democrat - Connecticut,L000304,Lieberman, Joseph I.,Independent Democrat,Connecticut,CT
"Lieu, Ted (Democratic - California)","Lieu, Ted",Democratic - California,L000582,Lieu, Ted,Democratic,California,CA
"Lightfoot, Jim (Republican - Iowa)","Lightfoot, Jim",Republican - Iowa,L000305,Lightfoot, Jim,Republican,Iowa,IA
"Lincoln, Blanche L. (Democratic - Arkansas)","Lincoln, Blanche L.",Democratic - Arkansas,L000035,Lincoln, Blanche L.,Democratic,Arkansas,AR
"Linder, John (Republican - Georgia)","Linder, John",Republican - Georgia,L000321,Linder, John,Republican,Georgia,GA
"Lipinski, Daniel (Democratic - Illinois)","Lipinski, Daniel",Democratic - Illinois,L000563,Lipinski, Daniel,Democratic,Illinois,IL
"Lipinski, William O. (Democratic - Illinois)","Lipinski, William O.",Democratic - Illinois,L000342,Lipinski, William O.,Democratic,Illinois,IL
"Litton, Jerry (Democratic - Missouri)","Litton, Jerry",Democratic - Missouri,L000360,Litton, Jerry,Democratic,Missouri,MO
"Livingston, Bob (Republican - Louisiana)","Livingston, Bob",Republican - Louisiana,L000371,Livingston, Bob,Republican,Louisiana,LA
