,id.bioguide,handle,state,district,type,party,name.last,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,closeness,week1,week2,week3,week4,week5,week6,week7,week8,week9
12,B000574,blumenauermedia,OR,3.0,rep,Democrat,Blumenauer,"Blumenauer, Earl",D,1,1,1,274687.0,78154.0,D,I,0.55700159562,,,,,,,,,
13,B001255,repboustany,LA,3.0,rep,Republican,Boustany,"Higgins, Clay",R,0,0,0,91532.0,84912.0,R,R,0.0375189861939,1.314222,0.571769,0.974576,9.514873,4.19265333333,,1.552931,0.796748,
14,B000755,repkevinbrady,TX,8.0,rep,Republican,Brady,"Brady, Kevin",R,1,1,1,236379.0,0.0,R,NONE,1.0,7.76292166667,18.0770575,5.08546150333,7.298835,9.630764,17.2899,10.460926,18.28328,10.4938086
15,B001227,repbrady,PA,1.0,rep,Democrat,Brady,"Brady, Bob",D,1,1,1,245791.0,53219.0,D,R,0.644031972175,-1.51076333333,,,,-0.728736,-8.46856666667,-10.3945,,
16,B001274,repmobrooks,AL,5.0,rep,Republican,Brooks,"Brooks, Mo",R,1,1,1,205647.0,102234.0,R,D,0.335886267746,3.753665,7.327078,5.72549,13.6012,0.013986,,,,1.33673
17,B000911,repcorrinebrown,FL,5.0,rep,Democrat,Brown,"Lawson, Al",D,1,1,1,194549.0,108325.0,D,R,0.28468604106,,,,,,,,,
18,B001260,vernbuchanan,FL,16.0,rep,Republican,Buchanan,"Buchanan, Vern",R,1,1,1,230654.0,155262.0,R,D,0.195358575441,0.426322041,0.691402575,0.570156605,-0.00115266,0.647186666667,1.09709,1.09795666667,0.838044333333,0.90860666225
19,B001275,replarrybucshon,IN,8.0,rep,Republican,Bucshon,"Bucshon, Larry",R,1,1,1,187702.0,93356.0,R,D,0.335681603085,4.099385,4.48891733333,2.82355266667,11.527016,5.90678,12.15182,6.80561666667,10.63921,28.0714
20,B001248,michaelcburgess,TX,26.0,rep,Republican,Burgess,"Burgess, Michael",R,1,1,1,211730.0,94507.0,R,D,0.382785228434,3.17226385714,9.64109642857,3.910375,6.42401833333,4.90961666667,2.539408,5.619437175,3.67269833333,46.31925
21,B001251,gkbutterfield,NC,1.0,rep,Democrat,Butterfield,"Butterfield, G.K.",D,1,1,1,240661.0,101567.0,D,R,0.406436644576,-31.201828,-44.9651933333,-41.81591,-23.698446725,-0.944557,-1.013356,-16.951423,-21.594805,-42.551175
22,C000059,kencalvert,CA,42.0,rep,Republican,Calvert,"Calvert, Ken",R,1,1,1,149547.0,104689.0,R,D,0.176442360641,,,,8.32141,1.81356,13.165,6.92553,23.2032,0.969388
23,C001036,reploiscapps,CA,24.0,rep,Democrat,Capps,"Carbajal, Salud",D,0,0,0,166034.0,144780.0,D,D,0.0683817331266,-33.196006,-45.494674,-2.3844825,-22.353045,-1.0,-29.50942,-18.3585175,-20.90466,-35.9949
24,C001037,repmikecapuano,MA,7.0,rep,Democrat,Capuano,"Capuano, Mike",D,1,1,1,253354.0,3557.0,D,Write in,0.972309476823,,,,,,,,,
25,C001083,johncarneyde,DE,0.0,rep,Democrat,Carney,"Blunt Rochester, Lisa",D,1,1,1,233554.0,172301.0,D,R,0.150923359328,-40.971865,-7.26829,-10.9804,-0.66223,,,,,
26,C001072,repandrecarson,IN,7.0,rep,Democrat,Carson,"Carson, Andre",D,1,1,1,158739.0,94456.0,D,R,0.25388732005,-0.34211,-21.588315,,-28.22447,-11.564085,-0.969027,-0.8968465,-1.241885,-2.25652
27,C001051,judgecarter,TX,31.0,rep,Republican,Carter,"Carter, John",R,1,1,1,166060.0,103852.0,R,D,0.230475117816,2.2245066,1.81954971429,8.23511833333,10.3293764,4.1756875,0.831308,3.05815,10.051637,6.051328
28,C001066,usrepkcastor,FL,14.0,rep,Democrat,Castor,"Castor, Kathy",D,1,1,1,195789.0,121088.0,D,R,0.235741312875,-44.1565445714,-44.4575225,-45.45454,-6.229427,-30.346366,-27.6902185,-17.485778304,-39.017744,-32.6011528571
29,C000266,repstevechabot,OH,1.0,rep,Republican,Chabot,"Chabot, Steve",R,1,1,1,210014.0,144644.0,R,D,0.184318413796,9.609916,3.45763,7.824885,13.05167,6.6944875,13.5983,2.62413,14.566276,-0.074886
30,C001076,jasoninthehouse,UT,3.0,rep,Republican,Chaffetz,"Chaffetz, Jason",R,1,1,1,209589.0,75716.0,R,D,0.469227668635,2.89206625,2.47651,9.73685,1.06429,,2.17392,3.95745,6.95012,2.48117525
31,C001080,repjudychu,CA,27.0,rep,Democrat,Chu,"Chu, Judy",D,1,1,1,168977.0,81655.0,D,R,0.348407226531,-45.849572175,-83.8407,-17.933705,-20.39724825,-1.4581205,-27.299825,-16.953095,-8.9282,
32,C001084,repcicilline,RI,1.0,rep,Democrat,Cicilline,"Cicilline, David",D,1,1,1,130534.0,71023.0,D,R,0.295256428703,-70.6032578,-110.0227625,-61.80428,-45.7547,-30.5785333333,-26.079672,-18.0891533333,-25.9259025,-45.09795
33,C001067,yvetteclarke,NY,9.0,rep,Democrat,Clarke,"Clarke, Yvette",D,1,1,1,214189.0,17576.0,D,C,0.848329126486,,,,,,,,,
35,C001061,repcleaver,MO,5.0,rep,Democrat,Cleaver,"Cleaver, Emanuel",D,1,1,1,190766.0,123771.0,D,R,0.21299560942,-6.3020876,-194.11,-8.202654,-32.020135,-0.1192925,0.375556,-18.2483175,-3.68411,-9.614692325
36,C000537,clyburn,SC,6.0,rep,Democrat,Clyburn,"Clyburn, Jim",D,1,1,1,177947.0,70099.0,D,R,0.43479032115,-0.957143,-125.92788,-19.13218,-49.9906,,-36.4602,-2.10752,-11.323005,
37,C001077,repmikecoffman,CO,6.0,rep,Republican,Coffman,"Coffman, Mike",R,1,1,1,191626.0,160372.0,R,D,0.0887902772175,1.30064863333,19.6926635,3.93032666667,12.6586,,0.974138,3.07044,2.60271,
38,C001068,repcohen,TN,9.0,rep,Democrat,Cohen,"Cohen, Steve",D,1,1,1,171631.0,41123.0,D,R,0.613422074321,-11.3916245,-48.42999,-11.027258,-25.3313466667,-23.5508716667,-7.175284,-22.966448,-23.4758775,-11.61736
39,C001053,tomcoleok04,OK,4.0,rep,Republican,Cole,"Cole, Tom",R,1,1,1,204143.0,76472.0,R,D,0.454968551218,-0.927027,1.490305,0.890323,,,,1.97872,,1.15957
40,C001062,conawaytx11,TX,11.0,rep,Republican,Conaway,"Conaway, Michael",R,1,1,1,201871.0,23677.0,R,L,0.790049124798,,,,,,,,,
41,C001078,gerryconnolly,VA,11.0,rep,Democrat,Connolly,"Connolly, Gerry",D,1,1,0,247818.0,34185.0,D,Write in,0.757555770683,-0.422923,-2.58593933333,-2.944582,-1.42232233333,-0.822362,-1.31303333333,-2.395008,-1.74913,-0.8131765
42,C000714,repjohnconyers,MI,13.0,rep,Democrat,Conyers,"Conyers, John",D,1,1,1,198771.0,40541.0,D,R,0.6611870696,-45.93528,-2.13879553333,-23.2408633333,-27.2205933333,-0.994653,-1.02655,,-22.07857,
43,C000754,repjimcooper,TN,5.0,rep,Democrat,Cooper,"Cooper, Jim",D,1,1,1,171111.0,102433.0,D,R,0.25106746995,-6.70001,-8.67158,-9.96679,-24.05314,-1.01205935,-1.04192333333,,-4.69565,
44,C001059,repjimcosta,CA,16.0,rep,Democrat,Costa,"Costa, Jim",D,1,1,1,97473.0,70483.0,D,R,0.160696849175,-1.859375,-23.0255,-0.38201,-17.810997,-0.9065885,-1.391505,-30.8571,,-3.480705
45,C001069,repjoecourtney,CT,2.0,rep,Democrat,Courtney,"Courtney, Joe",D,1,1,1,208818.0,111149.0,D,R,0.305247103608,-51.782812,-56.226165,-18.3137332,-1.60956425,-1.7714785,-3.13519666667,-0.017029298775,-3.3892,-21.830563
46,C001087,reprickcrawford,AR,1.0,rep,Republican,Crawford,"Crawford, Rick",R,1,1,1,183866.0,57181.0,R,L,0.525561405037,-1.03017,4.39728,1.829157,6.45294666667,1.90678,1.314195,,,
47,C001045,andercrenshaw,FL,4.0,rep,Republican,Crenshaw,"Rutherford, John",R,1,1,1,287509.0,113088.0,R,D,0.435402661528,,,,,,,,,
48,C001038,repjoecrowley,NY,14.0,rep,Democrat,Crowley,"Crowley, Joe",D,1,1,1,147587.0,30545.0,D,R,0.657052073743,-56.2635633333,-98.1913981667,-65.654566,-49.6814641,-32.73062,-65.1529,-55.3582,-33.45622,-43.6505
49,C001063,repcuellar,TX,28.0,rep,Democrat,Cuellar,"Cuellar, Henry",D,1,1,1,122086.0,57740.0,D,R,0.357823673996,,-3.032165,-3.18323333333,-0.949153,,,-0.52690859755,,
50,C001048,congculberson,TX,7.0,rep,Republican,Culberson,"Culberson, John",R,1,1,1,143542.0,111991.0,R,D,0.12347133247,2.04935525,16.4496653333,,5.953135,0.90678,3.147655,1.95325,13.0385,9.486985
51,C000984,repcummings,MD,7.0,rep,Democrat,Cummings,"Cummings, Elijah",D,1,1,1,238838.0,69556.0,D,R,0.548914700027,-23.2187321667,-35.4268466667,-53.1246833333,-33.46946,-14.6471985,-21.3398,-47.067,-34.1922,-2.1639005
52,D000096,repdannydavis,IL,7.0,rep,Democrat,Davis,"Davis, Danny",D,1,1,1,250584.0,46882.0,D,R,0.684790866855,,,,-0.0821828,,,,,-2.357615
53,D000598,repsusandavis,CA,53.0,rep,Democrat,Davis,"Davis, Susan",D,1,1,1,198988.0,97968.0,D,R,0.340185077924,0.22791073,-59.74498,-0.7993,,-1.131068,-27.60893515,-2.02151,-3.82214333333,-40.9482
54,D000191,reppeterdefazio,OR,4.0,rep,Democrat,DeFazio,"DeFazio, Peter",D,1,1,1,220628.0,157743.0,D,R,0.166199312315,-0.927027,-5.43479,-4.49276,-16.9739,,,-0.619403333333,,
55,D000197,repdianadegette,CO,1.0,rep,Democrat,DeGette,"DeGette, Diana",D,1,1,1,257254.0,105030.0,D,R,0.420178644378,-32.2668694,-42.6534228571,-46.286252,-24.21749614,-15.3802625,-15.5610633333,-50.6292,-1.706645,-68.523
56,D000216,rosadelauro,CT,3.0,rep,Democrat,DeLauro,"DeLauro, Rosa",D,1,1,1,213572.0,95786.0,D,R,0.380743345897,-55.30362,-118.86866,-65.83605,-41.263945,-32.9637,-70.5303666667,-36.0067666667,-49.3919,-53.181675
57,D000612,repjeffdenham,CA,10.0,rep,Republican,Denham,"Denham, Jeff",R,1,1,1,124671.0,116470.0,R,D,0.0340091481747,4.20758666667,2.83466166667,2.157363,1.73824025,1.72573333333,6.422945,1.77115866667,0.0573318,4.92254666667
59,D000616,desjarlaistn04,TN,4.0,rep,Republican,DesJarlais,"DesJarlais, Scott",R,1,1,1,165796.0,89141.0,R,D,0.30068212931,2.0081132,6.36058,2.063235,,1.675186,9.51913913,3.86857666667,9.97991666667,8.36727333333
60,D000610,repteddeutch,FL,21.0,rep,Democrat,Deutch,"Frankel, Lois",D,1,1,1,210606.0,118038.0,D,R,0.281666484098,-18.345085,-35.4429364,-8.6338412,-3.01548325,1.94683925,-4.86161466667,-1.449439,-1.921765,-11.7875303333
61,D000600,mariodb,FL,25.0,rep,Republican,Diaz-Balart,"Diaz-Balart, Mario",R,1,1,1,157921.0,95319.0,R,D,0.247204233139,1.30864966667,1.029578,5.74535666667,3.8566017,4.339394,6.593705,4.584854,1.7518892,7.37116833333
62,D000399,replloyddoggett,TX,35.0,rep,Democrat,Doggett,"Doggett, Lloyd",D,1,1,1,124612.0,62384.0,D,R,0.332777171704,-1.37229,-55.3711666667,-0.801169,-27.990445,-14.4665,-9.240926,-59.5321,-20.3583,-34.203114
63,D000482,usrepmikedoyle,PA,14.0,rep,Democrat,Doyle,"Doyle, Michael",D,1,1,1,255293.0,87999.0,D,R,0.487322745651,,-142.917,-1.560995,,,,-1.01075,,-7.22105
64,D000614,repseanduffy,WI,7.0,rep,Republican,Duffy,"Duffy, Sean",R,1,1,1,223418.0,138643.0,R,D,0.234145627394,5.45044123,7.06345,1.89010772333,5.57419,1.508405,2.17392,7.212314,0.756381666667,
65,D000615,repjeffduncan,SC,3.0,rep,Republican,Duncan,"Duncan, Jeff",R,1,1,1,196325.0,72933.0,R,D,0.458266792444,3.04595333333,11.29753625,2.86274,4.795745,,3.85153533333,2.885645,2.517688,6.11293333333
66,D000533,repjohnduncanjr,TN,2.0,rep,Republican,Duncan,"Duncan, John",R,1,1,1,212455.0,68401.0,R,D,0.512910530663,0.694593,4.55057,0.272246666667,,1.0,,,,
67,E000290,repdonnaedwards,MD,4.0,rep,Democrat,Edwards,"Brown, Anthony",D,0,0,0,237501.0,68670.0,D,R,0.551427143655,-56.44879,-105.078647143,-63.2100157143,-57.5651942857,-37.8243333333,-53.0930671429,-27.95478,-42.72252,-46.0220314286
68,E000288,keithellison,MN,5.0,rep,Democrat,Ellison,"Ellison, Keith",D,1,1,1,249964.0,80660.0,D,R,0.512074138599,-3.2186025,-7.811524,-6.1983425,-30.9232685,-2.25898666667,-3.08552,-2.0714698,-1.766465,-2.765605
69,E000291,repreneeellmers,NC,2.0,rep,Republican,Ellmers,"Holding, George",R,1,1,1,221485.0,169082.0,R,D,0.134171601799,9.5557755,14.2123683333,5.58965666667,10.6817925,17.6834033333,9.0957125,2.0807819,12.68976,5.8359
70,E000179,repeliotengel,NY,16.0,rep,Democrat,Engel,"Engel, Eliot",D,1,1,1,209857.0,11825.0,D,PC,0.893315650346,-33.3169701429,-50.3647234286,-18.6940583333,-24.950928,-25.0661125,-15.574002,-10.3945,-18.8783943333,-30.29535525
71,E000215,repannaeshoo,CA,18.0,rep,Democrat,Eshoo,"Eshoo, Anna",D,1,1,1,230460.0,93470.0,D,R,0.422900009261,-0.927027,-36.8824,,,,,,,-25.3574
72,F000460,farenthold,TX,27.0,rep,Republican,Farenthold,"Farenthold, Blake",R,1,1,1,142251.0,88329.0,R,D,0.233853760083,2.616645,4.29629516667,2.53552883333,1.65429233333,1.01681,,1.273282,2.882793,
73,F000030,repsamfarr,CA,20.0,rep,Democrat,Farr,"Panetta, Jimmy",D,0,0,0,180980.0,74811.0,D,R,0.415061515065,-41.9162438571,-90.888035,-18.3665366667,-28.06575362,-7.37726616667,-13.4307516667,-11.5895033333,-2.476888,-37.468274
74,F000458,repfinchertn08,TN,8.0,rep,Republican,Fincher,"Kustoff, David",R,0,0,0,194386.0,70925.0,R,D,0.465344444821,,7.4625115,,20.33164467,2.20613525,10.8463,4.7449,0.796748,
75,F000451,repfitzpatrick,PA,8.0,rep,Republican,Fitzpatrick,"Fitzpatrick, Brian",R,1,1,1,207263.0,173555.0,R,D,0.0885147235687,0.967105,,0.025,1.585715,,,1.02857,,1.069305
76,F000459,repchuck,TN,3.0,rep,Republican,Fleischmann,"Fleischmann, Chuck",R,1,1,1,176613.0,76727.0,R,D,0.394276466409,0.578167666667,3.23154666667,4.56565,0.996661,0.333333,,1.50415733333,0.7435588,-1.36815
77,F000456,repfleming,LA,4.0,rep,Republican,Fleming,"Johnson, Mike",R,0,0,0,80593.0,70580.0,D,R,0.0662353727187,,3.95576,9.73685,31.2619,,3.26087,3.8665,,
78,F000461,repbillflores,TX,17.0,rep,Republican,Flores,"Flores, Bill",R,1,1,1,149417.0,86603.0,R,D,0.266138462842,14.664725,10.9657175,1.670367,4.7881125,17.92985,2.787425,7.29907,12.49202,11.865285
79,F000445,randy_forbes,VA,4.0,rep,Republican,Forbes,"McEachin, Donald",R,0,0,0,200136.0,145731.0,D,R,0.157300349556,,,,,,,,,
80,F000449,jefffortenberry,NE,1.0,rep,Republican,Fortenberry,"Fortenberry, Jeff",R,1,1,1,189771.0,83467.0,R,D,0.389052767185,,0.650602,,,,,,,
81,F000450,virginiafoxx,NC,5.0,rep,Republican,Foxx,"Foxx, Virginia",R,1,1,1,207625.0,147887.0,R,D,0.168033709129,1.93421,7.6366,5.090665,15.1569706667,1.01681,,,3.64912,
82,F000448,reptrentfranks,AZ,8.0,rep,Republican,Franks,"Franks, Trent",R,1,1,1,204942.0,93954.0,R,G,0.371326481452,1.665319872,,5.61036,12.6722,,0.909836,,10.7116,
83,F000372,usreprodney,NJ,11.0,rep,Republican,Frelinghuysen,"Frelinghuysen, Rodney",D,1,1,1,194299.0,130162.0,D,R,0.197672447536,1.90977416667,2.80056,1.7269576,2.72142033333,0.901988,1.01619866667,1.8469805,0.805326333333,10.3284436667
84,F000455,repmarciafudge,OH,11.0,rep,Democrat,Fudge,"Fudge, Marcia",D,1,1,1,242917.0,59769.0,D,R,0.605075887223,-11.885584,-12.306335,-35.492936,-19.87503751,-6.488253892,-13.79045,-33.1985425,-14.15363,-39.668815
85,G000559,repgaramendi,CA,3.0,rep,Democrat,Garamendi,"Garamendi, John",D,1,1,1,152513.0,104453.0,D,R,0.187028634138,-1.0651865,-31.2997,-2.29206,,-1.095738,-1.06667,,-2.4206475,-1.01042
86,G000548,repgarrett,NJ,5.0,rep,Republican,Garrett,"Gottheimer, Josh",D,1,1,1,172587.0,157690.0,D,R,0.045104563745,0.089041,6.5845,,,,,,,
87,G000563,repbobgibbs,OH,7.0,rep,Republican,Gibbs,"Gibbs, Bob",R,1,1,1,198221.0,89638.0,R,D,0.377208980786,7.1224975,1.468802,-0.00438714,10.35815925,2.0,,,0.912281,
88,G000564,repchrisgibson,NY,19.0,rep,Republican,Gibson,"Faso, John",R,0,0,0,166171.0,141224.0,R,D,0.0811561671465,,,1.25,,,,,,
89,G000552,replouiegohmert,TX,1.0,rep,Republican,Gohmert,"Gohmert, Louie",R,1,1,1,192434.0,62847.0,R,D,0.507624930958,1.81380833333,9.833726,4.510191,7.0503425,1.77999333333,5.8219536,1.605495,8.7255844,4.36773166667
90,G000289,repgoodlatte,VA,6.0,rep,Republican,Goodlatte,"Goodlatte, Bob",R,1,1,1,225471.0,112170.0,R,D,0.335566474451,9.56565,5.7631438,19.6871033333,13.93544,6.563406,5.10603,1.041311,9.63120656714,2.4579025
91,G000565,repgosar,AZ,4.0,rep,Republican,Gosar,"Gosar, Paul",R,1,1,1,203487.0,81296.0,R,D,0.42906704403,,4.241765,2.8036318,0.953125,,,2.80825,2.39024,2.54293
92,G000566,tgowdysc,SC,4.0,rep,Republican,Gowdy,"Gowdy, Trey",R,1,1,1,198648.0,91676.0,R,D,0.368457309764,1.37997,24.362623,5.71788,6.41717666667,,,,1.35278,1.4642355
93,G000377,repkaygranger,TX,12.0,rep,Republican,Granger,"Granger, Kay",R,1,1,1,196482.0,76029.0,R,D,0.442011515131,,,,,,,,,
94,G000546,repsamgraves,MO,6.0,rep,Republican,Graves,"Graves, Sam",R,1,1,1,238388.0,99692.0,R,D,0.410246095599,1.37997,27.12345,,5.78255,11.1849,,,12.16665,
95,G000560,reptomgraves,GA,14.0,rep,Republican,Graves,"Graves, Tom",R,1,1,1,216743.0,0.0,R,NONE,1.0,0.965604166667,17.3556425,6.2691245,14.78745,5.436105,3.965566,,1.5,1.33673
96,G000553,repalgreen,TX,9.0,rep,Democrat,Green,"Green, Al",D,1,1,1,152032.0,36491.0,D,R,0.61287482164,-1.37229,-1.302855,-14.6471,-4.30556,1.4797965,,,,
97,G000410,repgenegreen,TX,29.0,rep,Democrat,Green,"Green, Gene",D,1,1,1,95649.0,31646.0,D,R,0.502792725559,-4.41448,-6.61044,-0.00219357,-5.714955,-1.5562431456,,-1.01075,,
98,G000568,repmgriffith,VA,9.0,rep,Republican,Griffith,"Griffith, Morgan",R,1,1,1,212838.0,87877.0,R,D,0.415546281363,0.852349,,,,,,,,
99,G000551,repraulgrijalva,AZ,3.0,rep,Democrat,Grijalva,"Grijalva, Raul",D,1,1,0,148973.0,2062.0,D,write in,0.972695070679,-25.184695,-66.1436433333,-30.57614,-10.38861525,-19.4615,,-18.3636143333,,-19.1414305
100,G000558,repguthrie,KY,2.0,rep,Republican,Guthrie,"Guthrie, Brett",R,1,1,0,251825.0,0.0,R,NONE,1.0,20.8955,4.42623,,,-0.15265,,,,
101,G000535,luisgutierrez,IL,4.0,rep,Democrat,Gutiérrez,"Gutierrez, Luis",D,1,1,0,171297.0,0.0,D,NONE,1.0,,,,,,,,,
102,H001051,reprichardhanna,NY,22.0,rep,Republican,Hanna,"Tenney, Claudia",R,0,0,0,129444.0,114266.0,R,D,0.0622789380821,,4.258835,13.179188,10.4365,,,1.05825,,
103,H001045,greggharper,MS,3.0,rep,Republican,Harper,"Harper, Gregg",R,1,1,1,209490.0,96101.0,R,D,0.371048231132,1.7047,0.000891266,,2.40476,2.33952,1.94828,,,1.15957
104,H001052,repandyharrismd,MD,1.0,rep,Republican,Harris,"Harris, Andy",R,1,1,1,242574.0,103622.0,R,D,0.401368011184,0.528073,8.67166,1.9085,2.55605,,1.09709,1.89796,2.25,22.9429
105,H001053,rephartzler,MO,4.0,rep,Republican,Hartzler,"Hartzler, Vicki",R,1,1,1,225348.0,92510.0,R,D,0.417916176406,2.331877,15.0098793333,12.60979,15.9302271429,6.861315,6.62530266667,1.72727,16.63846,10.0460094
106,H000324,rephastingsfl,FL,20.0,rep,Democrat,Hastings,"Hastings, Alcee",D,1,1,1,222914.0,54646.0,D,R,0.606240092232,,,,-43.46515,-29.7757,-43.9901,-30.8571,-30.68355,-14.55736
107,H001055,repjoeheck,NV,3.0,rep,Republican,Heck,"Rosen, Jacky",D,1,1,1,146869.0,142926.0,D,R,0.0136061698787,0.757465666667,8.9252375,0.954248,1.378425,2.28095,0.978098666667,1.17822,0.843837333333,1.21569
108,H001036,rephensarling,TX,5.0,rep,Republican,Hensarling,"Hensarling, Jeb",R,1,1,1,155469.0,37406.0,R,L,0.61212184057,12.34627,12.1387,0.968933333333,2.28547,10.8814,14.5574,,0.84608,
109,H001056,herrerabeutler,WA,3.0,rep,Republican,Herrera Beutler,"Herrera Beutler, Jaime",R,1,1,1,193457.0,119820.0,R,D,0.235053961829,,,,,0.235718,,,,
110,H001038,repbrianhiggins,NY,26.0,rep,Democrat,Higgins,"Higgins, Brian",D,1,1,1,215289.0,73377.0,D,R,0.491613144603,-5.5334046,-50.6681205,-1.48359666667,-14.4074245,-2.014159,-3.261025,-0.12520075,-2.411525,-0.4554886325
111,H001047,jahimes,CT,4.0,rep,Democrat,Himes,"Himes, Jim",D,1,1,1,187811.0,125724.0,D,R,0.198022549317,-3.37633666667,-16.045672,-6.8367175,-13.371101,-2.802834,-6.16916333333,-1.73515466667,-2.695725,-2.10026335
112,H000636,usreprhinojosa,TX,15.0,rep,Democrat,Hinojosa,"Gonzalez, Vicente",D,1,1,1,101712.0,66877.0,D,R,0.206626766871,-4.53997,-2.240295,-5.79191,-28.12724,,,,-1.09615,
113,H001034,repmikehonda,CA,17.0,rep,Democrat,Honda,"Khanna, Ro",D,1,0,1,142268.0,90924.0,D,D,0.2201790799,-29.1321933333,-97.3387633333,-23.6539772,-2.4249848,-9.42386428571,-19.44412,-12.7034565,-31.43736,-27.7555836
114,H000874,whiphoyer,MD,5.0,rep,Democrat,Hoyer,"Hoyer, Steny",D,1,1,1,242989.0,105931.0,D,R,0.392806373954,-53.8948078333,-96.18074,-60.31571,-57.365228,-28.156915,-65.73775,-36.0067666667,-48.123075,-64.2186
115,H001057,conghuelskamp,KS,1.0,rep,Republican,Huelskamp,"Marshall, Roger",R,0,0,0,169992.0,67739.0,R,I,0.430120598492,3.18941,5.334424,9.78492,12.915598,10.034006,3.440394,8.91274,16.6057082,7.4087625
116,H001058,rephuizenga,MI,2.0,rep,Republican,Huizenga,"Huizenga, Bill",R,1,1,1,212508.0,110391.0,R,D,0.31625059229,5.573604,1.080827,6.8201615,5.244235,4.72727,6.81897,9.598635,,
117,H001059,rephultgren,IL,14.0,rep,Republican,Hultgren,"Hultgren, Randy",R,1,1,1,200508.0,137589.0,R,D,0.1860974809,6.98519,6.38434333333,3.93454428571,1.879611886,3.043847825,1.26143,1.601934,7.6324718,14.7863625
118,H001048,rep_hunter,CA,50.0,rep,Republican,Hunter,"Hunter, Duncan",R,1,1,1,179937.0,103646.0,R,D,0.269025294182,,,,,,,,,
119,H001060,reproberthurt,VA,5.0,rep,Republican,Hurt,"Garrett, Tom",R,0,0,0,207758.0,148339.0,R,D,0.166861838207,0.9958475,-0.091158,1.0158665,,2.36364,,,0.851852,
120,I000057,repsteveisrael,NY,3.0,rep,Democrat,Israel,"Suozzi, Tom",D,1,1,1,171775.0,152304.0,D,R,0.0600810296255,-51.0455711667,-91.03824,-50.4255966667,-40.076849,-27.2631114,-51.41524,-7.96484133333,-41.8548,-38.5850675
121,I000056,darrellissa,CA,49.0,rep,Republican,Issa,"Issa, Darrell",R,1,1,1,155888.0,154267.0,R,R,0.00522641904854,,6.615326,1.78065,,,,,0.421653,1.25913
122,J000032,jacksonleetx18,TX,18.0,rep,Democrat,Jackson Lee,"Jackson-Lee, Sheila",D,1,1,1,150157.0,48306.0,D,R,0.513198933806,-71.330952,-77.61235,-92.246725,-67.055025,1.06785,-60.8100666667,-21.99679,-32.05129,-45.03444625
123,J000290,replynnjenkins,KS,2.0,rep,Republican,Jenkins,"Jenkins, Lynn",R,1,1,1,181228.0,96840.0,R,D,0.303479724384,4.99081666667,16.4496653333,8.015185,7.74898066667,0.843987666667,9.32738,,14.1668,
