,id.bioguide,handle,name,gender,chamber,party,district,inc_ran,inc_won,had_challenger,inc_party,winner_party,runnerup_party,runnerup_votes,winner_votes,week,avg_score
139,L000263,repsandylevin,Sander M. Levin,M,rep,Democrat,MI-09,1.0,1.0,1,D,D,R,"128,937","199,661",1,17.0
140,L000287,repjohnlewis,John Lewis,M,rep,Democrat,GA-05,1.0,1.0,1,D,D,R,"46,768","253,781",1,5.0
141,L000563,replipinski,Daniel Lipinski,M,rep,Democrat,IL-03,1.0,1.0,0,D,D,write in,91,"225,320",1,3.0
142,L000554,replobiondo,Frank A. LoBiondo,M,rep,Republican,NJ-02,1.0,1.0,1,R,R,D,"110,838","176,338",1,2.0
143,L000565,daveloebsack,David Loebsack,M,rep,Democrat,IA-02,1.0,1.0,1,D,D,R,"170,933","198,571",1,2.0
144,L000397,repzoelofgren,Zoe Lofgren,F,rep,Democrat,CA-19,1.0,1.0,1,D,D,R,"64,061","181,802",1,16.0
145,L000576,usreplong,Billy Long,M,rep,Republican,MO-07,1.0,1.0,1,R,R,D,"92,756","228,692",1,7.0
146,L000480,nitalowey,Nita M. Lowey,F,rep,Democrat,NY-17,1.0,1.0,0,D,D,NONE,0,"214,530",1,20.0
147,L000491,repfranklucas,Frank D. Lucas,M,rep,Republican,OK-03,1.0,1.0,1,R,R,D,"63,090","227,525",1,6.0
148,L000569,repblainepress,Blaine Luetkemeyer,M,rep,Republican,MO-03,1.0,1.0,1,R,R,D,"102,891","249,865",1,9.0
149,L000570,repbenraylujan,Ben Ray Luján,M,rep,Democrat,NM-03,1.0,1.0,1,D,D,R,"102,730","170,612",1,3.0
150,L000562,repstephenlynch,Stephen F. Lynch,M,rep,Democrat,MA-08,1.0,1.0,1,D,D,R,"102,744","271,019",1,9.0
151,M000087,repmaloney,Carolyn B. Maloney,F,rep,Democrat,NY-12,1.0,1.0,1,D,D,R,"49,398","244,358",1,14.0
152,M001158,repkenmarchant,Kenny Marchant,M,rep,Republican,TX-24,1.0,1.0,1,R,R,D,"108,389","154,845",1,24.0
153,M001179,reptommarino,Tom Marino,M,rep,Republican,PA-10,1.0,1.0,1,R,R,D,"89,823","211,282",1,10.0
154,M001163,dorismatsui,Doris O. Matsui,F,rep,Democrat,CA-06,1.0,1.0,1,D,D,R,"57,848","177,565",1,5.0
155,M000303,senjohnmccain,John McCain,M,rep,Republican,AZ,1.0,1.0,1,R,R,D,"1,031,245","1,359,267",1,1.0
156,M001165,gopleader,Kevin McCarthy,M,rep,Republican,CA-23,1.0,1.0,1,R,R,D,"74,468","167,116",1,22.0
157,M001157,repmccaul,Michael T. McCaul,M,rep,Republican,TX-10,1.0,1.0,1,R,R,D,"120,170","179,221",1,10.0
158,M001177,repmcclintock,Tom McClintock,M,rep,Republican,CA-04,1.0,1.0,1,R,R,D,"130,845","220,133",1,4.0
159,M001143,bettymccollum04,Betty McCollum,F,rep,Democrat,MN-04,1.0,1.0,1,D,D,R,"121,032","203,299",1,4.0
160,M000312,repmcgovern,James P. McGovern,M,rep,Democrat,MA-02,1.0,1.0,1,D,D,write in,"4,924","275,487",1,3.0
161,M001156,patrickmchenry,Patrick T. McHenry,M,rep,Republican,NC-10,1.0,1.0,1,R,R,D,"128,919","220,825",1,10.0
162,M001180,repmckinley,David B. McKinley,M,rep,Republican,WV-01,1.0,1.0,1,R,R,D,"73,534","163,469",1,1.0
163,M001159,cathymcmorris,Cathy McMorris Rodgers,F,rep,Republican,WA-05,1.0,1.0,1,R,R,D,"130,575","192,959",1,5.0
164,M001166,repmcnerney,Jerry McNerney,M,rep,Democrat,CA-09,1.0,1.0,1,D,D,R,"98,992","133,163",1,11.0
165,M001181,repmeehan,Patrick Meehan,M,rep,Republican,PA-07,1.0,1.0,1,R,R,D,"153,824","225,678",1,7.0
166,M001137,gregorymeeks,Gregory W. Meeks,M,rep,Democrat,NY-05,1.0,1.0,1,D,D,R,"30,312","199,815",1,6.0
167,M000702,senatorbarb,Barbara A. Mikulski,F,rep,Democrat,MD,0.0,0.0,0,D,D,R,"972,557","1,659,907",1,3.0
168,M001160,repgwenmoore,Gwen Moore,F,rep,Democrat,WI-04,1.0,1.0,1,D,D,I,"33,494","220,181",1,4.0
169,M000934,jerrymoran,Jerry Moran,M,rep,Republican,KS,1.0,1.0,1,R,R,D,"379,740","732,376",1,1.0
170,M001182,repmickmulvaney,Mick Mulvaney,M,rep,Republican,SC-05,1.0,1.0,1,R,R,D,"105,772","161,669",1,5.0
171,M001153,lisamurkowski,Lisa Murkowski,F,sen,Republican,AK,1.0,1.0,1,R,R,D,36200,138149,1,
172,M001151,reptimmurphy,Tim Murphy,M,rep,Republican,PA-18,1.0,1.0,1,R,R,NONE,0,"293,684",1,18.0
173,M001111,pattymurray,Patty Murray,F,sen,Democrat,WA,1.0,1.0,1,D,D,R,"1,329,338","1,913,979",1,
174,N000002,repjerrynadler,Jerrold Nadler,M,rep,Democrat,NY-10,1.0,1.0,1,D,D,R,"53,857","192,371",1,17.0
175,N000179,gracenapolitano,Grace F. Napolitano,F,rep,Democrat,CA-32,1.0,1.0,1,D,D,D,"71,720","114,926",1,34.0
176,N000015,reprichardneal,Richard E. Neal,M,rep,Democrat,MA-01,1.0,1.0,1,D,D,I,"57,504","235,803",1,2.0
177,N000184,repkristinoem,Kristi L. Noem,F,rep,Republican,SD-AL,1.0,1.0,1,R,R,D,"132,810","237,163",1,0.0
178,N000181,rep_devinnunes,Devin Nunes,M,rep,Republican,CA-22,1.0,1.0,1,R,R,D,"76,211","158,755",1,21.0
179,O000168,reppeteolson,Pete Olson,M,rep,Republican,TX-22,1.0,1.0,1,R,R,D,"123,679","181,864",1,22.0
180,P000601,congpalazzo,Steven M. Palazzo,M,rep,Republican,MS-04,1.0,1.0,1,R,R,D,"77,505","181,323",1,4.0
181,P000034,frankpallone,Frank Pallone Jr.,M,rep,Democrat,NJ-06,1.0,1.0,1,D,D,R,"91,908","167,895",1,6.0
182,P000096,billpascrell,Bill Pascrell Jr.,M,rep,Democrat,NJ-09,1.0,1.0,1,D,D,R,"65,376","162,642",1,8.0
183,P000594,reperikpaulsen,Erik Paulsen,M,rep,Republican,MN-03,1.0,1.0,1,R,R,D,"169,243","223,077",1,3.0
184,P000588,repstevepearce,Stevan Pearce,M,rep,Republican,NM-02,1.0,1.0,1,R,R,D,"85,232","143,514",1,2.0
185,P000197,nancypelosi,Nancy Pelosi,F,rep,Democrat,CA-12,1.0,1.0,1,D,D,I,"64,810","274,035",1,5.0
186,P000593,repperlmutter,Ed Perlmutter,M,rep,Democrat,CO-07,1.0,1.0,1,D,D,R,"144,066","199,758",1,7.0
187,P000597,chelliepingree,Chellie Pingree,F,rep,Democrat,ME-01,1.0,1.0,1,D,D,R,"164,569","227,546",1,1.0
188,P000592,judgetedpoe,Ted Poe,M,rep,Republican,TX-02,1.0,1.0,1,R,R,D,"100,231","168,692",1,2.0
189,P000598,jaredpolis,Jared Polis,M,rep,Democrat,CO-02,1.0,1.0,1,D,D,R,"170,001","260,175",1,2.0
190,P000602,repmikepompeo,Mike Pompeo,M,rep,Republican,KS-04,1.0,1.0,1,R,R,D,"81,495","166,998",1,4.0
191,P000449,senrobportman,Rob Portman,M,rep,Republican,OH,1.0,1.0,1,R,R,D,"1,996,908","3,118,567",1,2.0
192,P000599,congbillposey,Bill Posey,M,rep,Republican,FL-08,1.0,1.0,1,R,R,D,"127,127","246,483",1,15.0
193,P000523,repdavideprice,David E. Price,M,rep,Democrat,NC-04,1.0,1.0,1,D,D,R,"130,161","279,380",1,4.0
194,P000591,reptomprice,Tom Price,M,rep,Republican,GA-06,1.0,1.0,1,R,R,D,"124,917","201,088",1,6.0
195,Q000023,repmikequigley,Mike Quigley,M,rep,Democrat,IL-05,1.0,1.0,1,D,D,R,"86,222","212,842",1,5.0
196,R000585,reptomreed,Tom Reed,M,rep,Republican,NY-23,1.0,1.0,1,R,R,D,"118,584","161,050",1,29.0
197,R000578,davereichert,David G. Reichert,M,rep,Republican,WA-08,1.0,1.0,1,R,R,D,"127,720","193,145",1,8.0
198,R000146,senatorreid,Harry Reid,M,rep,Democrat,NV,0.0,0.0,0,D,D,R,"495,079","521,994",1,1.0
199,R000586,repjimrenacci,James B. Renacci,M,rep,Republican,OH-16,1.0,1.0,1,R,R,D,"119,830","225,794",1,16.0
200,R000588,reprichmond,Cedric L. Richmond,M,rep,Democrat,LA-02,1.0,1.0,1,D,D,D,"57,125","198,289",1,2.0
201,R000591,repmartharoby,Martha Roby,F,rep,Republican,AL-02,1.0,1.0,1,R,R,D,"112,089","134,886",1,2.0
202,R000582,drphilroe,David P. Roe,M,rep,Republican,TN-01,1.0,1.0,1,R,R,D,"39,024","198,293",1,1.0
203,R000395,rephalrogers,Harold Rogers,M,rep,Republican,KY-05,1.0,1.0,0,R,R,NONE,0,"221,242",1,5.0
204,R000575,repmikerogersal,Mike Rogers,M,rep,Republican,AL-03,1.0,1.0,1,R,R,D,"94,549","192,164",1,3.0
