district,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,"Clinton2016","Trump2016",Obama 2012,Romney 2012,Obama 2008,McCain 2008
NC-04,"Price, David",D,1,1,1,"279,380","130,161",D,R,68.2,28.2,65.4,34.6,65.8,33.2
NC-05,"Foxx, Virginia",R,1,1,1,"207,625","147,887",R,D,39.8,57.4,42.8,57.2,44.6,54.2
NC-06,"Walker, Mark",R,1,1,1,"207,983","143,167",R,D,41.4,56.1,43.6,56.4,45.2,53.8
NC-07,"Rouzer, David",R,1,1,1,"211,801","135,905",R,D,39.9,57.6,43.6,56.4,44.6,54.6
NC-08,"Hudson, Richard",R,1,1,1,"189,863","133,182",R,D,41.1,56.1,44.8,55.2,45.3,53.9
NC-09,"Pittenger, Robert",R,1,1,1,"193,452","139,041",R,D,42.8,54.4,44.2,55.8,45.2,54
NC-10,"McHenry, Patrick",R,1,1,1,"220,825","128,919",R,D,36.4,61,40.9,59.1,41.6,57.4
NC-11,"Meadows, Mark",R,1,1,1,"230,405","129,103",R,D,34,63.2,39.6,60.4,41.5,57.1
NC-12,"Adams, Alma",D,1,1,1,"234,115","115,185",D,R,68.4,28.4,68.4,31.6,68,31.3
NC-13,"Budd, Ted",R,1,1,1,"199,443","156,049",R,D,44,53.4,46.6,53.4,47.9,51.2
ND-AL,"Cramer, Kevin",R,1,1,1,"233,980","80,377",R,D,27.7,64.1,38.9,58.7,44.6,53.3
NE-01,"Fortenberry, Jeff",R,1,1,1,"189,771","83,467",R,D,36.2,57.5,40.8,57.4,44.2,54.3
NE-02,"Bacon, Don",R,1,1,1,"141,066","137,602",R,D,46,48.2,45.7,52.9,50,48.8
NE-03,"Smith, Adrian",R,1,1,1,"226,720",0,R,NONE,20,74.9,27.8,70.2,31.1,67.1
NH-01,"Shea-Porter, Carol",R,0,0,0,"162,080","157,176",D,R,46.6,48.2,50.2,48.6,52.8,46.4
NH-02,"Kuster, Annie",D,1,1,1,"174,371","158,825",D,,48.6,46.2,54.2,44.5,56,43.1
NJ-01,"Norcross, Donald",D,1,1,1,"183,231","112,388",D,R,60.6,36.1,65.1,33.8,64.7,34.2
NJ-02,"LoBiondo, Frank",R,1,1,1,"176,338","110,838",R,D,46,50.6,53.5,45.4,53.2,45.5
NJ-03,"MacArthur, Tom",R,1,1,1,"194,596","127,526",R,D,45.2,51.4,51.8,47.2,51.1,47.7
NJ-04,"Smith, Chris",R,1,1,1,"211,992","111,532",R,D,41,55.8,44.7,54.2,45.3,53.6
NJ-05,"Gottheimer, Josh",D,1,1,1,"172,587","157,690",D,R,47.7,48.8,47.9,51,48.5,50.5
NJ-06,"Pallone, Frank",D,1,1,1,"167,895","91,908",D,R,56.2,40.6,61.4,37.4,58.4,40.5
NJ-07,"Lance, Leonard",R,1,1,1,"185,850","148,188",R,D,48.6,47.5,46.3,52.5,47.2,51.6
NJ-08,"Sires, Albio",D,1,1,1,"134,733","32,337",D,R,75.7,21.5,78.3,20.7,73.2,26
NJ-09,"Pascrell, Bill",D,1,1,1,"162,642","65,376",D,R,64.3,33.1,68.3,30.8,64,35.2
NJ-10,"Payne, Donald",D,1,1,1,"190,856","26,450",D,R,85.2,12.8,87.9,11.5,84.9,14.6
NJ-11,"Frelinghuysen, Rodney",D,1,1,1,"194,299","130,162",D,R,47.9,48.8,46.6,52.4,47,52.1
NJ-12,"Watson Coleman, Bonnie",D,1,1,1,"181,430","92,407",D,R,65,31.8,66.5,32.4,65.7,33.3
NM-01,"Lujan Grisham, Michelle",D,1,1,1,"181,088","96,879",D,R,51.6,35.1,55.3,39.6,59.7,39
NM-02,"Pearce, Steve",R,1,1,1,"143,514","85,232",R,D,39.9,50.1,44.9,51.7,48.4,50.2
NM-03,"Lujan, Ben",D,1,1,1,"170,612","102,730",D,R,51.8,36.7,57.5,38.7,61.2,37.5
NV-01,"Titus, Dina",D,1,1,1,"116,537","54,174",D,R,61.6,32.6,65.6,32.4,64.5,33
NV-02,"Amodei, Mark",R,1,1,1,"182,676","115,722",R,D,39.7,52,44.8,52.9,49.4,48.2
NV-03,"Rosen, Jacky",D,1,1,1,"146,869","142,926",D,R,46.5,47.5,49.5,48.7,53.5,44.6
NV-04,"Kihuen, Ruben",D,1,1,1,"128,985","118,328",D,R,49.5,44.6,54.4,43.7,56.4,41.4
NY-01,"Zeldin, Lee",R,1,1,1,"188,499","135,278",R,D,42.2,54.5,49.6,49.1,51,48
NY-02,"King, Peter",R,1,1,1,"181,506","110,938",R,D,43.9,53,51.6,47.2,51,48
NY-03,"Suozzi, Tom",D,1,1,1,"171,775","152,304",D,R,51.6,45.5,50.8,48.2,54,46
NY-04,"Rice, Kathleen",D,1,1,1,"186,423","126,438",D,R,53.4,43.8,56.3,42.8,55,44
NY-05,"Meeks, Gregory",D,1,1,1,"199,815","30,312",D,R,85.7,12.7,90.6,9.1,86,14
NY-06,"Meng, Grace",D,1,1,1,"136,506","50,617",D,R,65.1,32.1,67.8,31,63,36
NY-07,"Velazquez, Nydia",D,1,1,1,"172,146","17,478",D,R,86.9,10.4,88.4,10.3,84,15
NY-08,"Jeffries, Hakeem",D,1,1,1,"214,595","15,401",D,C,84.6,13.5,89.2,10.2,86,14
NY-09,"Clarke, Yvette",D,1,1,1,"214,189","17,576",D,C,83.5,14.4,85.2,13.9,84,15
NY-10,"Nadler, Jerrold",D,1,1,1,"192,371","53,857",D,R,78.3,18.8,73.6,25.1,76,23
NY-11,"Donovan, Dan",R,1,1,1,"142,934","85,257",R,D,43.8,53.6,51.6,47.3,48,51
NY-12,"Maloney, Carolyn",D,1,1,1,"244,358","49,398",D,R,83.3,13.5,76.9,21.5,80,19
NY-13,"Espaillat, Adriano",D,1,1,1,"207,194","16,089",D,R,92.3,5.4,94.6,4.6,93,6
NY-14,"Crowley, Joe",D,1,1,1,"147,587","30,545",D,R,77.7,19.8,80.7,18.3,76,23
NY-15,"Serrano, Jose",D,1,1,1,"165,688","6,129",D,R,93.8,4.9,96.7,3,95,5
NY-16,"Engel, Eliot",D,1,1,1,"209,857","11,825",D,PC,75.1,22.5,73.7,25.5,73,26
NY-17,"Lowey, Nita",D,1,1,0,"214,530",0,D,NONE,58.6,38.4,57.1,41.9,58,41
NY-18,"Maloney, Sean",D,1,1,1,"162,060","129,369",D,R,47.1,49,51.4,47.1,52,47
NY-19,"Faso, John",R,0,0,0,"166,171","141,224",R,D,44,50.8,52.1,45.9,53,45
NY-20,"Tonko, Paul",D,1,1,1,"213,021","100,738",D,R,54,40.5,59.2,38.8,58,40
NY-21,"Stefanik, Elise",R,1,1,1,"177,886","82,161",R,D,40,53.9,52.2,46.1,52,47
NY-22,"Tenney, Claudia",R,0,0,0,"129,444","114,266",R,D,39.3,54.8,48.8,49.2,49,49
NY-23,"Reed, Tom",R,1,1,1,"161,050","118,584",R,D,39.7,54.5,48.4,49.6,50,49
NY-24,"Katko, John",R,1,1,1,"182,761","119,040",R,D,48.9,45.3,57,41.1,56,42
NY-25,"Slaughter, Louise",D,1,1,1,"182,950","142,650",D,R,55.5,39.1,58.8,39.4,59,40
NY-26,"Higgins, Brian",D,1,1,1,"215,289","73,377",D,R,57.6,38,63.9,34.3,63,35
NY-27,"Collins, Chris",R,1,1,1,"220,885","107,832",R,D,35.2,59.7,42.9,55.3,44,54
OH-01,"Chabot, Steve",R,1,1,1,"210,014","144,644",R,D,44.6,51.2,46.3,52.4,47.2,51.8
OH-02,"Wenstrup, Brad",R,1,1,1,"221,193","111,694",R,D,39.7,55.8,43.7,54.7,44.3,54.2
OH-03,"Beatty, Joyce",D,1,1,1,"199,791","91,560",D,R,67,28.6,69.7,28.9,67.4,31.3
OH-04,"Jordan, Jim",R,1,1,1,"210,227","98,981",R,D,30.7,64.3,42,56,43.7,54.4
OH-05,"Latta, Bob",R,1,1,1,"244,599","100,392",R,D,34.6,59.7,44.1,53.9,46,52.2
OH-06,"Johnson, Bill",R,1,1,1,"213,975","88,780",R,D,26.7,69.3,42.7,55.2,44.7,53.1
OH-07,"Gibbs, Bob",R,1,1,1,"198,221","89,638",R,D,32.8,62.5,44.2,53.7,46.9,50.9
OH-08,"Davidson, Warren",R,1,1,1,"223,833","87,794",R,D,30.6,65.1,36.4,61.9,38.1,60.3
OH-09,"Kaptur, Marcy",D,1,1,1,"193,966","88,427",D,R,58.7,36.5,67.6,30.9,66.8,31.6
OH-10,"Turner, Michael",R,1,1,1,"215,724","109,981",R,D,44,51.3,48.2,50.1,49.3,49.3
OH-11,"Fudge, Marcia",D,1,1,1,"242,917","59,769",D,R,80.5,17,82.8,16.5,82,17.2
OH-12,"Tiberi, Patrick",R,1,1,1,"251,266","112,638",R,D,41.9,53.2,43.9,54.4,44.8,53.7
OH-13,"Ryan, Tim",D,1,1,1,"208,610","99,377",D,R,51.1,44.6,62.9,35.4,62.3,35.8
OH-14,"Joyce, David",R,1,1,1,"219,191","130,907",R,D,42.1,53.6,47.6,50.9,49.1,49.4
OH-15,"Stivers, Steve",R,1,1,1,"222,847","113,960",R,D,39.9,55.3,46.3,51.9,46.1,52.2
OH-16,"Renacci, Jim",R,1,1,1,"225,794","119,830",R,D,39.5,56.1,45.2,53.4,47.2,51.3
OK-01,"Bridenstine, Jim",R,1,1,1,,,R,,32.7,61.4,34.2,65.8,35.8,64.2
OK-02,"Mullin, Markwayne",R,1,1,1,"189,839","62,387",R,D,22.8,72.9,32.2,67.8,34.3,65.7
OK-03,"Lucas, Frank",R,1,1,1,"227,525","63,090",R,D,20.9,73.6,26.1,73.9,27.1,72.9
OK-04,"Cole, Tom",R,1,1,1,"204,143","76,472",R,D,28.3,65.7,32.9,67.1,33.9,66.1
OK-05,"Russell, Steve",R,1,1,1,"160,184","103,273",R,D,39.8,53.2,40.8,59.2,40.8,59.2
OR-01,"Bonamici, Suzanne",D,1,1,1,"225,391","139,756",D,R,57.3,34.5,57.3,40,59.6,37.7
OR-02,"Walden, Greg",R,1,1,1,"272,952","106,640",R,D,36.4,56.5,40.5,56.8,43.3,53.8
OR-03,"Blumenauer, Earl",D,1,1,1,"274,687","78,154",D,I,70.7,22.5,72,24.7,72.9,24.3
OR-04,"DeFazio, Peter",D,1,1,1,"220,628","157,743",D,R,46.1,46,51.7,45,54.2,42.7
OR-05,"Schrader, Kurt",D,1,1,1,"199,505","160,443",D,R,48.3,44.1,50.5,47.1,53,44.2
PA-01,"Brady, Bob",D,1,1,1,"245,791","53,219",D,R,79.5,18.2,82.3,16.9,78.7,20.6
PA-02,"Evans, Dwight",D,0,0,0,"322,514","35,131",D,R,90.4,7.6,90.4,9,91,8.8
PA-03,"Kelly, Mike",R,1,1,0,"271,098","244,893",R,NONE,35,61.1,43,55.6,46.3,52.3
PA-04,"Perry, Scott",R,1,1,1,"220,628","113,372",R,D,37.1,58.6,41.5,57.1,45.1,53.8
PA-05,"Thompson, Glenn",R,1,1,1,"206,761","101,082",R,D,33.5,62.3,41.5,57.1,47.1,51.5
PA-06,"Costello, Ryan",R,1,1,1,"207,469","155,000",R,D,48.2,47.6,48.1,50.6,53,46
PA-07,"Meehan, Pat",R,1,1,1,"225,678","153,824",R,D,49.3,47,48.5,50.4,51.2,47.8
PA-08,"Fitzpatrick, Brian",R,1,1,1,"207,263","173,555",R,D,48,48.2,49.3,49.4,53.2,45.7
PA-09,"Schuster, Bill",R,1,1,1,"186,580","107,985",R,D,27.2,69.7,35.9,62.8,40.9,57.9
PA-10,"Marino, Tom",R,1,1,1,"211,282","89,823",R,D,30.2,66.1,38.4,60.1,42.3,56.5
PA-11,"Barletta, Lou",R,1,1,1,"199,421","113,800",R,D,36.2,60,44.5,53.9,47.1,51.7
PA-12,"Rothfus, Keith",R,1,1,1,"221,851","137,353",R,D,37.9,58.7,40.9,57.8,44.7,54.1
PA-13,"Boyle, Brendan",D,1,1,0,"239,316",0,D,NONE,65.3,31.7,66.2,32.9,65.4,33.7
PA-14,"Doyle, Michael",D,1,1,1,"255,293","87,999",D,R,66,30.5,68,30.6,67,32
PA-15,"Dent, Charlie",R,1,1,1,"190,618","124,129",R,D,44.2,51.8,47.9,50.8,52.1,46.6
PA-16,"Smucker, Lloyd",R,1,1,1,"168,669","134,586",R,D,44.2,51,46.3,52.4,50.1,49
PA-17,"Cartwright, Matt",D,1,1,1,"157,734","135,430",D,R,43.3,53.4,55.4,43.3,56.9,41.9
PA-18,"Murphy, Tim",R,1,1,1,"293,684",0,R,NONE,38.5,58.1,41,57.9,43.8,55.2
RI-01,"Cicilline, David",D,1,1,1,"130,534","71,023",D,R,60.5,34.9,66.2,32.2,66.6,31.8
RI-02,"Langevin, Jim",D,1,1,1,"133,108","70,301",D,R,51.1,44,59.8,38.3,59.9,38.3
SC-01,"Sanford, Mark",R,1,1,1,"190,410","119,799",R,D,40.4,53.5,40.2,58.3,42.7,56.1
SC-02,"Wilson, Joe",R,1,1,1,"183,746","109,452",R,D,38.6,56.3,39.4,59.1,39.4,59.5
SC-03,"Duncan, Jeff",R,1,1,1,"196,325","72,933",R,D,29,67,33.9,64.5,35.1,63.5
SC-04,"Gowdy, Trey",R,1,1,1,"198,648","91,676",R,D,34.5,60.2,36.2,62.2,37.7,60.6
SC-05,"Mulvaney, Mick",R,1,1,1,"161,669","105,772",R,D,38.8,57.3,43.6,55.1,43.8,55
SC-06,"Clyburn, Jim",D,1,1,1,"177,947","70,099",D,R,66.8,30.3,70.9,28.1,70.1,28.9
SC-07,"Rice, Tom",R,1,1,1,"176,468","112,744",R,D,39.1,58,44.4,54.5,45.3,53.6
SD-AL,"Noem, Kristi",R,1,1,1,"237,163","132,810",R,D,31.7,61.5,39.9,57.9,44.7,53.2
TN-01,"Roe, Phil",R,1,1,1,"198,293","39,024",R,D,19.7,76.7,25.7,72.7,28.6,69.9
TN-02,"Duncan, John",R,1,1,1,"212,455","68,401",R,D,29.7,65.1,30.9,67.3,34.5,64
TN-03,"Fleischmann, Chuck",R,1,1,1,"176,613","76,727",R,D,30.2,65.4,35.1,63.3,37.3,61.3
TN-04,"DesJarlais, Scott",R,1,1,1,"165,796","89,141",R,D,27.4,68.6,33.1,65.3,35.8,62.6
TN-05,"Cooper, Jim",D,1,1,1,"171,111","102,433",D,R,56.6,38.2,55.9,42.5,57.5,41.3
TN-06,"Black, Diane",R,1,1,1,"202,234","61,995",R,D,23.7,72.6,29.5,69.1,33.5,64.9
TN-07,"Blackburn, Marsha",R,1,1,1,"200,407","65,226",R,D,28.2,67.5,32.9,65.7,36.3,62.4
TN-08,"Kustoff, David",R,0,0,0,"194,386","70,925",R,D,30.7,66.3,32.8,66.1,34.9,64.1
TN-09,"Cohen, Steve",D,1,1,1,"171,631","41,123",D,R,77.5,19.8,78.3,20.9,77,22.5
TX-01,"Gohmert, Louie",R,1,1,1,"192,434","62,847",R,D,25.3,72.2,27.5,71.6,30,69
TX-02,"Poe, Ted",R,1,1,1,"168,692","100,231",R,D,43.1,52.4,35.6,62.9,37,62
TX-03,"Johnson, Sam",R,1,1,1,"193,684","109,420",R,D,40.6,54.8,34.2,64.3,37,61
TX-04,"Ratcliffe, John",R,1,1,1,"216,643","29,577",R,L,21.8,75.4,24.8,74,29,70
TX-05,"Hensarling, Jeb",R,1,1,1,"155,469","37,406",R,L,34.3,62.7,34.4,64.5,37,62
TX-06,"Barton, Joe",R,1,1,1,"159,444","106,667",R,D,41.9,54.2,40.8,57.9,42,57
TX-07,"Culberson, John",R,1,1,1,"143,542","111,991",R,D,48.5,47.1,38.6,59.9,40,59
TX-08,"Brady, Kevin",R,1,1,1,"236,379",0,R,NONE,23.9,72.7,21.7,77,26,73
TX-09,"Green, Al",D,1,1,1,"152,032","36,491",D,R,79.3,18,78,21.1,76,23
TX-10,"McCaul, Michael",R,1,1,1,"179,221","120,170",R,D,43.2,52.3,38.8,59.1,43,56
TX-11,"Conaway, Michael",R,1,1,1,"201,871","23,677",R,L,19.1,77.8,19.6,79.2,23,76
TX-12,"Granger, Kay",R,1,1,1,"196,482","76,029",R,D,32.7,62.9,31.7,66.8,35,64
TX-13,"Thornberry, Mac",R,1,1,1,"199,050","14,725",R,L,16.9,79.9,18.5,80.2,22,77
TX-14,"Weber, Randy",R,1,1,1,"160,631","99,054",R,D,38.4,58.2,39.5,59.3,42,57
TX-15,"Gonzalez, Vicente",D,1,1,1,"101,712","66,877",D,R,56.7,40,57.4,41.5,57,42
TX-16,"O'Rourke, Beto",D,1,1,1,"150,228","17,491",D,L,67.9,27.2,64.2,34.5,64,35
TX-17,"Flores, Bill",R,1,1,1,"149,417","86,603",R,D,38.8,56.3,37.7,60.4,41,58
TX-18,"Jackson-Lee, Sheila",D,1,1,1,"150,157","48,306",D,R,76.5,20,76.1,22.8,77,23
TX-19,"Arrington, Jodey",R,1,1,1,"176,314","17,376",R,L,23.5,72.5,25,73.6,28,71
TX-20,"Castro, Joaquin",D,1,1,1,"149,640","29,055",D,L,61,34.3,58.9,39.7,58,41
TX-21,"Smith, Lamar",R,1,1,1,"202,967","129,765",R,D,42.5,52.5,37.9,59.8,42,56
TX-22,"Olson, Pete",R,1,1,1,"181,864","123,679",R,D,44.2,52.1,36.7,62.1,39,60
TX-23,"Hurd, Will",R,1,1,1,"110,577","107,526",R,D,49.8,46.4,48.1,50.7,50,49
TX-24,"Marchant, Kenny",R,1,1,1,"154,845","108,389",R,D,44.5,50.7,38,60.4,41,58
TX-25,"Williams, Roger",R,1,1,1,"180,988","117,073",R,D,40.2,55.1,37.8,59.9,43,56
TX-26,"Burgess, Michael",R,1,1,1,"211,730","94,507",R,D,34.4,60.9,30.7,67.6,35,64
TX-27,"Farenthold, Blake",R,1,1,1,"142,251","88,329",R,D,36.5,60.1,38.2,60.5,40,59
TX-28,"Cuellar, Henry",D,1,1,1,"122,086","57,740",D,R,58.3,38.5,60.3,38.7,58,41
TX-29,"Green, Gene",D,1,1,1,"95,649","31,646",D,R,71.1,25.4,65.9,33,62,37
TX-30,"Johnson, E.B.",D,1,1,1,"170,502","41,518",D,R,79.1,18.3,79.6,19.6,78,21
TX-31,"Carter, John",R,1,1,1,"166,060","103,852",R,D,40.8,53.5,38.3,59.6,43,56
TX-32,"Sessions, Pete",R,1,1,1,"162,868","43,490",R,L,48.5,46.6,41.5,57,44,55
TX-33,"Veasey, Marc",D,1,1,1,"93,147","33,222",D,R,72.9,23.7,72,27.1,69,31
TX-34,"Vela, Filemon",D,1,1,1,"104,638","62,323",D,R,59.2,37.7,60.8,38.3,60,39
TX-35,"Doggett, Lloyd",D,1,1,1,"124,612","62,384",D,R,64.1,30.5,63,34.6,63,35
TX-36,"Babin, Brian",R,1,1,1,"193,675","24,890",R,G,25.2,72,25.7,73.2,30,69
UT-01,"Bishop, Rob",R,1,1,1,"182,925","73,380",R,D,22.4,49.7,20.4,77.4,29.4,67.7
UT-02,"Stewart, Chris",R,1,1,1,"170,524","93,778",R,D,32,46,29.2,68,38.4,58.5
UT-03,"Chaffetz, Jason",R,1,1,1,"209,589","75,716",R,D,23.3,47.2,19.5,78.3,29.5,67.5
UT-04,"Love, Mia",R,1,1,1,"147,597","113,413",R,D,32.4,39.1,30.2,67.2,40.9,56.1
VA-01,"Wittman, Rob",R,1,1,1,"230,213","140,785",R,D,41.2,53.6,43.8,56.2,43.8,55.4
VA-02,"Taylor, Scott",R,1,1,1,"190,475","119,440",R,D,45.4,48.8,48.8,51.2,47.9,51.1
VA-03,"Scott, Bobby",D,1,1,1,"208,337","103,289",D,R,63.6,31.9,67.9,32.1,65.4,33.9
VA-04,"McEachin, Donald",R,0,0,0,"200,136","145,731",D,R,58.7,37.1,60.9,39.1,60.1,39.1
VA-05,"Garrett, Tom",R,0,0,0,"207,758","148,339",R,D,42.3,53.4,46.2,53.8,46.8,52.2
VA-06,"Goodlatte, Bob",R,1,1,1,"225,471","112,170",R,D,34.9,59.7,39.9,60.1,41.2,57.7
VA-07,"Brat, Dave",R,1,1,1,"218,057","160,159",R,D,44,50.5,44.4,55.6,44.9,54.3
VA-08,"Beyer, Don",D,1,1,1,"246,653","98,387",D,R,73.5,20.9,67.7,32.3,66.3,32.8
VA-09,"Griffith, Morgan",R,1,1,1,"212,838","87,877",R,D,27.3,68.8,35.7,64.3,39.7,58.9
VA-10,"Comstock, Barbara",R,1,1,1,"210,791","187,712",R,D,52.2,42.2,49.2,50.8,49.6,49.6
VA-11,"Connolly, Gerry",D,1,1,0,"247,818","34,185",D,Write in,66.9,27.5,62.7,37.3,60.7,38.5
VT-AL,"Welch, Peter",D,1,1,1,"264,414","29,410",D,LU,56.7,30.3,67,31.2,67.8,30.6
WA-01,"DelBene, Suzan",D,1,1,1,"193,619","155,779",D,R,54.1,37.8,54.1,43.3,56.3,41.9
WA-02,"Larsen, Rick",D,1,1,1,"208,314","117,094",D,R,56.9,34.8,59.2,38,60.5,37.6
WA-03,"Herrera Beutler, Jaime",R,1,1,1,"193,457","119,820",R,D,42.5,49.9,47.9,49.6,50.9,47.1
WA-04,"Newhouse, Dan",R,1,1,1,"132,517","97,402",R,R,35.1,57.9,37.9,59.7,39.2,58.9
WA-05,"McMorris Rodgers, Cathy",R,1,1,1,"192,959","130,575",R,D,39.1,52.2,43.7,53.5,46.3,51.2
WA-06,"Kilmer, Derek",D,1,1,1,"201,718","126,116",D,R,51.8,39.5,56.1,41.2,57,40.9
WA-07,"Jayapal, Pramila",D,1,1,1,"212,010","166,744",D,D,82.1,12.2,79.2,18.1,80.4,18
WA-08,"Reichert, David",R,1,1,1,"193,145","127,720",R,D,47.7,44.7,49.7,48.1,51.5,46.8
WA-09,"Smith, Adam",D,1,1,1,"205,165","76,317",D,R,70.5,23.3,68.3,29.6,68.6,29.9
WA-10,"Heck, Denny",D,1,1,1,"170,460","120,104",D,R,51.3,39.9,56.3,41.1,57.2,41
WI-01,"Ryan, Paul",R,1,1,1,"230,072","107,003",R,D,42.3,52.6,47.4,51.6,50.8,48.1
WI-02,"Pocan, Mark",D,1,1,1,"273,537","124,044",D,R,65.8,29,68.3,30.5,70.1,28.6
WI-03,"Kind, Ron",D,1,1,0,"257,401",169,D,Write in,44.8,49.3,54.8,43.8,59.4,39.1
WI-04,"Moore, Gwen",D,1,1,1,"220,181","33,494",D,I,74,21.8,75.3,23.8,74.4,24.6
WI-05,"Sensenbrenner, Jim",R,1,1,1,"260,706","114,477",R,D,37.3,57.4,37.7,61.3,41.8,57.2
WI-06,"Grothman, Glenn",R,1,1,1,"204,147","133,072",R,D,38.8,55.7,45.8,53.1,49.4,49.3
WI-07,"Duffy, Sean",R,1,1,1,"223,418","138,643",R,D,37.3,57.8,47.8,50.9,53.2,45.3
WI-08,"Gallagher, Mike",R,1,1,1,"227,892","135,682",R,D,38.6,56.2,47.6,51.3,53.7,45
WV-01,"McKinley, David",R,1,1,1,"163,469","73,534",R,D,26.4,68,35.5,62.2,41.5,56.7
WV-02,"Mooney, Alex",R,1,1,1,"140,807","101,207",R,D,29.4,65.8,38,60,43.9,54.7
WV-03,"Jenkins, Evan",R,1,1,1,"140,741","49,708",R,D,23.3,72.5,32.8,65,42.3,55.7
WY-AL,"Cheney, Liz",R,1,1,1,"156,176","75,466",R,D,22.5,70.1,27.6,68.2,32.7,65.2
