All,Name,Party,State,bioguide
"Osborne, Tom (Republican - Nebraska)","Osborne, Tom ",Republican , Nebraska),O000165
"Sasse, Ben (Republican - Nebraska)","Sasse, Ben ",Republican , Nebraska),S001197
"Smith, Adrian (Republican - Nebraska)","Smith, Adrian ",Republican , Nebraska),S001172
"Smith, Virginia (Republican - Nebraska)","Smith, Virginia ",Republican , Nebraska),S000622
"Terry, Lee (Republican - Nebraska)","Terry, Lee ",Republican , Nebraska),T000459
"Thone, Charles (Republican - Nebraska)","Thone, Charles ",Republican , Nebraska),T000234
"Zorinsky, Edward (Democratic - Nebraska)","Zorinsky, Edward ",Democratic , Nebraska),Z000013
"Amodei, Mark E. (Republican - Nevada)","Amodei, Mark E. ",Republican , Nevada),A000369
"Berkley, Shelley (Democratic - Nevada)","Berkley, Shelley ",Democratic , Nevada),B001231
"Bible, Alan (Democratic - Nevada)","Bible, Alan ",Democratic , Nevada),B000436
"Bilbray, James H. (Democratic - Nevada)","Bilbray, James H. ",Democratic , Nevada),B000462
"Bryan, Richard H. (Democratic - Nevada)","Bryan, Richard H. ",Democratic , Nevada),B000993
"Cannon, Howard W. (Democratic - Nevada)","Cannon, Howard W. ",Democratic , Nevada),C000120
"Cortez Masto, Catherine (Democratic - Nevada)","Cortez Masto, Catherine ",Democratic , Nevada),C001113
"Ensign, John (Republican - Nevada)","Ensign, John ",Republican , Nevada),E000194
"Gibbons, Jim (Republican - Nevada)","Gibbons, Jim ",Republican , Nevada),G000152
"Hardy, Cresent (Republican - Nevada)","Hardy, Cresent ",Republican , Nevada),H001070
"Hecht, Chic (Republican - Nevada)","Hecht, Chic ",Republican , Nevada),H000439
"Heck, Joseph J. (Republican - Nevada)","Heck, Joseph J. ",Republican , Nevada),H001055
"Heller, Dean (Republican - Nevada)","Heller, Dean ",Republican , Nevada),H001041
"Horsford, Steven A. (Democratic - Nevada)","Horsford, Steven A. ",Democratic , Nevada),H001066
"Kihuen, Ruben J. (Democratic - Nevada)","Kihuen, Ruben J. ",Democratic , Nevada),K000390
"Laxalt, Paul D. (Republican - Nevada)","Laxalt, Paul D. ",Republican , Nevada),L000148
"Porter, Jon C. (Republican - Nevada)","Porter, Jon C. ",Republican , Nevada),P000589
"Reid, Harry (Democratic - Nevada)","Reid, Harry ",Democratic , Nevada),R000146
"Rosen, Jacky (Democratic - Nevada)","Rosen, Jacky ",Democratic , Nevada),R000608
"Santini, James D. (Democratic - Nevada)","Santini, James D. ",Democratic , Nevada),S000058
"Titus, Dina (Democratic - Nevada)","Titus, Dina ",Democratic , Nevada),T000468
"Towell, David (Republican - Nevada)","Towell, David ",Republican , Nevada),T000321
"Vucanovich, Barbara F. (Republican - Nevada)","Vucanovich, Barbara F. ",Republican , Nevada),V000124
"Ayotte, Kelly (Republican - New Hampshire)","Ayotte, Kelly ",Republican , New Hampshire),A000368
"Bass, Charles F. (Republican - New Hampshire)","Bass, Charles F. ",Republican , New Hampshire),B000220
"Bradley, Jeb (Republican - New Hampshire)","Bradley, Jeb ",Republican , New Hampshire),B001246
"Cleveland, James C. (Republican - New Hampshire)","Cleveland, James C. ",Republican , New Hampshire),C000512
"Cotton, Norris (Republican - New Hampshire)","Cotton, Norris ",Republican , New Hampshire),C000802
"D'Amours, Norman E. (Democratic - New Hampshire)","D'Amours, Norman E. ",Democratic , New Hampshire),D000017
"Douglas, Chuck (Republican - New Hampshire)","Douglas, Chuck ",Republican , New Hampshire),D000451
"Durkin, John A. (Democratic - New Hampshire)","Durkin, John A. ",Democratic , New Hampshire),D000574
"Gregg, Judd (Republican - New Hampshire)","Gregg, Judd ",Republican , New Hampshire),G000445
"Guinta, Frank C. (Republican - New Hampshire)","Guinta, Frank C. ",Republican , New Hampshire),G000570
"Hassan, Margaret Wood (Democratic - New Hampshire)","Hassan, Margaret Wood ",Democratic , New Hampshire),H001076
"Hodes, Paul W. (Democratic - New Hampshire)","Hodes, Paul W. ",Democratic , New Hampshire),H001043
"Humphrey, Gordon J. (Republican - New Hampshire)","Humphrey, Gordon J. ",Republican , New Hampshire),H000951
"Kuster, Ann M. (Democratic - New Hampshire)","Kuster, Ann M. ",Democratic , New Hampshire),K000382
"McIntyre, Thomas J. (Democratic - New Hampshire)","McIntyre, Thomas J. ",Democratic , New Hampshire),M000486
"Rudman, Warren (Republican - New Hampshire)","Rudman, Warren ",Republican , New Hampshire),R000497
"Shaheen, Jeanne (Democratic - New Hampshire)","Shaheen, Jeanne ",Democratic , New Hampshire),S001181
"Shea-Porter, Carol (Democratic - New Hampshire)","Shea-Porter, Carol ",Democratic , New Hampshire),S001170
"Smith, Bob (Independent - New Hampshire)","Smith, Bob ",Independent , New Hampshire),S000606
"Sununu, John E. (Republican - New Hampshire)","Sununu, John E. ",Republican , New Hampshire),S001078
"Swett, Dick (Democratic - New Hampshire)","Swett, Dick ",Democratic , New Hampshire),S001113
"Wyman, Louis C. (Republican - New Hampshire)","Wyman, Louis C. ",Republican , New Hampshire),W000782
"Zeliff, William H., Jr. (Republican - New Hampshire)","Zeliff, William H., Jr. ",Republican , New Hampshire),Z000004
"Adler, John H. (Democratic - New Jersey)","Adler, John H. ",Democratic , New Jersey),A000364
"Andrews, Robert E. (Democratic - New Jersey)","Andrews, Robert E. ",Democratic , New Jersey),A000210
"Booker, Cory A. (Democratic - New Jersey)","Booker, Cory A. ",Democratic , New Jersey),B001288
"Bradley, Bill (Democratic - New Jersey)","Bradley, Bill ",Democratic , New Jersey),B001225
"Brady, Nicholas (Republican - New Jersey)","Brady, Nicholas ",Republican , New Jersey),B000756
"Case, Clifford P. (Republican - New Jersey)","Case, Clifford P. ",Republican , New Jersey),C000220
"Chiesa, Jeff (Republican - New Jersey)","Chiesa, Jeff ",Republican , New Jersey),C001100
"Corzine, Jon S. (Democratic - New Jersey)","Corzine, Jon S. ",Democratic , New Jersey),C001042
"Courter, Jim (Republican - New Jersey)","Courter, Jim ",Republican , New Jersey),C000809
"Daniels, Dominick V. (Democratic - New Jersey)","Daniels, Dominick V. ",Democratic , New Jersey),D000041
"Dwyer, Bernard J. (Democratic - New Jersey)","Dwyer, Bernard J. ",Democratic , New Jersey),D000586
"Fenwick, Millicent H. (Republican - New Jersey)","Fenwick, Millicent H. ",Republican , New Jersey),F000078
"Ferguson, Mike (Republican - New Jersey)","Ferguson, Mike ",Republican , New Jersey),F000443
"Florio, James J. (Democratic - New Jersey)","Florio, James J. ",Democratic , New Jersey),F000215
"Forsythe, Edwin B. (Republican - New Jersey)","Forsythe, Edwin B. ",Republican , New Jersey),F000286
"Franks, Bob (Republican - New Jersey)","Franks, Bob ",Republican , New Jersey),F000349
"Frelinghuysen, Peter H. B. (Republican - New Jersey)","Frelinghuysen, Peter H. B. ",Republican , New Jersey),F000371
"Frelinghuysen, Rodney P. (Republican - New Jersey)","Frelinghuysen, Rodney P. ",Republican , New Jersey),F000372
"Gallo, Dean A. (Republican - New Jersey)","Gallo, Dean A. ",Republican , New Jersey),G000025
"Garrett, Scott (Republican - New Jersey)","Garrett, Scott ",Republican , New Jersey),G000548
"Gottheimer, Josh (Democratic - New Jersey)","Gottheimer, Josh ",Democratic , New Jersey),G000583
"Guarini, Frank J. (Democratic - New Jersey)","Guarini, Frank J. ",Democratic , New Jersey),G000511
"Helstoski, Henry (Democratic - New Jersey)","Helstoski, Henry ",Democratic , New Jersey),H000465
"Hollenbeck, Harold C. (Republican - New Jersey)","Hollenbeck, Harold C. ",Republican , New Jersey),H000722
"Holt, Rush (Democratic - New Jersey)","Holt, Rush ",Democratic , New Jersey),H001032
"Howard, James J. (Democratic - New Jersey)","Howard, James J. ",Democratic , New Jersey),H000840
"Hughes, William J. (Democratic - New Jersey)","Hughes, William J. ",Democratic , New Jersey),H000930
"Hunt, John E. (Republican - New Jersey)","Hunt, John E. ",Republican , New Jersey),H000972
"Klein, Herbert C. (Democratic - New Jersey)","Klein, Herbert C. ",Democratic , New Jersey),K000262
"Lance, Leonard (Republican - New Jersey)","Lance, Leonard ",Republican , New Jersey),L000567
"Lautenberg, Frank R. (Democratic - New Jersey)","Lautenberg, Frank R. ",Democratic , New Jersey),L000123
"LeFante, Joseph A. (Democratic - New Jersey)","LeFante, Joseph A. ",Democratic , New Jersey),L000561
"LoBiondo, Frank A. (Republican - New Jersey)","LoBiondo, Frank A. ",Republican , New Jersey),L000554
"MacArthur, Thomas (Republican - New Jersey)","MacArthur, Thomas ",Republican , New Jersey),M001193
"Maguire, Andrew (Democratic - New Jersey)","Maguire, Andrew ",Democratic , New Jersey),M000058
"Maraziti, Joseph J. (Republican - New Jersey)","Maraziti, Joseph J. ",Republican , New Jersey),M000121
"Martini, William J. (Republican - New Jersey)","Martini, William J. ",Republican , New Jersey),M000207
"Menendez, Robert (Democratic - New Jersey)","Menendez, Robert ",Democratic , New Jersey),M000639
"Meyner, Helen S. (Democratic - New Jersey)","Meyner, Helen S. ",Democratic , New Jersey),M000685
"Minish, Joseph G. (Democratic - New Jersey)","Minish, Joseph G. ",Democratic , New Jersey),M000796
"Norcross, Donald (Democratic - New Jersey)","Norcross, Donald ",Democratic , New Jersey),N000188
"Pallone, Frank, Jr. (Democratic - New Jersey)","Pallone, Frank, Jr. ",Democratic , New Jersey),P000034
"Pappas, Michael (Republican - New Jersey)","Pappas, Michael ",Republican , New Jersey),P000049
"Pascrell, Bill, Jr. (Democratic - New Jersey)","Pascrell, Bill, Jr. ",Democratic , New Jersey),P000096
"Patten, Edward J. (Democratic - New Jersey)","Patten, Edward J. ",Democratic , New Jersey),P000106
"Payne, Donald M. (Democratic - New Jersey)","Payne, Donald M. ",Democratic , New Jersey),P000149
"Payne, Donald M., Jr. (Democratic - New Jersey)","Payne, Donald M., Jr. ",Democratic , New Jersey),P000604
"Rinaldo, Matthew J. (Republican - New Jersey)","Rinaldo, Matthew J. ",Republican , New Jersey),R000262
"Rodino, Peter W., Jr. (Democratic - New Jersey)","Rodino, Peter W., Jr. ",Democratic , New Jersey),R000374
"Roe, Robert A. (Democratic - New Jersey)","Roe, Robert A. ",Democratic , New Jersey),R000383
"Rothman, Steven R. (Democratic - New Jersey)","Rothman, Steven R. ",Democratic , New Jersey),R000462
"Roukema, Marge (Republican - New Jersey)","Roukema, Marge ",Republican , New Jersey),R000465
"Runyan, Jon (Republican - New Jersey)","Runyan, Jon ",Republican , New Jersey),R000594
"Sandman, Charles W., Jr. (Republican - New Jersey)","Sandman, Charles W., Jr. ",Republican , New Jersey),S000045
"Saxton, Jim (Republican - New Jersey)","Saxton, Jim ",Republican , New Jersey),S000097
"Sires, Albio (Democratic - New Jersey)","Sires, Albio ",Democratic , New Jersey),S001165
"Smith, Christopher H. (Republican - New Jersey)","Smith, Christopher H. ",Republican , New Jersey),S000522
"Thompson, Frank, Jr. (Democratic - New Jersey)","Thompson, Frank, Jr. ",Democratic , New Jersey),T000200
"Torricelli, Robert G. (Democratic - New Jersey)","Torricelli, Robert G. ",Democratic , New Jersey),T000317
"Watson Coleman, Bonnie (Democratic - New Jersey)","Watson Coleman, Bonnie ",Democratic , New Jersey),W000822
"Widnall, William B. (Republican - New Jersey)","Widnall, William B. ",Republican , New Jersey),W000445
"Williams, Harrison A., Jr. (Democratic - New Jersey)","Williams, Harrison A., Jr. ",Democratic , New Jersey),W000502
"Zimmer, Dick (Republican - New Jersey)","Zimmer, Dick ",Republican , New Jersey),Z000008
"Bingaman, Jeff (Democratic - New Mexico)","Bingaman, Jeff ",Democratic , New Mexico),B000468
"Domenici, Pete V. (Republican - New Mexico)","Domenici, Pete V. ",Republican , New Mexico),D000407
"Heinrich, Martin (Democratic - New Mexico)","Heinrich, Martin ",Democratic , New Mexico),H001046
"Lujan Grisham, Michelle (Democratic - New Mexico)","Lujan Grisham, Michelle ",Democratic , New Mexico),L000580
"Lujan, Ben Ray (Democratic - New Mexico)","Lujan, Ben Ray ",Democratic , New Mexico),L000570
"Lujan, Manuel, Jr. (Republican - New Mexico)","Lujan, Manuel, Jr. ",Republican , New Mexico),L000506
"Montoya, Joseph M. (Democratic - New Mexico)","Montoya, Joseph M. ",Democratic , New Mexico),M000876
"Pearce, Stevan (Republican - New Mexico)","Pearce, Stevan ",Republican , New Mexico),P000588
"Redmond, Bill (Republican - New Mexico)","Redmond, Bill ",Republican , New Mexico),R000567
"Richardson, Bill (Democratic - New Mexico)","Richardson, Bill ",Democratic , New Mexico),R000229
"Runnels, Harold L. (Democratic - New Mexico)","Runnels, Harold L. ",Democratic , New Mexico),R000510
"Schiff, Steven (Republican - New Mexico)","Schiff, Steven ",Republican , New Mexico),S000125
"Schmitt, Harrison H. (Republican - New Mexico)","Schmitt, Harrison H. ",Republican , New Mexico),S000132
"Skeen, Joe (Republican - New Mexico)","Skeen, Joe ",Republican , New Mexico),S000463
"Teague, Harry (Democratic - New Mexico)","Teague, Harry ",Democratic , New Mexico),T000466
"Udall, Tom (Democratic - New Mexico)","Udall, Tom ",Democratic , New Mexico),U000039
"Wilson, Heather (Republican - New Mexico)","Wilson, Heather ",Republican , New Mexico),W000789
"Abzug, Bella S. (Democratic - New York)","Abzug, Bella S. ",Democratic , New York),A000018
"Ackerman, Gary L. (Democratic - New York)","Ackerman, Gary L. ",Democratic , New York),A000022
"Addabbo, Joseph P. (Democratic - New York)","Addabbo, Joseph P. ",Democratic , New York),A000052
"Ambro, Jerome A. (Democratic - New York)","Ambro, Jerome A. ",Democratic , New York),A000170
"Arcuri, Michael A. (Democratic - New York)","Arcuri, Michael A. ",Democratic , New York),A000363
"Badillo, Herman (Democratic - New York)","Badillo, Herman ",Democratic , New York),B000025
"Biaggi, Mario (Democratic - New York)","Biaggi, Mario ",Democratic , New York),B000432
"Bingham, Jonathan B. (Democratic - New York)","Bingham, Jonathan B. ",Democratic , New York),B000472
"Bishop, Timothy H. (Democratic - New York)","Bishop, Timothy H. ",Democratic , New York),B001242
"Boehlert, Sherwood (Republican - New York)","Boehlert, Sherwood ",Republican , New York),B000586
"Brasco, Frank (Democratic - New York)","Brasco, Frank ",Democratic , New York),B000771
"Buckley, James L. (Republican - New York)","Buckley, James L. ",Republican , New York),B001026
"Buerkle, Ann Marie (Republican - New York)","Buerkle, Ann Marie ",Republican , New York),B001276
"Caputo, Bruce F. (Republican - New York)","Caputo, Bruce F. ",Republican , New York),C000137
"Carey, Hugh L. (Democratic - New York)","Carey, Hugh L. ",Democratic , New York),C000143
"Carman, Gregory W. (Republican - New York)","Carman, Gregory W. ",Republican , New York),C000158
"Carney, William (Republican - New York)","Carney, William ",Republican , New York),C000165
"Chisholm, Shirley (Democratic - New York)","Chisholm, Shirley ",Democratic , New York),C000371
"Clarke, Yvette D. (Democratic - New York)","Clarke, Yvette D. ",Democratic , New York),C001067
"Clinton, Hillary Rodham (Democratic - New York)","Clinton, Hillary Rodham ",Democratic , New York),C001041
"Collins, Chris (Republican - New York)","Collins, Chris ",Republican , New York),C001092
"Conable, Barber B., Jr. (Republican - New York)","Conable, Barber B., Jr. ",Republican , New York),C000666
"Crowley, Joseph (Democratic - New York)","Crowley, Joseph ",Democratic , New York),C001038
"D'Amato, Alfonse (Republican - New York)","D'Amato, Alfonse ",Republican , New York),D000018
"Delaney, James J. (Democratic - New York)","Delaney, James J. ",Democratic , New York),D000211
"DioGuardi, Joseph J. (Republican - New York)","DioGuardi, Joseph J. ",Republican , New York),D000359
"Donovan, Daniel M., Jr. (Republican - New York)","Donovan, Daniel M., Jr. ",Republican , New York),D000625
"Downey, Thomas J. (Democratic - New York)","Downey, Thomas J. ",Democratic , New York),D000471
"Dulski, Thaddeus J. (Democratic - New York)","Dulski, Thaddeus J. ",Democratic , New York),D000523
"Eckert, Fred J. (Republican - New York)","Eckert, Fred J. ",Republican , New York),E000033
"Engel, Eliot L. (Democratic - New York)","Engel, Eliot L. ",Democratic , New York),E000179
"Espaillat, Adriano (Democratic - New York)","Espaillat, Adriano ",Democratic , New York),E000297
"Faso, John J. (Republican - New York)","Faso, John J. ",Republican , New York),F000464
"Ferraro, Geraldine A. (Democratic - New York)","Ferraro, Geraldine A. ",Democratic , New York),F000088
"Fish, Hamilton, Jr. (Republican - New York)","Fish, Hamilton, Jr. ",Republican , New York),F000141
"Flake, Floyd H. (Democratic - New York)","Flake, Floyd H. ",Democratic , New York),F000184
"Forbes, Michael P. (Democratic - New York)","Forbes, Michael P. ",Democratic , New York),F000257
"Fossella, Vito (Republican - New York)","Fossella, Vito ",Republican , New York),F000440
"Frisa, Dan (Republican - New York)","Frisa, Dan ",Republican , New York),F000387
"Garcia, Robert (Democratic - New York)","Garcia, Robert ",Democratic , New York),G000047
"Gibson, Christopher P. (Republican - New York)","Gibson, Christopher P. ",Republican , New York),G000564
"Gillibrand, Kirsten E. (Democratic - New York)","Gillibrand, Kirsten E. ",Democratic , New York),G000555
"Gilman, Benjamin A. (Republican - New York)","Gilman, Benjamin A. ",Republican , New York),G000212
"Green, S. William (Republican - New York)","Green, S. William ",Republican , New York),G000417
"Grimm, Michael G. (Republican - New York)","Grimm, Michael G. ",Republican , New York),G000569
"Grover, James R., Jr. (Republican - New York)","Grover, James R., Jr. ",Republican , New York),G000504
"Grucci, Felix J., Jr. (Republican - New York)","Grucci, Felix J., Jr. ",Republican , New York),G000547
"Hall, John J. (Democratic - New York)","Hall, John J. ",Democratic , New York),H001039
"Hanley, James M. (Democratic - New York)","Hanley, James M. ",Democratic , New York),H000158
"Hanna, Richard L. (Republican - New York)","Hanna, Richard L. ",Republican , New York),H001051
"Hastings, James F. (Republican - New York)","Hastings, James F. ",Republican , New York),H000327
"Hayworth, Nan A. S. (Republican - New York)","Hayworth, Nan A. S. ",Republican , New York),H001054
"Higgins, Brian (Democratic - New York)","Higgins, Brian ",Democratic , New York),H001038
"Hinchey, Maurice D. (Democratic - New York)","Hinchey, Maurice D. ",Democratic , New York),H000627
"Hochbrueckner, George J. (Democratic - New York)","Hochbrueckner, George J. ",Democratic , New York),H000670
"Hochul, Kathleen C. (Democratic - New York)","Hochul, Kathleen C. ",Democratic , New York),H001062
"Holtzman, Elizabeth (Democratic - New York)","Holtzman, Elizabeth ",Democratic , New York),H000752
"Horton, Frank J. (Republican - New York)","Horton, Frank J. ",Republican , New York),H000797
"Houghton, Amo (Republican - New York)","Houghton, Amo ",Republican , New York),H000814
"Israel, Steve (Democratic - New York)","Israel, Steve ",Democratic , New York),I000057
"Javits, Jacob K. (Republican - New York)","Javits, Jacob K. ",Republican , New York),J000064
"Jeffries, Hakeem S. (Democratic - New York)","Jeffries, Hakeem S. ",Democratic , New York),J000294
"Katko, John (Republican - New York)","Katko, John ",Republican , New York),K000386
"Kelly, Sue W. (Republican - New York)","Kelly, Sue W. ",Republican , New York),K000078
"Kemp, Jack (Republican - New York)","Kemp, Jack ",Republican , New York),K000086
"King, Carleton J. (Republican - New York)","King, Carleton J. ",Republican , New York),K000195
"King, Peter T. (Republican - New York)","King, Peter T. ",Republican , New York),K000210
"Koch, Edward I. (Democratic - New York)","Koch, Edward I. ",Democratic , New York),K000302
"Kuhl, John R. ""Randy"", Jr. (Republican - New York)","Kuhl, John R. ""Randy"", Jr. ",Republican , New York),K000364
"LaFalce, John J. (Democratic - New York)","LaFalce, John J. ",Democratic , New York),L000556
"Lazio, Rick (Republican - New York)","Lazio, Rick ",Republican , New York),L000155
"LeBoutillier, John (Republican - New York)","LeBoutillier, John ",Republican , New York),L000547
"Lee, Christopher J. (Republican - New York)","Lee, Christopher J. ",Republican , New York),L000568
"Lee, Gary A. (Republican - New York)","Lee, Gary A. ",Republican , New York),L000192
"Lent, Norman F. (Republican - New York)","Lent, Norman F. ",Republican , New York),L000243
"Levy, David A. (Republican - New York)","Levy, David A. ",Republican , New York),L000267
"Lowey, Nita M. (Democratic - New York)","Lowey, Nita M. ",Democratic , New York),L000480
"Lundine, Stanley N. (Democratic - New York)","Lundine, Stanley N. ",Democratic , New York),L000516
"Maffei, Daniel B. (Democratic - New York)","Maffei, Daniel B. ",Democratic , New York),M001171
"Maloney, Carolyn B. (Democratic - New York)","Maloney, Carolyn B. ",Democratic , New York),M000087
"Maloney, Sean Patrick (Democratic - New York)","Maloney, Sean Patrick ",Democratic , New York),M001185
"Manton, Thomas J. (Democratic - New York)","Manton, Thomas J. ",Democratic , New York),M000117
"Martin, David O'B. (Republican - New York)","Martin, David O'B. ",Republican , New York),M000174
"Massa, Eric J. J. (Democratic - New York)","Massa, Eric J. J. ",Democratic , New York),M001173
"McCarthy, Carolyn (Democratic - New York)","McCarthy, Carolyn ",Democratic , New York),M000309
"McEwen, Robert C. (Republican - New York)","McEwen, Robert C. ",Republican , New York),M000433
"McGrath, Raymond J. (Republican - New York)","McGrath, Raymond J. ",Republican , New York),M000458
"McHugh, John M. (Republican - New York)","McHugh, John M. ",Republican , New York),M000472
"McHugh, Matthew F. (Democratic - New York)","McHugh, Matthew F. ",Democratic , New York),M000473
"McMahon, Michael E. (Democratic - New York)","McMahon, Michael E. ",Democratic , New York),M001174
"McNulty, Michael R. (Democratic - New York)","McNulty, Michael R. ",Democratic , New York),M000590
"Meeks, Gregory W. (Democratic - New York)","Meeks, Gregory W. ",Democratic , New York),M001137
"Meng, Grace (Democratic - New York)","Meng, Grace ",Democratic , New York),M001188
"Mitchell, Donald J. (Republican - New York)","Mitchell, Donald J. ",Republican , New York),M000808
"Molinari, Guy (Republican - New York)","Molinari, Guy ",Republican , New York),M000842
"Molinari, Susan (Republican - New York)","Molinari, Susan ",Republican , New York),M000843
"Moynihan, Daniel Patrick (Democratic - New York)","Moynihan, Daniel Patrick ",Democratic , New York),M001054
"Mrazek, Robert J. (Democratic - New York)","Mrazek, Robert J. ",Democratic , New York),M001057
"Murphy, John M. (Democratic - New York)","Murphy, John M. ",Democratic , New York),M001098
"Murphy, Scott (Democratic - New York)","Murphy, Scott ",Democratic , New York),M001178
"Nadler, Jerrold (Democratic - New York)","Nadler, Jerrold ",Democratic , New York),N000002
"Nowak, Henry (Democratic - New York)","Nowak, Henry ",Democratic , New York),N000163
"Ottinger, Richard L. (Democratic - New York)","Ottinger, Richard L. ",Democratic , New York),O000134
"Owens, Major R. (Democratic - New York)","Owens, Major R. ",Democratic , New York),O000159
"Owens, William L. (Democratic - New York)","Owens, William L. ",Democratic , New York),O000169
"Pattison, Edward W. (Democratic - New York)","Pattison, Edward W. ",Democratic , New York),P000134
"Paxon, Bill (Republican - New York)","Paxon, Bill ",Republican , New York),P000148
"Peyser, Peter A. (Republican - New York)","Peyser, Peter A. ",Republican , New York),P000280
"Pike, Otis G. (Democratic - New York)","Pike, Otis G. ",Democratic , New York),P000348
"Podell, Bertram L. (Democratic - New York)","Podell, Bertram L. ",Democratic , New York),P000399
"Quinn, Jack (Republican - New York)","Quinn, Jack ",Republican , New York),Q000016
"Rangel, Charles B. (Democratic - New York)","Rangel, Charles B. ",Democratic , New York),R000053
"Reed, Tom (Republican - New York)","Reed, Tom ",Republican , New York),R000585
"Reid, Ogden R. (Democratic - New York)","Reid, Ogden R. ",Democratic , New York),R000150
"Reynolds, Thomas M. (Republican - New York)","Reynolds, Thomas M. ",Republican , New York),R000569
"Rice, Kathleen M. (Democratic - New York)","Rice, Kathleen M. ",Democratic , New York),R000602
"Richmond, Frederick W. (Democratic - New York)","Richmond, Frederick W. ",Democratic , New York),R000232
"Robison, Howard W. (Republican - New York)","Robison, Howard W. ",Republican , New York),R000357
"Roncallo, Angelo D. (Republican - New York)","Roncallo, Angelo D. ",Republican , New York),R000422
"Rooney, John J. (Democratic - New York)","Rooney, John J. ",Democratic , New York),R000424
"Rosenthal, Benjamin S. (Democratic - New York)","Rosenthal, Benjamin S. ",Democratic , New York),R000442
"Scheuer, James H. (Democratic - New York)","Scheuer, James H. ",Democratic , New York),S000124
"Schumer, Charles E. (Democratic - New York)","Schumer, Charles E. ",Democratic , New York),S000148
"Serrano, Jose E. (Democratic - New York)","Serrano, Jose E. ",Democratic , New York),S000248
"Slaughter, Louise McIntosh (Democratic - New York)","Slaughter, Louise McIntosh ",Democratic , New York),S000480
"Smith, Henry P., III (Republican - New York)","Smith, Henry P., III ",Republican , New York),S000548
"Solarz, Stephen J. (Democratic - New York)","Solarz, Stephen J. ",Democratic , New York),S000673
"Solomon, Gerald B. H. (Republican - New York)","Solomon, Gerald B. H. ",Republican , New York),S000675
"Stefanik, Elise M. (Republican - New York)","Stefanik, Elise M. ",Republican , New York),S001196
"Stratton, Samuel S. (Democratic - New York)","Stratton, Samuel S. ",Democratic , New York),S000997
"Suozzi, Thomas R. (Democratic - New York)","Suozzi, Thomas R. ",Democratic , New York),S001201
"Sweeney, John E. (Republican - New York)","Sweeney, John E. ",Republican , New York),S001149
"Tenney, Claudia (Republican - New York)","Tenney, Claudia ",Republican , New York),T000478
"Tonko, Paul (Democratic - New York)","Tonko, Paul ",Democratic , New York),T000469
"Towns, Edolphus (Democratic - New York)","Towns, Edolphus ",Democratic , New York),T000326
"Turner, Robert L. (Republican - New York)","Turner, Robert L. ",Republican , New York),T000471
"Velazquez, Nydia M. (Democratic - New York)","Velazquez, Nydia M. ",Democratic , New York),V000081
"Waldon, Alton R., Jr. (Democratic - New York)","Waldon, Alton R., Jr. ",Democratic , New York),W000038
"Walsh, James T. (Republican - New York)","Walsh, James T. ",Republican , New York),W000099
"Walsh, William F. (Republican - New York)","Walsh, William F. ",Republican , New York),W000107
"Weiner, Anthony D. (Democratic - New York)","Weiner, Anthony D. ",Democratic , New York),W000792
"Weiss, Ted (Democratic - New York)","Weiss, Ted ",Democratic , New York),W000258
"Wolff, Lester L. (Democratic - New York)","Wolff, Lester L. ",Democratic , New York),W000680
"Wortley, George C. (Republican - New York)","Wortley, George C. ",Republican , New York),W000752
"Wydler, John W. (Republican - New York)","Wydler, John W. ",Republican , New York),W000780
"Zeferetti, Leo C. (Democratic - New York)","Zeferetti, Leo C. ",Democratic , New York),Z000002
"Zeldin, Lee M. (Republican - New York)","Zeldin, Lee M. ",Republican , New York),Z000017
"Adams, Alma S. (Democratic - North Carolina)","Adams, Alma S. ",Democratic , North Carolina),A000370
"Andrews, Ike (Democratic - North Carolina)","Andrews, Ike ",Democratic , North Carolina),A000207
"Ballance, Frank W., Jr. (Democratic - North Carolina)","Ballance, Frank W., Jr. ",Democratic , North Carolina),B001238
"Ballenger, Cass (Republican - North Carolina)","Ballenger, Cass ",Republican , North Carolina),B000104
"Britt, Robin (Democratic - North Carolina)","Britt, Robin ",Democratic , North Carolina),B000845
"Broyhill, James T. (Republican - North Carolina)","Broyhill, James T. ",Republican , North Carolina),B000966
"Budd, Ted (Republican - North Carolina)","Budd, Ted ",Republican , North Carolina),B001305
"Burr, Richard (Republican - North Carolina)","Burr, Richard ",Republican , North Carolina),B001135
"Butterfield, G. K. (Democratic - North Carolina)","Butterfield, G. K. ",Democratic , North Carolina),B001251
"Clarke, James McC. (Democratic - North Carolina)","Clarke, James McC. ",Democratic , North Carolina),C000462
"Clayton, Eva M. (Democratic - North Carolina)","Clayton, Eva M. ",Democratic , North Carolina),C000494
"Cobey, William W. (Republican - North Carolina)","Cobey, William W. ",Republican , North Carolina),C000555
"Coble, Howard (Republican - North Carolina)","Coble, Howard ",Republican , North Carolina),C000556
"Dole, Elizabeth (Republican - North Carolina)","Dole, Elizabeth ",Republican , North Carolina),D000601
"East, John P. (Republican - North Carolina)","East, John P. ",Republican , North Carolina),E000017
"Edwards, John (Democratic - North Carolina)","Edwards, John ",Democratic , North Carolina),E000286
"Ellmers, Renee L. (Republican - North Carolina)","Ellmers, Renee L. ",Republican , North Carolina),E000291
"Ervin, Sam J., Jr. (Democratic - North Carolina)","Ervin, Sam J., Jr. ",Democratic , North Carolina),E000211
"Etheridge, Bob (Democratic - North Carolina)","Etheridge, Bob ",Democratic , North Carolina),E000226
