All,Name,Party,State,bioguide
"Hutchinson, Tim (Republican - Arkansas)","Hutchinson, Tim ",Republican , Arkansas),H001015
"Lincoln, Blanche L. (Democratic - Arkansas)","Lincoln, Blanche L. ",Democratic , Arkansas),L000035
"McClellan, John L. (Democratic - Arkansas)","McClellan, John L. ",Democratic , Arkansas),M000332
"Mills, Wilbur D. (Democratic - Arkansas)","Mills, Wilbur D. ",Democratic , Arkansas),M000778
"Pryor, David H. (Democratic - Arkansas)","Pryor, David H. ",Democratic , Arkansas),P000556
"Pryor, Mark L. (Democratic - Arkansas)","Pryor, Mark L. ",Democratic , Arkansas),P000590
"Robinson, Tommy F. (Democratic - Arkansas)","Robinson, Tommy F. ",Democratic , Arkansas),R000354
"Ross, Mike (Democratic - Arkansas)","Ross, Mike ",Democratic , Arkansas),R000573
"Snyder, Vic (Democratic - Arkansas)","Snyder, Vic ",Democratic , Arkansas),S000672
"Thornton, Ray (Democratic - Arkansas)","Thornton, Ray ",Democratic , Arkansas),T000243
"Westerman, Bruce (Republican - Arkansas)","Westerman, Bruce ",Republican , Arkansas),W000821
"Womack, Steve (Republican - Arkansas)","Womack, Steve ",Republican , Arkansas),W000809
"Aguilar, Pete (Democratic - California)","Aguilar, Pete ",Democratic , California),A000371
"Anderson, Glenn M. (Democratic - California)","Anderson, Glenn M. ",Democratic , California),A000189
"Baca, Joe (Democratic - California)","Baca, Joe ",Democratic , California),B001234
"Badham, Robert E. (Republican - California)","Badham, Robert E. ",Republican , California),B000024
"Baker, Bill (Republican - California)","Baker, Bill ",Republican , California),B000078
"Barragan, Nanette Diaz (Democratic - California)","Barragan, Nanette Diaz ",Democratic , California),B001300
"Bass, Karen (Democratic - California)","Bass, Karen ",Democratic , California),B001270
"Bates, Jim (Democratic - California)","Bates, Jim ",Democratic , California),B000236
"Becerra, Xavier (Democratic - California)","Becerra, Xavier ",Democratic , California),B000287
"Beilenson, Anthony C. (Democratic - California)","Beilenson, Anthony C. ",Democratic , California),B000318
"Bell, Alphonzo (Republican - California)","Bell, Alphonzo ",Republican , California),B000330
"Bera, Ami (Democratic - California)","Bera, Ami ",Democratic , California),B001287
"Berman, Howard L. (Democratic - California)","Berman, Howard L. ",Democratic , California),B000410
"Bilbray, Brian P. (Republican - California)","Bilbray, Brian P. ",Republican , California),B000461
"Bono Mack, Mary (Republican - California)","Bono Mack, Mary ",Republican , California),B001228
"Bono, Sonny (Republican - California)","Bono, Sonny ",Republican , California),B000622
"Bosco, Douglas H. (Democratic - California)","Bosco, Douglas H. ",Democratic , California),B000648
"Boxer, Barbara (Democratic - California)","Boxer, Barbara ",Democratic , California),B000711
"Brown, George E., Jr. (Democratic - California)","Brown, George E., Jr. ",Democratic , California),B000918
"Brownley, Julia (Democratic - California)","Brownley, Julia ",Democratic , California),B001285
"Burgener, Clair W. (Republican - California)","Burgener, Clair W. ",Republican , California),B001080
"Burke, Yvonne B. (Democratic - California)","Burke, Yvonne B. ",Democratic , California),B001102
"Burton, John (Democratic - California)","Burton, John ",Democratic , California),B001153
"Burton, Phillip (Democratic - California)","Burton, Phillip ",Democratic , California),B001156
"Burton, Sala (Democratic - California)","Burton, Sala ",Democratic , California),B001158
"Calvert, Ken (Republican - California)","Calvert, Ken ",Republican , California),C000059
"Campbell, John (Republican - California)","Campbell, John ",Republican , California),C001064
"Campbell, Tom (Republican - California)","Campbell, Tom ",Republican , California),C000100
"Capps, Lois (Democratic - California)","Capps, Lois ",Democratic , California),C001036
"Capps, Walter (Democratic - California)","Capps, Walter ",Democratic , California),C000134
"Carbajal, Salud O. (Democratic - California)","Carbajal, Salud O. ",Democratic , California),C001112
"Cardenas, Tony (Democratic - California)","Cardenas, Tony ",Democratic , California),C001097
"Cardoza, Dennis A. (Democratic - California)","Cardoza, Dennis A. ",Democratic , California),C001050
"Chappie, Eugene A. (Republican - California)","Chappie, Eugene A. ",Republican , California),C000322
"Chu, Judy (Democratic - California)","Chu, Judy ",Democratic , California),C001080
"Clausen, Don H. (Republican - California)","Clausen, Don H. ",Republican , California),C000475
"Clawson, Del (Republican - California)","Clawson, Del ",Republican , California),C000476
"Coelho, Anthony Lee (Democratic - California)","Coelho, Anthony Lee ",Democratic , California),C000581
"Condit, Gary A. (Democratic - California)","Condit, Gary A. ",Democratic , California),C000670
