,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
157, Martha,McSally,"McSally, Martha",Republican,Republican - Arizona,Arizona,AZ,both,M001197,AZ-02,1,"McSally, Martha",R,1,1,D,"135,873",R,"179,806"
158, Mark,Meadows,"Meadows, Mark",Republican,Republican - North Carolina,North Carolina,NC,both,M001187,NC-11,1,"Meadows, Mark",R,1,1,D,"129,103",R,"230,405"
159, Grace,Meng,"Meng, Grace",Democratic,Democratic - New York,New York,NY,both,M001188,NY-06,1,"Meng, Grace",D,1,1,R,"50,617",D,"136,506"
160, Luke,Messer,"Messer, Luke",Republican,Republican - Indiana,Indiana,IN,both,M001189,IN-06,1,"Messer, Luke",R,1,1,D,"79,135",R,"204,920"
161, Paul,Mitchell,"Mitchell, Paul",Republican,Republican - Michigan,Michigan,MI,both,M001201,MI-10,0,"Mitchell, Paul",R,0,0,D,"110,112",R,"215,132"
162, Gwen,Moore,"Moore, Gwen",Democratic,Democratic - Wisconsin,Wisconsin,WI,both,M001160,WI-04,1,"Moore, Gwen",D,1,1,I,"33,494",D,"220,181"
163, Seth,Moulton,"Moulton, Seth",Democratic,Democratic - Massachusetts,Massachusetts,MA,both,M001196,MA-06,1,"Moulton, Seth",D,1,1,Write in,"5,132",D,"308,923"
164, Markwayne,Mullin,"Mullin, Markwayne",Republican,Republican - Oklahoma,Oklahoma,OK,both,M001190,OK-02,1,"Mullin, Markwayne",R,1,1,D,"62,387",R,"189,839"
165, Mick,Mulvaney,"Mulvaney, Mick",Republican,Republican - South Carolina,South Carolina,SC,both,M001182,SC-05,1,"Mulvaney, Mick",R,1,1,D,"105,772",R,"161,669"
166, Tim,Murphy,"Murphy, Tim",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,M001151,PA-18,1,"Murphy, Tim",R,1,1,NONE,0,R,"293,684"
167, Jerrold,Nadler,"Nadler, Jerrold",Democratic,Democratic - New York,New York,NY,both,N000002,NY-10,1,"Nadler, Jerrold",D,1,1,R,"53,857",D,"192,371"
168, Dan,Newhouse,"Newhouse, Dan",Republican,Republican - Washington,Washington,WA,both,N000189,WA-04,1,"Newhouse, Dan",R,1,1,R,"97,402",R,"132,517"
169, Donald,Norcross,"Norcross, Donald",Democratic,Democratic - New Jersey,New Jersey,NJ,both,N000188,NJ-01,1,"Norcross, Donald",D,1,1,R,"112,388",D,"183,231"
170, Devin,Nunes,"Nunes, Devin",Republican,Republican - California,California,CA,both,N000181,CA-22,1,"Nunes, Devin",R,1,1,D,"76,211",R,"158,755"
171, Tom,O'Halleran,"O'Halleran, Tom",Democratic,Democratic - Arizona,Arizona,AZ,both,O000171,AZ-01,0,"O'Halleran, Tom",D,0,0,R,"121,745",D,"142,219"
172, Beto,O'Rourke,"O'Rourke, Beto",Democratic,Democratic - Texas,Texas,TX,both,O000170,TX-16,1,"O'Rourke, Beto",D,1,1,L,"17,491",D,"150,228"
173, Pete,Olson,"Olson, Pete",Republican,Republican - Texas,Texas,TX,both,O000168,TX-22,1,"Olson, Pete",R,1,1,D,"123,679",R,"181,864"
