,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,Clinton2016,Trump2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
134,"LaHood, Darin",Republican - Illinois,L000585,LaHood, Darin,Republican,Illinois,IL,"LaHood, Darin",R,1,1,1,"250,506","96,770",R,D,33.3,60.6,37.4,60.7,44.1,54.4
135,"LaMalfa, Doug",Republican - California,L000578,LaMalfa, Doug,Republican,California,CA,"LaMalfa, Doug",R,1,1,1,"185,448","128,588",R,D,36.5,56.2,40.3,56.6,42.0,53.0
136,"Lamborn, Doug",Republican - Colorado,L000564,Lamborn, Doug,Republican,Colorado,CO,"Lamborn, Doug",R,1,1,1,"225,445","111,676",R,D,33.2,57.2,38.3,59.1,39.7,58.8
137,"Lance, Leonard",Republican - New Jersey,L000567,Lance, Leonard,Republican,New Jersey,NJ,"Lance, Leonard",R,1,1,1,"185,850","148,188",R,D,48.6,47.5,46.3,52.5,47.2,51.6
138,"Larsen, Rick",Democratic - Washington,L000560,Larsen, Rick,Democratic,Washington,WA,"Larsen, Rick",D,1,1,1,"208,314","117,094",D,R,56.9,34.8,59.2,38.0,60.5,37.6
139,"Lee, Barbara",Democratic - California,L000551,Lee, Barbara,Democratic,California,CA,"Lee, Barbara",D,1,1,1,"293,117","29,754",D,R,87.4,6.8,87.5,9.0,87.0,10.0
140,"Lewis, Jason",Republican - Minnesota,L000587,Lewis, Jason,Republican,Minnesota,MN,"Lewis, Jason",R,0,0,0,"173,970","167,315",R,D,45.3,46.5,49.1,49.0,50.5,47.6
141,"Lewis, John",Democratic - Georgia,L000287,Lewis, John,Democratic,Georgia,GA,"Lewis, John",D,1,1,1,"253,781","46,768",D,R,85.0,11.9,83.1,15.8,84.4,15.0
142,"Lieu, Ted",Democratic - California,L000582,Lieu, Ted,Democratic,California,CA,"Lieu, Ted",D,1,1,1,"219,397","110,822",D,R,67.8,26.5,60.6,36.8,64.0,33.0
143,"Loebsack, David",Democratic - Iowa,L000565,Loebsack, David,Democratic,Iowa,IA,"Loebsack, David",D,1,1,1,"198,571","170,933",D,R,45.0,49.1,55.8,42.7,57.1,41.6
144,"Lofgren, Zoe",Democratic - California,L000397,Lofgren, Zoe,Democratic,California,CA,"Lofgren, Zoe",D,1,1,1,"181,802","64,061",D,R,72.9,21.5,71.2,26.5,68.0,29.0
145,"Long, Billy",Republican - Missouri,L000576,Long, Billy,Republican,Missouri,MO,"Long, Billy",R,1,1,1,"228,692","92,756",R,D,24.7,70.4,30.3,67.6,35.3,63.1
146,"Loudermilk, Barry",Republican - Georgia,L000583,Loudermilk, Barry,Republican,Georgia,GA,"Loudermilk, Barry",R,1,1,1,"217,935","105,383",R,D,35.3,60.3,31.5,66.9,34.7,64.3
147,"Luetkemeyer, Blaine",Republican - Missouri,L000569,Luetkemeyer, Blaine,Republican,Missouri,MO,"Luetkemeyer, Blaine",R,1,1,1,"249,865","102,891",R,D,28.1,67.1,36.1,62.0,42.8,55.8
148,"Lujan Grisham, Michelle",Democratic - New Mexico,L000580,Lujan Grisham, Michelle,Democratic,New Mexico,NM,"Lujan Grisham, Michelle",D,1,1,1,"181,088","96,879",D,R,51.6,35.1,55.3,39.6,59.7,39.0
149,"Marchant, Kenny",Republican - Texas,M001158,Marchant, Kenny,Republican,Texas,TX,"Marchant, Kenny",R,1,1,1,"154,845","108,389",R,D,44.5,50.7,38.0,60.4,41.0,58.0
150,"Marino, Tom",Republican - Pennsylvania,M001179,Marino, Tom,Republican,Pennsylvania,PA,"Marino, Tom",R,1,1,1,"211,282","89,823",R,D,30.2,66.1,38.4,60.1,42.3,56.5
151,"Massie, Thomas",Republican - Kentucky,M001184,Massie, Thomas,Republican,Kentucky,KY,"Massie, Thomas",R,1,1,1,"233,922","94,065",R,D,29.3,65.2,34.8,63.4,37.0,61.5
152,"McCarthy, Kevin",Republican - California,M001165,McCarthy, Kevin,Republican,California,CA,"McCarthy, Kevin",R,1,1,1,"167,116","74,468",R,D,36.1,58.1,36.1,61.5,36.0,61.0
153,"McClintock, Tom",Republican - California,M001177,McClintock, Tom,Republican,California,CA,"McClintock, Tom",R,1,1,1,"220,133","130,845",R,D,39.3,54.0,39.5,57.9,43.0,54.0
154,"McCollum, Betty",Democratic - Minnesota,M001143,McCollum, Betty,Democratic,Minnesota,MN,"McCollum, Betty",D,1,1,1,"203,299","121,032",D,R,61.5,30.6,62.5,35.5,62.6,35.5
155,"McMorris Rodgers, Cathy",Republican - Washington,M001159,McMorris Rodgers, Cathy,Republican,Washington,WA,"McMorris Rodgers, Cathy",R,1,1,1,"192,959","130,575",R,D,39.1,52.2,43.7,53.5,46.3,51.2
156,"McNerney, Jerry",Democratic - California,M001166,McNerney, Jerry,Democratic,California,CA,"McNerney, Jerry",D,1,1,1,"133,163","98,992",D,R,56.6,38.0,57.8,40.1,56.0,41.0
157,"McSally, Martha",Republican - Arizona,M001197,McSally, Martha,Republican,Arizona,AZ,"McSally, Martha",R,1,1,1,"179,806","135,873",R,D,49.6,44.7,48.4,49.9,48.9,49.8
158,"Meadows, Mark",Republican - North Carolina,M001187,Meadows, Mark,Republican,North Carolina,NC,"Meadows, Mark",R,1,1,1,"230,405","129,103",R,D,34.0,63.2,39.6,60.4,41.5,57.1
159,"Meng, Grace",Democratic - New York,M001188,Meng, Grace,Democratic,New York,NY,"Meng, Grace",D,1,1,1,"136,506","50,617",D,R,65.1,32.1,67.8,31.0,63.0,36.0
160,"Messer, Luke",Republican - Indiana,M001189,Messer, Luke,Republican,Indiana,IN,"Messer, Luke",R,1,1,1,"204,920","79,135",R,D,27.4,67.7,37.3,60.4,43.6,55.0
161,"Mitchell, Paul",Republican - Michigan,M001201,Mitchell, Paul,Republican,Michigan,MI,"Mitchell, Paul",R,0,0,0,"215,132","110,112",R,D,31.6,63.8,43.7,55.3,48.0,50.0
162,"Moore, Gwen",Democratic - Wisconsin,M001160,Moore, Gwen,Democratic,Wisconsin,WI,"Moore, Gwen",D,1,1,1,"220,181","33,494",D,I,74.0,21.8,75.3,23.8,74.4,24.6
163,"Moulton, Seth",Democratic - Massachusetts,M001196,Moulton, Seth,Democratic,Massachusetts,MA,"Moulton, Seth",D,1,1,1,"308,923","5,132",D,Write in,56.1,38.2,54.7,43.9,56.9,41.4
164,"Mullin, Markwayne",Republican - Oklahoma,M001190,Mullin, Markwayne,Republican,Oklahoma,OK,"Mullin, Markwayne",R,1,1,1,"189,839","62,387",R,D,22.8,72.9,32.2,67.8,34.3,65.7
165,"Mulvaney, Mick",Republican - South Carolina,M001182,Mulvaney, Mick,Republican,South Carolina,SC,"Mulvaney, Mick",R,1,1,1,"161,669","105,772",R,D,38.8,57.3,43.6,55.1,43.8,55.0
166,"Murphy, Tim",Republican - Pennsylvania,M001151,Murphy, Tim,Republican,Pennsylvania,PA,"Murphy, Tim",R,1,1,1,"293,684",0,R,NONE,38.5,58.1,41.0,57.9,43.8,55.2
167,"Nadler, Jerrold",Democratic - New York,N000002,Nadler, Jerrold,Democratic,New York,NY,"Nadler, Jerrold",D,1,1,1,"192,371","53,857",D,R,78.3,18.8,73.6,25.1,76.0,23.0
168,"Newhouse, Dan",Republican - Washington,N000189,Newhouse, Dan,Republican,Washington,WA,"Newhouse, Dan",R,1,1,1,"132,517","97,402",R,R,35.1,57.9,37.9,59.7,39.2,58.9
169,"Norcross, Donald",Democratic - New Jersey,N000188,Norcross, Donald,Democratic,New Jersey,NJ,"Norcross, Donald",D,1,1,1,"183,231","112,388",D,R,60.6,36.1,65.1,33.8,64.7,34.2
170,"Nunes, Devin",Republican - California,N000181,Nunes, Devin,Republican,California,CA,"Nunes, Devin",R,1,1,1,"158,755","76,211",R,D,42.6,52.1,41.6,56.6,42.0,55.0
171,"O'Halleran, Tom",Democratic - Arizona,O000171,O'Halleran, Tom,Democratic,Arizona,AZ,"O'Halleran, Tom",D,0,0,0,"142,219","121,745",D,R,46.6,47.7,47.9,50.4,47.8,51.0
172,"O'Rourke, Beto",Democratic - Texas,O000170,O'Rourke, Beto,Democratic,Texas,TX,"O'Rourke, Beto",D,1,1,1,"150,228","17,491",D,L,67.9,27.2,64.2,34.5,64.0,35.0
173,"Olson, Pete",Republican - Texas,O000168,Olson, Pete,Republican,Texas,TX,"Olson, Pete",R,1,1,1,"181,864","123,679",R,D,44.2,52.1,36.7,62.1,39.0,60.0
174,"Panetta, Jimmy",Democratic - California,P000613,Panetta, Jimmy,Democratic,California,CA,"Panetta, Jimmy",D,0,0,0,"180,980","74,811",D,R,70.4,23.2,70.9,26.2,71.0,26.0
175,"Paulsen, Erik",Republican - Minnesota,P000594,Paulsen, Erik,Republican,Minnesota,MN,"Paulsen, Erik",R,1,1,1,"223,077","169,243",R,D,50.8,41.4,49.6,48.8,51.0,47.4
176,"Pelosi, Nancy",Democratic - California,P000197,Pelosi, Nancy,Democratic,California,CA,"Pelosi, Nancy",D,1,1,1,"274,035","64,810",D,I,86.2,8.7,84.1,12.5,84.0,13.0
177,"Perlmutter, Ed",Democratic - Colorado,P000593,Perlmutter, Ed,Democratic,Colorado,CO,"Perlmutter, Ed",D,1,1,1,"199,758","144,066",D,R,51.4,39.4,56.1,41.3,57.4,40.7
178,"Perry, Scott",Republican - Pennsylvania,P000605,Perry, Scott,Republican,Pennsylvania,PA,"Perry, Scott",R,1,1,1,"220,628","113,372",R,D,37.1,58.6,41.5,57.1,45.1,53.8
179,"Pingree, Chellie",Democratic - Maine,P000597,Pingree, Chellie,Democratic,Maine,ME,"Pingree, Chellie",D,1,1,1,"227,546","164,569",D,R,54.1,39.3,59.6,38.2,60.7,37.5
180,"Pittenger, Robert",Republican - North Carolina,P000606,Pittenger, Robert,Republican,North Carolina,NC,"Pittenger, Robert",R,1,1,1,"193,452","139,041",R,D,42.8,54.4,44.2,55.8,45.2,54.0
181,"Pocan, Mark",Democratic - Wisconsin,P000607,Pocan, Mark,Democratic,Wisconsin,WI,"Pocan, Mark",D,1,1,1,"273,537","124,044",D,R,65.8,29.0,68.3,30.5,70.1,28.6
182,"Poe, Ted",Republican - Texas,P000592,Poe, Ted,Republican,Texas,TX,"Poe, Ted",R,1,1,1,"168,692","100,231",R,D,43.1,52.4,35.6,62.9,37.0,62.0
183,"Poliquin, Bruce",Republican - Maine,P000611,Poliquin, Bruce,Republican,Maine,ME,"Poliquin, Bruce",R,1,1,1,"192,878","159,081",R,D,41.1,51.4,52.9,44.4,54.6,43.4
184,"Polis, Jared",Democratic - Colorado,P000598,Polis, Jared,Democratic,Colorado,CO,"Polis, Jared",D,1,1,1,"260,175","170,001",D,R,56.2,34.9,57.9,39.5,61.2,37.2
185,"Pompeo, Mike",Republican - Kansas,P000602,Pompeo, Mike,Republican,Kansas,KS,"Pompeo, Mike",R,1,1,1,"166,998","81,495",R,D,33.0,60.2,36.1,61.6,39.5,58.6
186,"Posey, Bill",Republican - Florida,P000599,Posey, Bill,Republican,Florida,FL,"Posey, Bill",R,1,1,1,"246,483","127,127",R,D,37.7,58.4,42.1,56.6,43.8,54.9
187,"Price, Tom",Republican - Georgia,P000591,Price, Tom,Republican,Georgia,GA,"Price, Tom",R,1,1,1,"201,088","124,917",R,D,46.8,48.3,37.5,60.8,40.1,59.0
188,"Quigley, Mike",Democratic - Illinois,Q000023,Quigley, Mike,Democratic,Illinois,IL,"Quigley, Mike",D,1,1,1,"212,842","86,222",D,R,70.5,23.9,66.0,31.8,69.9,28.8
189,"Raskin, Jamie",Democratic - Maryland,R000606,Raskin, Jamie,Democratic,Maryland,MD,"Raskin, Jamie",D,0,0,0,"220,657","124,651",D,R,65.0,30.6,62.0,36.0,62.8,35.6
190,"Ratcliffe, John",Republican - Texas,R000601,Ratcliffe, John,Republican,Texas,TX,"Ratcliffe, John",R,1,1,1,"216,643","29,577",R,L,21.8,75.4,24.8,74.0,29.0,70.0
191,"Reed, Tom",Republican - New York,R000585,Reed, Tom,Republican,New York,NY,"Reed, Tom",R,1,1,1,"161,050","118,584",R,D,39.7,54.5,48.4,49.6,50.0,49.0
192,"Rice, Tom",Republican - South Carolina,R000597,Rice, Tom,Republican,South Carolina,SC,"Rice, Tom",R,1,1,1,"176,468","112,744",R,D,39.1,58.0,44.4,54.5,45.3,53.6
193,"Roby, Martha",Republican - Alabama,R000591,Roby, Martha,Republican,Alabama,AL,"Roby, Martha",R,1,1,1,"134,886","112,089",R,D,33.0,64.9,36.4,62.9,35.0,64.5
194,"Rohrabacher, Dana",Republican - California,R000409,Rohrabacher, Dana,Republican,California,CA,"Rohrabacher, Dana",R,1,1,1,"178,701","127,715",R,D,47.9,46.2,43.0,54.7,46.0,51.0
195,"Rokita, Todd",Republican - Indiana,R000592,Rokita, Todd,Republican,Indiana,IN,"Rokita, Todd",R,1,1,1,"193,412","91,256",R,D,30.2,64.3,36.9,60.9,44.6,54.2
196,"Rooney, Francis",Republican - Florida,R000607,Rooney, Francis,Republican,Florida,FL,"Rooney, Francis",R,0,0,0,"239,225","123,812",R,D,37.5,59.6,38.7,60.5,42.3,56.8
197,"Ros-Lehtinen, Ileana",Republican - Florida,R000435,Ros-Lehtinen, Ileana,Republican,Florida,FL,"Ros-Lehtinen, Ileana",R,1,1,1,"157,917","129,760",R,D,58.6,38.9,53.0,46.3,50.1,49.3
198,"Rosen, Jacky",Democratic - Nevada,R000608,Rosen, Jacky,Democratic,Nevada,NV,"Rosen, Jacky",D,1,1,1,"146,869","142,926",D,R,46.5,47.5,49.5,48.7,53.5,44.6
199,"Rouzer, David",Republican - North Carolina,R000603,Rouzer, David,Republican,North Carolina,NC,"Rouzer, David",R,1,1,1,"211,801","135,905",R,D,39.9,57.6,43.6,56.4,44.6,54.6
200,"Roybal-Allard, Lucille",Democratic - California,R000486,Roybal-Allard, Lucille,Democratic,California,CA,"Roybal-Allard, Lucille",D,1,1,1,"106,554","24,743",D,I,82.2,12.8,81.5,16.5,77.0,19.0
201,"Ruiz, Raul",Democratic - California,R000599,Ruiz, Raul,Democratic,California,CA,"Ruiz, Raul",D,1,1,1,"144,348","88,269",D,R,52.2,43.4,50.7,47.5,50.0,47.0
202,"Russell, Steve",Republican - Oklahoma,R000604,Russell, Steve,Republican,Oklahoma,OK,"Russell, Steve",R,1,1,1,"160,184","103,273",R,D,39.8,53.2,40.8,59.2,40.8,59.2
203,"Ryan, Tim",Democratic - Ohio,R000577,Ryan, Tim,Democratic,Ohio,OH,"Ryan, Tim",D,1,1,1,"208,610","99,377",D,R,51.1,44.6,62.9,35.4,62.3,35.8
204,"Sanford, Mark",Republican - South Carolina,S000051,Sanford, Mark,Republican,South Carolina,SC,"Sanford, Mark",R,1,1,1,"190,410","119,799",R,D,40.4,53.5,40.2,58.3,42.7,56.1
205,"Scalise, Steve",Republican - Louisiana,S001176,Scalise, Steve,Republican,Louisiana,LA,"Scalise, Steve",R,1,1,1,"243,645","41,840",R,D,26.7,68.7,26.9,70.9,25.3,72.7
206,"Schrader, Kurt",Democratic - Oregon,S001180,Schrader, Kurt,Democratic,Oregon,OR,"Schrader, Kurt",D,1,1,1,"199,505","160,443",D,R,48.3,44.1,50.5,47.1,53.0,44.2
207,"Schweikert, David",Republican - Arizona,S001183,Schweikert, David,Republican,Arizona,AZ,"Schweikert, David",R,1,1,1,"201,578","122,866",R,D,42.4,52.4,38.8,59.5,41.2,57.7
208,"Scott, Austin",Republican - Georgia,S001189,Scott, Austin,Republican,Georgia,GA,"Scott, Austin",R,1,1,1,"173,983","83,225",R,D,34.4,63.3,37.5,61.6,37.8,61.6
209,"Scott, David",Democratic - Georgia,S001157,Scott, David,Democratic,Georgia,GA,"Scott, David",D,1,1,1,"252,833",0,D,NONE,71.0,26.6,69.2,30.0,67.1,32.3
210,"Sessions, Pete",Republican - Texas,S000250,Sessions, Pete,Republican,Texas,TX,"Sessions, Pete",R,1,1,1,"162,868","43,490",R,L,48.5,46.6,41.5,57.0,44.0,55.0
211,"Shea-Porter, Carol",Democratic - New Hampshire,S001170,Shea-Porter, Carol,Democratic,New Hampshire,NH,"Shea-Porter, Carol",R,0,0,0,"162,080","157,176",D,R,46.6,48.2,50.2,48.6,52.8,46.4
212,"Sherman, Brad",Democratic - California,S000344,Sherman, Brad,Democratic,California,CA,"Sherman, Brad",D,1,1,1,"205,279","77,325",D,R,69.1,25.7,65.3,32.1,66.0,31.0
213,"Shimkus, John",Republican - Illinois,S000364,Shimkus, John,Republican,Illinois,IL,"Shimkus, John",R,1,1,0,"274,554",0,R,NONE,24.5,70.7,34.1,63.9,42.8,55.4
214,"Sinema, Kyrsten",Democratic - Arizona,S001191,Sinema, Kyrsten,Democratic,Arizona,AZ,"Sinema, Kyrsten",D,1,1,1,"169,055","108,350",D,R,54.7,38.4,51.1,46.6,51.3,47.4
215,"Sires, Albio",Democratic - New Jersey,S001165,Sires, Albio,Democratic,New Jersey,NJ,"Sires, Albio",D,1,1,1,"134,733","32,337",D,R,75.7,21.5,78.3,20.7,73.2,26.0
216,"Smith, Adam",Democratic - Washington,S000510,Smith, Adam,Democratic,Washington,WA,"Smith, Adam",D,1,1,1,"205,165","76,317",D,R,70.5,23.3,68.3,29.6,68.6,29.9
217,"Smith, Adrian",Republican - Nebraska,S001172,Smith, Adrian,Republican,Nebraska,NE,"Smith, Adrian",R,1,1,1,"226,720",0,R,NONE,20.0,74.9,27.8,70.2,31.1,67.1
218,"Smith, Jason",Republican - Missouri,S001195,Smith, Jason,Republican,Missouri,MO,"Smith, Jason",R,1,1,1,"229,792","70,009",R,D,21.0,75.4,32.0,65.9,38.3,60.0
219,"Smith, Lamar",Republican - Texas,S000583,Smith, Lamar,Republican,Texas,TX,"Smith, Lamar",R,1,1,1,"202,967","129,765",R,D,42.5,52.5,37.9,59.8,42.0,56.0
220,"Smucker, Lloyd",Republican - Pennsylvania,S001199,Smucker, Lloyd,Republican,Pennsylvania,PA,"Smucker, Lloyd",R,1,1,1,"168,669","134,586",R,D,44.2,51.0,46.3,52.4,50.1,49.0
221,"Soto, Darren",Democratic - Florida,S001200,Soto, Darren,Democratic,Florida,FL,"Soto, Darren",D,0,0,0,"195,311","144,450",D,R,54.8,41.9,55.6,43.4,54.6,44.5
222,"Speier, Jackie",Democratic - California,S001175,Speier, Jackie,Democratic,California,CA,"Speier, Jackie",D,1,1,1,"231,630","54,817",D,R,76.9,18.2,74.2,23.6,73.0,24.0
223,"Stewart, Chris",Republican - Utah,S001192,Stewart, Chris,Republican,Utah,UT,"Stewart, Chris",R,1,1,1,"170,524","93,778",R,D,32.0,46.0,29.2,68.0,38.4,58.5
224,"Stivers, Steve",Republican - Ohio,S001187,Stivers, Steve,Republican,Ohio,OH,"Stivers, Steve",R,1,1,1,"222,847","113,960",R,D,39.9,55.3,46.3,51.9,46.1,52.2
225,"Swalwell, Eric",Democratic - California,S001193,Swalwell, Eric,Democratic,California,CA,"Swalwell, Eric",D,1,1,1,"198,578","70,619",D,R,69.9,24.2,68.0,29.8,67.0,30.0
226,"Takano, Mark",Democratic - California,T000472,Takano, Mark,Democratic,California,CA,"Takano, Mark",D,1,1,1,"128,164","69,159",D,R,61.0,33.1,61.5,36.3,59.0,38.0
227,"Taylor, Scott",Republican - Virginia,T000477,Taylor, Scott,Republican,Virginia,VA,"Taylor, Scott",R,1,1,1,"190,475","119,440",R,D,45.4,48.8,48.8,51.2,47.9,51.1
228,"Tenney, Claudia",Republican - New York,T000478,Tenney, Claudia,Republican,New York,NY,"Tenney, Claudia",R,0,0,0,"129,444","114,266",R,D,39.3,54.8,48.8,49.2,49.0,49.0
229,"Thompson, Glenn",Republican - Pennsylvania,T000467,Thompson, Glenn,Republican,Pennsylvania,PA,"Thompson, Glenn",R,1,1,1,"206,761","101,082",R,D,33.5,62.3,41.5,57.1,47.1,51.5
230,"Thompson, Mike",Democratic - California,T000460,Thompson, Mike,Democratic,California,CA,"Thompson, Mike",D,1,1,1,"224,526","67,565",D,R,69.2,24.3,69.7,27.5,70.0,26.0
231,"Thornberry, Mac",Republican - Texas,T000238,Thornberry, Mac,Republican,Texas,TX,"Thornberry, Mac",R,1,1,1,"199,050","14,725",R,L,16.9,79.9,18.5,80.2,22.0,77.0
232,"Titus, Dina",Democratic - Nevada,T000468,Titus, Dina,Democratic,Nevada,NV,"Titus, Dina",D,1,1,1,"116,537","54,174",D,R,61.6,32.6,65.6,32.4,64.5,33.0
233,"Tonko, Paul",Democratic - New York,T000469,Tonko, Paul,Democratic,New York,NY,"Tonko, Paul",D,1,1,1,"213,021","100,738",D,R,54.0,40.5,59.2,38.8,58.0,40.0
234,"Tsongas, Niki",Democratic - Massachusetts,T000465,Tsongas, Niki,Democratic,Massachusetts,MA,"Tsongas, Niki",D,1,1,1,"236,713","107,519",D,R,58.2,35.4,56.9,41.4,58.8,39.4
235,"Upton, Fred",Republican - Michigan,U000031,Upton, Fred,Republican,Michigan,MI,"Upton, Fred",R,1,1,1,"193,259","119,980",R,D,42.9,51.3,48.8,50.2,53.1,45.2
236,"Vargas, Juan",Democratic - California,V000130,Vargas, Juan,Democratic,California,CA,"Vargas, Juan",D,1,1,1,"145,162","54,362",D,R,71.8,22.8,69.4,28.9,65.0,32.0
237,"Vela, Filemon",Democratic - Texas,V000132,Vela, Filemon,Democratic,Texas,TX,"Vela, Filemon",D,1,1,1,"104,638","62,323",D,R,59.2,37.7,60.8,38.3,60.0,39.0
238,"Wagner, Ann",Republican - Missouri,W000812,Wagner, Ann,Republican,Missouri,MO,"Wagner, Ann",R,1,1,1,"241,954","155,689",R,D,42.3,52.6,41.4,57.1,46.4,52.6
239,"Walberg, Tim",Republican - Michigan,W000798,Walberg, Tim,Republican,Michigan,MI,"Walberg, Tim",R,1,1,1,"184,321","134,010",R,D,38.7,55.7,47.9,51.0,50.8,47.4
240,"Walden, Greg",Republican - Oregon,W000791,Walden, Greg,Republican,Oregon,OR,"Walden, Greg",R,1,1,1,"272,952","106,640",R,D,36.4,56.5,40.5,56.8,43.3,53.8
241,"Walker, Mark",Republican - North Carolina,W000819,Walker, Mark,Republican,North Carolina,NC,"Walker, Mark",R,1,1,1,"207,983","143,167",R,D,41.4,56.1,43.6,56.4,45.2,53.8
242,"Walorski, Jackie",Republican - Indiana,W000813,Walorski, Jackie,Republican,Indiana,IN,"Walorski, Jackie",R,1,1,1,"164,355","102,401",R,D,36.1,59.3,42.1,56.1,49.6,49.3
243,"Walters, Mimi",Republican - California,W000820,Walters, Mimi,Republican,California,CA,"Walters, Mimi",R,1,1,1,"182,618","129,231",R,D,49.8,44.4,43.0,54.8,46.0,51.0
244,"Wasserman Schultz, Debbie",Democratic - Florida,W000797,Wasserman Schultz, Debbie,Democratic,Florida,FL,"Wasserman Schultz, Debbie",D,1,1,1,"183,225","130,818",D,R,61.9,35.8,61.4,38.0,62.0,37.3
245,"Waters, Maxine",Democratic - California,W000187,Waters, Maxine,Democratic,California,CA,"Waters, Maxine",D,1,1,1,"167,017","52,499",D,R,78.4,16.7,78.0,20.0,75.0,22.0
246,"Watson Coleman, Bonnie",Democratic - New Jersey,W000822,Watson Coleman, Bonnie,Democratic,New Jersey,NJ,"Watson Coleman, Bonnie",D,1,1,1,"181,430","92,407",D,R,65.0,31.8,66.5,32.4,65.7,33.3
247,"Welch, Peter",Democratic - Vermont,W000800,Welch, Peter,Democratic,Vermont,VT,"Welch, Peter",D,1,1,1,"264,414","29,410",D,LU,56.7,30.3,67.0,31.2,67.8,30.6
248,"Westerman, Bruce",Republican - Arkansas,W000821,Westerman, Bruce,Republican,Arkansas,AR,"Westerman, Bruce",R,1,1,1,"182,885","61,274",R,L,31.3,64.2,35.9,61.8,37.4,59.9
249,"Williams, Roger",Republican - Texas,W000816,Williams, Roger,Republican,Texas,TX,"Williams, Roger",R,1,1,1,"180,988","117,073",R,D,40.2,55.1,37.8,59.9,43.0,56.0
250,"Wilson, Joe",Republican - South Carolina,W000795,Wilson, Joe,Republican,South Carolina,SC,"Wilson, Joe",R,1,1,1,"183,746","109,452",R,D,38.6,56.3,39.4,59.1,39.4,59.5
251,"Womack, Steve",Republican - Arkansas,W000809,Womack, Steve,Republican,Arkansas,AR,"Womack, Steve",R,1,1,1,"217,192","63,715",R,L,30.5,61.9,31.6,65.5,33.9,63.7
252,"Woodall, Rob",Republican - Georgia,W000810,Woodall, Rob,Republican,Georgia,GA,"Woodall, Rob",R,1,1,1,"174,081","114,220",R,D,44.8,51.1,38.3,60.2,39.1,60.1
253,"Yoder, Kevin",Republican - Kansas,Y000063,Yoder, Kevin,Republican,Kansas,KS,"Yoder, Kevin",R,1,1,1,"176,022","139,300",R,D,47.2,46.0,44.3,53.8,48.8,49.9
254,"Young, David",Republican - Iowa,Y000066,Young, David,Republican,Iowa,IA,"Young, David",R,1,1,1,"208,598","155,002",R,D,45.0,48.5,51.4,47.2,52.4,46.3
255,"Young, Don",Republican - Alaska,Y000033,Young, Don,Republican,Alaska,AK,"Young, Don",R,1,1,1,"155,088","111,019",R,D,37.6,52.8,41.2,55.3,38.1,59.7
