,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
nitalowey,-1.29884033333,-215.463,-39.0497,-6.69917,,-11.493604,-1.08432,-3.0432395,-18.5108675,nitalowey
normajtorres,-0.785114225,-26.4573366667,-13.392645,-16.8695447525,-1.80698066667,-3.19264666667,-1.35702716667,-7.06347666667,-14.2758566667,normajtorres
nydiavelazquez,-29.987208,-68.81642,-2.09589,-21.6107,-4.9892252,-0.832947,-18.386477,-3.07967333333,,nydiavelazquez
patrickmchenry,7.0897715,16.883852,6.7425875,6.26919,2.5923929164,2.1303292,2.34524,8.8219905,5.508674,patrickmchenry
pattymurray,-30.0196416667,-33.7356075,-4.2336092,-13.75903,-8.47636,-8.41456,-14.3160025,-4.374875,-41.8931,pattymurray
pedropierluisi,,,,-1.04918,,-0.92,,,,pedropierluisi
peterroskam,12.403735,1.73443666667,4.0571025,14.91531986,4.13256333333,1.260029065,1.8308666,1.3312178,0.728107166667,peterroskam
peterwelch,-2.528465,-3.2126,-2.448616,-6.91603666667,-3.3084,-2.60265,-3.11828,-2.40554,-2.97136333333,peterwelch
petesessions,2.58610333333,0.43178687,0.964412,5.27224333333,1.35613333333,1.378585,2.76936066667,18.57845,4.69034666667,petesessions
randy_forbes,,,,,,,,,,randy_forbes
randyneugebauer,,6.69974666667,,,,8.69566,1.05825,,,randyneugebauer
raul_labrador,,,,,1.01681,,,,,raul_labrador
rep_devinnunes,,,,0.801587,,,,,,rep_devinnunes
rep_hunter,,,,,,,,,,rep_hunter
rep_janicehahn,-4.03617,-101.494743333,-34.026565,-57.2848,-1.69231,-1.82301,-1.9025,-2.45787,-28.1043,rep_janicehahn
rep_stevewomack,1.7680526,3.08881166667,0.475326333333,2.98553571429,4.4001,6.45458857143,2.58298666667,1.492856,3.25537,rep_stevewomack
repabraham,0.967105,0.885246,,,,,,,3.03922,repabraham
repadams,-57.8260561667,-73.157548,-13.865356,-27.4814267,-12.7508394,-24.185322,-31.174888,-21.194498,-37.81686,repadams
repadamschiff,-0.5405235,-2.920504,,2.615491,-7.26101133333,-11.7333,,-0.837469185,-3.512809,repadamschiff
repadamsmith,0.291243,-7.1332,-5.71964,-3.5434166,,-4.3964,-0.857143,-21.40282,-62.0916,repadamsmith
repadriansmith,11.087512,2.133537,2.23237766667,5.782665,1.33105,4.714185,1.05825,33.191495,7.98586333333,repadriansmith
repalexmooney,-3.4198062,-0.304219,1.71765933333,-0.0138842666667,1.81356,,1.02857,,1.0746305,repalexmooney
repalgreen,-1.37229,-1.302855,-14.6471,-4.30556,1.4797965,,,,,repalgreen
repandrecarson,-0.34211,-21.588315,,-28.22447,-11.564085,-0.969027,-0.8968465,-1.241885,-2.25652,repandrecarson
repandybarr,17.9884,,1.14141,2.111615,,,,0.8605415,4.2549,repandybarr
repandyharrismd,0.528073,8.67166,1.9085,2.55605,,1.09709,1.89796,2.25,22.9429,repandyharrismd
repannaeshoo,-0.927027,-36.8824,,,,,,,-25.3574,repannaeshoo
repanniekuster,-22.76115625,-9.35740142,-2.48709825,-1.0103985,-1.2802955,-11.533215,-0.917099065033,2.82439,-32.1222333333,repanniekuster
repannwagner,3.18494,8.80469585714,3.9297965,8.36789322333,1.248435,2.47463,1.27395488,1.707477,9.21219,repannwagner
repbarbaralee,-55.1177316667,-101.1907,-61.78312,-65.83714,-31.7923408333,-18.2246812,-23.5261333333,-4.44029666667,-33.45146,repbarbaralee
repbeatty,-15.9599071429,-98.299216,-24.2237793333,-50.03232,-18.17458,-47.21548,-18.253332,-30.72372848,-33.542606,repbeatty
