,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
senjohnthune,5.8552,1.254841,,3.23477,1.52778,1.09709,2.59091,25.0653,1.416897,senjohnthune
senjoniernst,3.699435,4.20655,1.31246,1.07588625,0.591697,3.501122,1.003615,,,senjoniernst
senmarkey,-23.9655542857,-32.3732385714,-9.894866,-19.2790377333,-20.8923,-21.7112388,-10.6026016667,-4.87733,-11.7795322,senmarkey
senmikelee,2.90131,5.600755,2.82876325,5.701645,9.97458,,,,0.439863,senmikelee
senorrinhatch,5.00944428571,11.0891685714,11.3367916667,11.1495028571,6.292435,5.26335166667,2.09324666667,19.990525,2.21462166667,senorrinhatch
senpatroberts,4.02042516667,14.382158,3.2944895,2.294352325,2.42904,5.690237,3.76119832,21.0804666667,3.47871,senpatroberts
senrobportman,5.18928333333,6.85227714286,4.67383585714,6.82072428571,6.47495571429,8.43484571429,6.21128857143,6.83143142857,7.73905571429,senrobportman
senronjohnson,3.96006375,3.0390168,2.271037,1.72652175,2.0318,,1.070808,0.8360224,1.1187978,senronjohnson
senrubiopress,-11.4059475,3.909112,-2.3395696,7.00312666667,9.12721833333,2.6602475,5.5489174,11.2947435,5.00063,senrubiopress
sensasse,3.460721694,3.01973,3.89831,-0.006542285,,,,11.9259,,sensasse
senschumer,-74.9022225,-34.00054,-4.697625,-23.5411385,-1.90252983333,-3.1425408,-3.3363918,-1.3984175,-16.32383525,senschumer
senshelby,1.69191,1.0303,2.35135,1.06429,0.5692666,,,11.9259,,senshelby
sensherrodbrown,-0.873145,-1.14148,-1.825096,-21.3501,-0.467001233333,0.422609,-16.6126786667,0.359652866667,-0.367748433333,sensherrodbrown
senstabenow,-63.2642207,-5.76666,-19.4640286667,-24.56805,-0.974929,-0.00416667,-1.0075165,-2.04545,,senstabenow
sentedcruz,3.6942402,11.6878357143,9.690272,9.21747,3.985774,4.52719547614,2.4735025,13.884796,8.90401525,sentedcruz
senthadcochran,1.47371805,1.20924466667,4.049195,0.612929,-0.0241187,10.8463,,,0.0109799,senthadcochran
senthomtillis,-8.29187083333,7.01776333333,3.78693,-8.91075916667,8.99845142857,6.74467428571,6.1257,19.221848,3.88216228333,senthomtillis
sentomcotton,9.25909666667,18.984,5.86185571429,2.2139704,2.213375,5.598002,2.06388166667,17.3837833333,11.0704615714,sentomcotton
sentoomey,0.45084575,1.3403205,,1.73026043333,,5.79306566667,0.989362,19.26,2.122601,sentoomey
senwarren,-16.4723573667,-20.003685,,-9.44262,,,-2.296465,,,senwarren
senwhitehouse,-26.853336,-27.2744683333,-5.569098,-6.16086333333,-2.24604775,-9.1301285,-4.16576,-5.4757025,-2.09984375,senwhitehouse
speakerryan,10.3663404286,37.1344942857,20.4041842857,24.2639857143,18.33724,20.073905,23.9516,34.36625,31.17348,speakerryan
staceyplaskett,-74.4664,-64.3393,-21.4007,-3.61339,-14.520628,,,,-45.3449925,staceyplaskett
stevedaines,0.614514,15.955496,3.19464633333,2.98832683333,1.9923725,1.18696533333,2.74124,,3.04465,stevedaines
stevekingia,0.884615,,,1.05893,,-1.223405,,,,stevekingia
steveknight25,-0.0334621,,,0.129049,,,0.989362,,,steveknight25
stevescalise,12.777685,17.9932533333,11.20751,11.44858,12.882075,13.84255,10.1870333333,22.8333866667,20.3977014286,stevescalise
susanwbrooks,-1.8599354,20.762442,3.97737,2.7991425,0.90678,6.7717,4.09489,,11.75152275,susanwbrooks
teammoulton,-10.2233174,-39.223645,-9.080928,-6.886165,-14.323355,-49.923771,-2.67038825,-2.15559,-4.5605924,teammoulton
tgowdysc,1.37997,24.362623,5.71788,6.41717666667,,,,1.35278,1.4642355,tgowdysc
toddrokita,3.874347,6.49085,2.56401033333,17.9830666667,3.17561,0.6502685,,1.26667975,5.30639175,toddrokita
tomcoleok04,-0.927027,1.490305,0.890323,,,,1.97872,,1.15957,tomcoleok04
tomrooney,,0.916522,,,,,,,,tomrooney
tulsipress,-5.13099666667,-9.110062,-4.42375714286,-10.48271,-4.345324,-3.32835,-3.0437875,-6.610294,-5.650186,tulsipress
txrandy14,2.77887,2.538835,2.6189315,6.07081875,,1.541873,,2.60769,3.47872,txrandy14
usrepdavidjolly,-8.07125,-7.5103775,,1.077513,1.84303666667,4.153915,1.68093,0.673365333333,1.02102810193,usrepdavidjolly
usrepgarypalmer,-0.602145,4.222761,1.90619,11.0436935,1.240658,1.39361533333,1.05825,19.4096,2.08829266667,usrepgarypalmer
usrepkcastor,-44.1565445714,-44.4575225,-45.45454,-6.229427,-30.346366,-27.6902185,-17.485778304,-39.017744,-32.6011528571,usrepkcastor
usrepkeating,-2.22471725,0.0676966666667,-0.905202,,-0.967118333333,-4.3964,-0.848739,-2.21945,-0.748092,usrepkeating
usreplong,18.2162375,21.992478,14.21881,24.450705,9.2356954,6.76567,1.77883888,21.62738275,27.179025,usreplong
usrepmikedoyle,,-142.917,-1.560995,,,,-1.01075,,-7.22105,usrepmikedoyle
usreprhinojosa,-4.53997,-2.240295,-5.79191,-28.12724,,,,-1.09615,,usreprhinojosa
usrepricknolan,-39.178265,-1.15680826,-1.44108,5.81151,,,0.514431,,0.0109799,usrepricknolan
usreprodney,1.90977416667,2.80056,1.7269576,2.72142033333,0.901988,1.01619866667,1.8469805,0.805326333333,10.3284436667,usreprodney
vernbuchanan,0.426322041,0.691402575,0.570156605,-0.00115266,0.647186666667,1.09709,1.09795666667,0.838044333333,0.90860666225,vernbuchanan
virginiafoxx,1.93421,7.6366,5.090665,15.1569706667,1.01681,,,3.64912,,virginiafoxx
whiphoyer,-53.8948078333,-96.18074,-60.31571,-57.365228,-28.156915,-65.73775,-36.0067666667,-48.123075,-64.2186,whiphoyer
