url	Account Group	Account Group_link	Avatar Action	Avatar Action_alt	Avatar Action_link	Full Name	Full Name_link	Username Dir	Username Dir_link	Username Dir_filename	Bio Dir Block	Bio Dir Link	Bio Dir Link_link
https://twitter.com/cspan/lists/new-members-of-congress/members	Dr. Neal DunnVerified account @DrNealDunnFL2	https://twitter.com/DrNealDunnFL2	https://pbs.twimg.com/profile_images/817396749270732800/5rj6yCMh_normal.jpg		https://twitter.com/DrNealDunnFL2	Dr. Neal Dunn	https://twitter.com/DrNealDunnFL2	DrNealDunnFL2	https://twitter.com/DrNealDunnFL2	Username Dir/DrNealDunnFL2.5586706db8889f4bace7f81baf066216.html	Official government Twitter account for Congressman Neal Dunn (FL-02).		
https://twitter.com/cspan/lists/new-members-of-congress/members	John FasoVerified account @RepJohnFaso	https://twitter.com/RepJohnFaso	https://pbs.twimg.com/profile_images/817512781905805312/jXzW-mqm_normal.jpg		https://twitter.com/RepJohnFaso	John Faso	https://twitter.com/RepJohnFaso	RepJohnFaso	https://twitter.com/RepJohnFaso	Username Dir/RepJohnFaso.c48fa4881c901975b73f12167c4fbe30.html	Representing New York's 19th Congressional District		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep Josh GottheimerVerified account @RepJoshG	https://twitter.com/RepJoshG	https://pbs.twimg.com/profile_images/824380405482668042/TGcE_Hz0_normal.jpg		https://twitter.com/RepJoshG	Rep Josh Gottheimer	https://twitter.com/RepJoshG	RepJoshG	https://twitter.com/RepJoshG	Username Dir/RepJoshG.436ed5dd430f2ecdf669f987448bf978.html	"Honored to serve the people of New Jersey's 5th District. Working across the aisle to solve problems, lower taxes, and fight for Jersey values."		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Brian MastVerified account @RepBrianMast	https://twitter.com/RepBrianMast	https://pbs.twimg.com/profile_images/816019324381122560/NZ8G8uHO_normal.jpg		https://twitter.com/RepBrianMast	Rep. Brian Mast	https://twitter.com/RepBrianMast	RepBrianMast	https://twitter.com/RepBrianMast	Username Dir/RepBrianMast.b0b1f0a3ccc8a5b591fb8511c94dff93.html	"Proud husband, father of 3 & Army veteran. Humbly serving the 18th Congressional District of Florida. Please contact me if you need assistance."		
https://twitter.com/cspan/lists/new-members-of-congress/members	Trey HollingsworthVerified account @RepTrey	https://twitter.com/RepTrey	https://pbs.twimg.com/profile_images/823622288008445953/BOxHvjRv_normal.jpg		https://twitter.com/RepTrey	Trey Hollingsworth	https://twitter.com/RepTrey	RepTrey	https://twitter.com/RepTrey	Username Dir/RepTrey.b30f3a4bff0668549fe4378aedb5e36b.html	Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Paul MitchellVerified account @RepPaulMitchell	https://twitter.com/RepPaulMitchell	https://pbs.twimg.com/profile_images/836624778798714880/Z8IIiYYx_normal.jpg		https://twitter.com/RepPaulMitchell	Rep. Paul Mitchell	https://twitter.com/RepPaulMitchell	RepPaulMitchell	https://twitter.com/RepPaulMitchell	Username Dir/RepPaulMitchell.810ef2979ac80fa18bc00b0641f20bbc.html	Official account for Congressman Paul Mitchell #MI10	#MI10	https://twitter.com/hashtag/MI10?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Senator Cortez MastoVerified account @SenCortezMasto	https://twitter.com/SenCortezMasto	https://pbs.twimg.com/profile_images/847453198113755136/Az66uO5y_normal.jpg		https://twitter.com/SenCortezMasto	Senator Cortez Masto	https://twitter.com/SenCortezMasto	SenCortezMasto	https://twitter.com/SenCortezMasto	Username Dir/SenCortezMasto.88ac7a2a68aed8f60df167ab2ec97ed4.html	U.S. Senator from the great state of Nevada.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Jamie RaskinVerified account @RepRaskin	https://twitter.com/RepRaskin	https://pbs.twimg.com/profile_images/852225966462181381/dNQgIjVj_normal.jpg		https://twitter.com/RepRaskin	Rep. Jamie Raskin	https://twitter.com/RepRaskin	RepRaskin	https://twitter.com/RepRaskin	Username Dir/RepRaskin.77b9f478ed0312a48bde36ce2cbd9dab.html	"Proudly serving MD's 8th District. Senior Whip, Judiciary Vice Ranking Member. http://www.facebook.com/RepRaskin"	http://www.facebook.com/RepRaskin	https://t.co/EkyEyszJWc
https://twitter.com/cspan/lists/new-members-of-congress/members	Drew FergusonVerified account @RepDrewFerguson	https://twitter.com/RepDrewFerguson	https://pbs.twimg.com/profile_images/822518879989669888/XpIayZNk_normal.jpg		https://twitter.com/RepDrewFerguson	Drew Ferguson	https://twitter.com/RepDrewFerguson	RepDrewFerguson	https://twitter.com/RepDrewFerguson	Username Dir/RepDrewFerguson.831908f587b475230647bf84523941de.html	Proud to serve the good people of Georgia's 3rd District in Congress		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Val DemingsVerified account @RepValDemings	https://twitter.com/RepValDemings	https://pbs.twimg.com/profile_images/817507094144450566/ghEvm99j_normal.jpg		https://twitter.com/RepValDemings	Rep. Val Demings	https://twitter.com/RepValDemings	RepValDemings	https://twitter.com/RepValDemings	Username Dir/RepValDemings.70a3124c310449a2a6bd2a571d417ff6.html	U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.		
